"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20161","03095974",37,0,"1",.,"A"
"20161","03095984",38,0,"1",.,"A"
"20161","03096044",18,0,"1",.,"A"
"20161","03096094",25,0,"1",.,"A"
"20161","03096144",21,0,"1",.,"A"
"20161","03096184",41,0,"1",.,"A"
"20161","03096234",11,0,"1",.,"A"
"20161","03096344",27,0,"1",.,"A"
"20161","03096434",19,0,"1",.,"A"
"20161","03096494",12,0,"1",.,"A"
"20161","03096514",21,0,"1",.,"A"
"20161","03096604",36,0,"1",.,"A"
"20161","03096624",31,0,"1",144,"D"
"20161","03096724",21,0,"1",.,"A"
"20161","03096734",17,0,"1",.,"A"
"20161","03096784",38,0,"1",.,"A"
"20161","03096854",48,0,"1",.,"A"
"20161","03096924",10,0,"1",.,"A"
"20161","03097034",18,0,"1",.,"A"
"20161","03097054",17,0,"1",.,"A"
"20161","03097094",23,0,"1",.,"A"
"20161","03097144",9,0,"1",.,"A"
"20161","03097174",52,0,"1",.,"A"
"20161","03097194",17,0,"1",.,"A"
"20161","03097224",26,0,"1",.,"A"
"20161","03097264",10,0,"1",.,"A"
"20161","03097374",43,0,"1",.,"A"
"20161","03097384",18,0,"1",.,"A"
"20161","03097394",21,0,"1",.,"A"
"20161","03097454",45,0,"1",.,"A"
"20161","03097474",102,0,"1",.,"A"
"20161","03097524",21,0,"1",.,"A"
"20161","03097534",35,0,"1",.,"A"
"20161","03097634",22,0,"1",.,"A"
"20161","03097644",26,0,"1",.,"A"
"20161","03097694",22,0,"1",.,"A"
"20161","03097804",42,0,"1",.,"A"
"20161","03097814",28,0,"1",.,"A"
"20161","03097834",71,0,"1",.,"A"
"20161","03097884",26,0,"1",.,"A"
"20161","03097964",37,0,"1",.,"A"
"20161","03097984",25,0,"1",.,"A"
"20161","03097994",30,0,"1",.,"A"
"20161","03098014",12,0,"1",.,"A"
"20161","03098034",40,0,"1",.,"A"
"20161","03098104",15,0,"1",.,"A"
"20161","03098114",38,0,"1",.,"A"
"20161","03098134",23,0,"1",.,"A"
"20161","03098204",20,0,"1",35,"D"
"20161","03098244",24,0,"1",.,"A"
"20161","03098254",29,0,"1",.,"A"
"20161","03098264",68,0,"1",27,"D"
"20161","03098314",9,0,"1",.,"A"
"20161","03098364",23,0,"1",.,"A"
"20161","03098374",39,0,"1",.,"A"
"20161","03098394",20,0,"1",.,"A"
"20161","03098404",15,0,"1",.,"A"
"20161","03098424",30,0,"1",.,"A"
"20161","03098564",31,0,"1",.,"A"
"20161","03098604",51,0,"1",.,"A"
"20161","03098684",25,0,"1",.,"A"
"20161","03098714",25,0,"1",.,"A"
"20161","03098764",46,0,"1",.,"A"
"20161","03098874",35,0,"1",.,"A"
"20161","03098904",15,0,"1",.,"A"
"20161","03098914",4,0,"1",.,"A"
"20161","03098924",22,0,"1",.,"A"
"20161","03098974",15,0,"1",.,"A"
"20161","03099004",10,0,"1",.,"A"
"20161","03099044",34,0,"1",.,"A"
"20161","03099074",24,0,"1",.,"A"
"20161","03099104",27,0,"1",.,"A"
"20161","03099144",50,0,"1",.,"A"
"20161","03099164",54,0,"1",.,"A"
"20161","03099194",36,0,"1",.,"A"
"20161","03099264",15,0,"1",.,"A"
"20161","03099304",13,0,"1",.,"A"
"20161","03099384",90,0,"1",.,"A"
"20161","03099424",70,0,"1",.,"A"
"20161","03099564",32,0,"1",.,"A"
"20161","03099604",10,0,"1",.,"A"
"20161","03099664",22,0,"1",.,"A"
"20161","03099714",24,0,"1",.,"A"
"20161","03099784",38,0,"1",.,"A"
"20161","03099844",100,0,"1",.,"A"
"20161","03099904",17,0,"1",.,"A"
"20161","03099954",24,0,"1",.,"A"
"20161","03099964",30,0,"1",.,"A"
"20161","03100034",28,0,"1",.,"A"
"20161","03100044",35,0,"1",.,"A"
"20161","03100054",41,0,"1",.,"A"
"20161","03100174",49,0,"1",.,"A"
"20161","03100194",57,0,"1",.,"A"
"20161","03100254",29,0,"1",.,"A"
"20161","03100274",25,0,"1",.,"A"
"20161","03100404",39,0,"1",.,"A"
"20161","03100424",6,0,"1",.,"A"
"20161","03100504",20,0,"1",.,"A"
"20161","03100534",16,0,"1",.,"A"
"20161","03100594",38,0,"1",.,"A"
"20161","03100634",19,0,"1",.,"A"
"20161","03100674",26,0,"1",.,"A"
"20161","03100734",37,0,"1",.,"A"
"20161","03100824",19,0,"1",.,"A"
"20161","03100874",35,0,"1",.,"A"
"20161","03101004",20,0,"1",.,"A"
"20161","03101094",51,0,"1",.,"A"
"20161","03101154",20,0,"1",.,"A"
"20161","03101204",22,0,"1",.,"A"
"20161","03101234",58,0,"1",.,"A"
"20161","03101244",77,0,"1",.,"A"
"20161","03101264",20,0,"1",.,"A"
"20161","03101274",21,0,"1",.,"A"
"20161","03101304",25,0,"1",.,"A"
"20161","03101334",24,0,"1",.,"A"
"20161","03101374",31,0,"1",.,"A"
"20161","03101384",27,0,"1",.,"A"
"20161","03101434",26,0,"1",.,"A"
"20161","03101494",29,0,"1",.,"A"
"20161","03101604",30,0,"1",.,"A"
"20161","03101624",17,0,"1",.,"A"
"20161","03101694",35,0,"1",.,"A"
"20161","03101714",45,0,"1",.,"A"
"20161","03101724",23,0,"1",.,"A"
"20161","03101764",94,0,"1",.,"A"
"20161","03101884",9,0,"1",.,"A"
"20161","03101904",20,0,"1",.,"A"
"20161","03101944",20,0,"1",.,"A"
"20161","03102064",7,0,"1",.,"A"
"20161","03102214",52,0,"1",.,"A"
"20161","03102224",17,0,"1",.,"A"
"20161","03102274",20,0,"1",.,"A"
"20161","03102294",29,0,"1",.,"A"
"20161","03102334",19,0,"1",.,"A"
"20161","03102354",27,0,"1",.,"A"
"20161","03102404",37,0,"1",.,"A"
"20161","03102454",32,0,"1",.,"A"
"20161","03102484",18,0,"1",.,"A"
"20161","03102524",38,0,"1",.,"A"
"20161","03102664",15,0,"1",.,"A"
"20161","03102694",7,0,"1",.,"A"
"20161","03102804",17,0,"1",.,"A"
"20161","03102824",37,0,"1",.,"A"
"20161","03102904",27,0,"1",.,"A"
"20161","03103044",30,0,"1",.,"A"
"20161","03103124",79,0,"1",.,"A"
"20161","03103164",20,0,"1",.,"A"
"20161","03103184",30,0,"1",.,"A"
"20161","03103204",31,0,"1",.,"A"
"20161","03103274",12,0,"1",.,"A"
"20161","03103284",18,0,"1",.,"A"
"20161","03103314",15,0,"1",.,"A"
"20161","03103354",29,0,"1",.,"A"
"20161","03103394",14,0,"1",.,"A"
"20161","03103454",30,0,"1",.,"A"
"20161","03103484",20,0,"1",.,"A"
"20161","03103584",54,0,"1",.,"A"
"20161","03103624",31,0,"1",.,"A"
"20161","03103654",32,0,"1",.,"A"
"20161","03103694",13,0,"1",.,"A"
"20161","03103714",30,0,"1",.,"A"
"20161","03103734",63,0,"1",.,"A"
"20161","03103834",14,0,"1",20,"D"
"20161","03103854",31,0,"1",.,"A"
"20161","03103944",18,0,"1",.,"A"
"20161","03104004",20,0,"1",.,"A"
"20161","03104014",14,0,"1",.,"A"
"20161","03104074",25,0,"1",.,"A"
"20161","03104104",26,0,"1",.,"A"
"20161","03104204",42,0,"1",.,"A"
"20161","03104214",50,0,"1",.,"A"
"20161","03104244",42,0,"1",.,"A"
"20161","03104254",70,0,"1",.,"A"
"20161","03104304",23,0,"1",.,"A"
"20161","03104314",47,0,"1",.,"A"
"20161","03104334",14,0,"1",.,"A"
"20161","03104344",31,0,"1",.,"A"
"20161","03104364",11,0,"1",.,"A"
"20161","03104384",14,0,"1",.,"A"
"20161","03104464",21,0,"1",.,"A"
"20161","03104554",20,0,"1",.,"A"
"20161","03104604",17,0,"1",60,"D"
"20161","03104624",25,0,"1",.,"A"
"20161","03104674",65,0,"1",.,"A"
"20161","03104694",29,0,"1",.,"A"
"20161","03104774",71,0,"1",.,"A"
"20161","03104784",19,0,"1",.,"A"
"20161","03104814",37,0,"1",.,"A"
"20161","03104834",20,0,"1",.,"A"
"20161","03104844",25,0,"1",.,"A"
"20161","03104854",25,0,"1",.,"A"
"20161","03104864",32,0,"1",.,"A"
"20161","03104884",28,0,"1",.,"A"
"20161","03104914",35,0,"1",.,"A"
"20161","03104974",22,0,"1",.,"A"
"20161","03105034",50,0,"1",.,"A"
"20161","03105054",25,0,"1",.,"A"
"20161","03105104",15,0,"1",.,"A"
"20161","03105134",36,0,"1",.,"A"
"20161","03105164",38,0,"1",.,"A"
"20161","03105204",17,0,"1",.,"A"
"20161","03105214",23,0,"1",.,"A"
"20161","03105224",46,0,"1",.,"A"
