"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","LSD__AKE","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_","LSD_MAKE"
"20163","03425562",19,0,"1","01","D","105","D","2016","D",.,"A",36,"D","03","D",259,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",259,"D",259,"D",259,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","TOY"
"20163","03425562",20,0,"1","02","D","105","D","2015","D",.,"A",36,"D","06","D",329,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",329,"D",329,"D",329,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","TOY"
"20163","03425562",21,0,"1","03","D","105","D","2016","D",.,"A",36,"D","06","D",259,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",259,"D",259,"D",259,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","TOY"
"20163","03425662",5,0,"5","01","D","105","D","2013","D",.,"A",.,"C","02","D",700,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",700,"D",700,"D",700,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","D","TOY"
"20163","03425662",6,0,"5","02","D","105","D","2006","D",.,"A",.,"C","11","F",347,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",347,"D",347,"D",347,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2013","F","JEE"
"20163","03425762",41,0,"5","01","D","105","D","2014","D",.,"A",.,"C","08","D",211,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",211,"D",211,"D",211,"D",.,"A",.,"A",.,"A",.,"B",.,"A","D",,"A","2014","D","CHE"
"20163","03425972",7,0,"1","01","D","105","D","2012","D",.,"A",60,"D","02","D",380,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",380,"D",380,"D",380,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","D",,"A","2016","D","FOR"
"20163","03426392",15,0,"1","01","D","105","D","2016","D",.,"A",36,"D","06","D",487,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",487,"D",487,"D",487,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2016","D","FOR"
"20163","03426832",18,0,"5","01","D","105","D","2015","D",.,"A",36,"D","06","D",209,"D","3","D",.,"A",1000,"D",.,"A",.,"A",,"A",209,"D",209,"D",209,"D",.,"A",.,"A",.,"A",.,"A",.,"A","D",,"A","2015","D","NIS"
"20163","03426832",19,0,"5","02","D","105","D","2014","D",.,"A",36,"D","06","D",209,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",209,"D",209,"D",209,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","D",,"A","2014","D","NIS"
