"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20161","03088744",6,0,"2","345","D","1","D",,"A","10","D",.,"A",405,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089104",5,0,"1","350","D","1","D","1","D","12","D",.,"A",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089104",6,0,"1","350","D","1","D","1","D","11","D",.,"A",3,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089104",7,0,"1","350","D","1","D","1","D","11","D",.,"A",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",29,0,"1","100","D","1","D",,"A","11","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",30,0,"1","100","D","1","D",,"A","12","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",31,0,"1","100","D","1","D",,"A","13","D",.,"A",82,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",32,0,"1","100","D","1","D",,"A","11","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",33,0,"1","100","D","1","D",,"A","12","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",34,0,"1","200","D","1","D",,"A","13","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",35,0,"1","200","D","1","D",,"A","13","D",.,"A",132,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",36,0,"2","100","D","1","D",,"A","10","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089164",37,0,"2","100","D","1","D",,"A","10","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089204",55,0,"1","300","D","1","D","5","D","13","D",.,"A",33,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089654",10,0,"1","200","D","1","D",,"A","13","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089654",11,0,"1","100","D","1","D",,"A","13","D",.,"A",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089794",6,0,"1","300","D","1","D","1","D","10","D",.,"A",1500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03089794",7,0,"2","300","D","1","D","1","D","10","D",.,"A",1300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090094",5,0,"1","200","D","1","D",,"A","13","D",.,"A",170,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090224",7,0,"1","350","D","1","D","6","D","12","D",.,"A",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",19,0,"1","200","D","1","D",,"A","10","D",.,"A",662,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",20,0,"1","200","D","1","D",,"A","11","D",.,"A",880,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",21,0,"1","200","D","1","D",,"A","12","D",.,"A",1320,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",22,0,"1","100","D","1","D",,"A","11","D",.,"A",210,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",23,0,"1","100","D","1","D",,"A","10","D",.,"A",35,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",24,0,"1","100","D","1","D",,"A","13","D",.,"A",14,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090244",25,0,"1","200","D","1","D",,"A","13","D",.,"A",245,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090294",4,0,"1","200","D","1","D",,"A","13","D",.,"A",140,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090534",14,0,"1","100","D","1","D",,"A","12","D",.,"A",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090694",1,0,"1","200","D","1","D",,"A","13","D",.,"A",160,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090914",9,0,"1","300","D","1","D","1","D","13","D",.,"A",219,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03090914",10,0,"1","350","D","1","D","1","D","12","D",.,"A",574,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091144",14,0,"1","300","D","1","D","2","D","13","D",.,"A",880,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091144",15,0,"1","100","D","1","D",,"A","13","D",.,"A",174,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091144",16,0,"1","360","D","1","D",,"A","13","D",.,"A",23,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091144",17,0,"1","100","D","1","D",,"A","10","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091434",17,0,"1","300","D","1","D","1","D","12","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",8,0,"1","100","D","1","D",,"A","10","D",.,"A",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",9,0,"1","100","D","1","D",,"A","11","D",.,"A",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",10,0,"1","100","D","1","D",,"A","12","D",.,"A",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",11,0,"1","200","D","1","D",,"A","10","D",.,"A",255,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",12,0,"1","200","D","1","D",,"A","11","D",.,"A",170,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",13,0,"1","200","D","1","D",,"A","12","D",.,"A",225,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091544",14,0,"2","100","D","1","D",,"A","10","D",.,"A",16,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03091654",3,0,"1","100","D","1","D",,"A","13","D",.,"A",88,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03092094",4,0,"1","100","D","1","D",,"A","13","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03092094",5,0,"1","100","D","1","D",,"A","13","D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03092444",8,0,"2","100","D","1","D",,"A","10","D",.,"A",110,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03092574",2,0,"1","200","D","1","D",,"A","13","D",.,"A",128,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03092874",5,0,"1","300","D","1","D","2","D","13","D",.,"A",2200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20161","03092994",11,0,"1","350","D","1","D","1","D","11","D",.,"A",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
