"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_","IMPNUM"
"02792065","11","2014","980071","2",3784.8333,,"5"
"02792065","12","2014","980071","2",3784.8333,,"1"
"02792065","12","2014","980071","2",3784.8333,,"2"
"02792065","12","2014","980071","2",3784.8333,,"3"
"02792065","12","2014","980071","2",3784.8333,,"4"
"02792065","12","2014","980071","2",3784.8333,,"5"
"02792065","01","2015","980071","2",3784.8333,,"1"
"02792065","01","2015","980071","2",3784.8333,,"2"
"02792065","01","2015","980071","2",3784.8333,,"3"
"02792065","01","2015","980071","2",3784.8333,,"4"
"02792065","01","2015","980071","2",3784.8333,,"5"
"02792075","11","2014","800940","2",149.8333,,"1"
"02792075","11","2014","800940","2",149.8333,,"2"
"02792075","11","2014","800940","2",149.8333,,"3"
"02792075","11","2014","800940","2",149.8333,,"4"
"02792075","11","2014","800940","2",149.8333,,"5"
"02792075","12","2014","800940","2",149.8333,,"1"
"02792075","12","2014","800940","2",149.8333,,"2"
"02792075","12","2014","800940","2",149.8333,,"3"
"02792075","12","2014","800940","2",149.8333,,"4"
"02792075","12","2014","800940","2",149.8333,,"5"
"02792075","01","2015","800940","2",149.8333,,"1"
"02792075","01","2015","800940","2",149.8333,,"2"
"02792075","01","2015","800940","2",149.8333,,"3"
"02792075","01","2015","800940","2",149.8333,,"4"
"02792075","01","2015","800940","2",149.8333,,"5"
"02792075","11","2014","900000","2",1958.3333,,"1"
"02792075","11","2014","900000","2",1958.3333,,"2"
"02792075","11","2014","900000","2",1958.3333,,"3"
"02792075","11","2014","900000","2",1958.3333,,"4"
"02792075","11","2014","900000","2",1958.3333,,"5"
"02792075","12","2014","900000","2",1958.3333,,"1"
"02792075","12","2014","900000","2",1958.3333,,"2"
"02792075","12","2014","900000","2",1958.3333,,"3"
"02792075","12","2014","900000","2",1958.3333,,"4"
"02792075","12","2014","900000","2",1958.3333,,"5"
"02792075","01","2015","900000","2",1958.3333,,"1"
"02792075","01","2015","900000","2",1958.3333,,"2"
"02792075","01","2015","900000","2",1958.3333,,"3"
"02792075","01","2015","900000","2",1958.3333,,"4"
"02792075","01","2015","900000","2",1958.3333,,"5"
"02792075","11","2014","980000","2",1958.3333,,"1"
"02792075","11","2014","980000","2",1958.3333,,"2"
"02792075","11","2014","980000","2",1958.3333,,"3"
"02792075","11","2014","980000","2",1958.3333,,"4"
"02792075","11","2014","980000","2",1958.3333,,"5"
"02792075","12","2014","980000","2",1958.3333,,"1"
"02792075","12","2014","980000","2",1958.3333,,"2"
"02792075","12","2014","980000","2",1958.3333,,"3"
"02792075","12","2014","980000","2",1958.3333,,"4"
"02792075","12","2014","980000","2",1958.3333,,"5"
"02792075","01","2015","980000","2",1958.3333,,"1"
"02792075","01","2015","980000","2",1958.3333,,"2"
"02792075","01","2015","980000","2",1958.3333,,"3"
"02792075","01","2015","980000","2",1958.3333,,"4"
"02792075","01","2015","980000","2",1958.3333,,"5"
"02792075","11","2014","980071","2",2206.0833,,"1"
"02792075","11","2014","980071","2",2206.0833,,"2"
"02792075","11","2014","980071","2",2206.0833,,"3"
"02792075","11","2014","980071","2",2206.0833,,"4"
"02792075","11","2014","980071","2",2206.0833,,"5"
"02792075","12","2014","980071","2",2206.0833,,"1"
"02792075","12","2014","980071","2",2206.0833,,"2"
"02792075","12","2014","980071","2",2206.0833,,"3"
"02792075","12","2014","980071","2",2206.0833,,"4"
"02792075","12","2014","980071","2",2206.0833,,"5"
"02792075","01","2015","980071","2",2206.0833,,"1"
"02792075","01","2015","980071","2",2206.0833,,"2"
"02792075","01","2015","980071","2",2206.0833,,"3"
"02792075","01","2015","980071","2",2206.0833,,"4"
"02792075","01","2015","980071","2",2206.0833,,"5"
"02792095","11","2014","800940","2",286.9167,,"1"
"02792095","11","2014","800940","2",286.9167,,"2"
"02792095","11","2014","800940","2",286.9167,,"3"
"02792095","11","2014","800940","2",286.9167,,"4"
"02792095","11","2014","800940","2",286.9167,,"5"
"02792095","12","2014","800940","2",286.9167,,"1"
"02792095","12","2014","800940","2",286.9167,,"2"
"02792095","12","2014","800940","2",286.9167,,"3"
"02792095","12","2014","800940","2",286.9167,,"4"
"02792095","12","2014","800940","2",286.9167,,"5"
"02792095","01","2015","800940","2",286.9167,,"1"
"02792095","01","2015","800940","2",286.9167,,"2"
