equation,term,coef
non_durables,const,0.5817091085439522
non_durables,m,-0.10372077100214469
non_durables,m2,0.00868465996414822
non_durables,logp_non_durables,-0.046113488754376056
non_durables,logp_consumer_services,-0.07058129414105904
non_durables,logp_utilities_public_services,-0.011535918741755209
non_durables,logp_housing,-0.05823365474343345
non_durables,logp_transportation,-0.016899988484548597
non_durables,logp_leisure,0.20336434486517235
non_durables,age_ref,0.003239847756287875
non_durables,age_ref_sq,-3.996820442185628e-05
non_durables,adults,-0.01621186258648951
non_durables,children,0.0036846290746077644
non_durables,urban,0.0043400668435142715
non_durables,home_owner,0.012691061960255627
non_durables,wage_resid,-0.03605916827483929
non_durables,region_2,-0.0017748512447741177
non_durables,region_3,-0.0007762816330953799
non_durables,region_4,-0.002269500512933908
non_durables,year_2014,0.0016834677437166084
non_durables,year_2015,0.008697061350692998
non_durables,year_2016,0.011385755142670373
non_durables,year_2017,0.010698783081608649
consumer_services,const,-0.08010968682237347
consumer_services,m,0.026385153399576627
consumer_services,m2,-0.0001243902738283392
consumer_services,logp_non_durables,-0.07058129414105904
consumer_services,logp_consumer_services,0.1708280111060757
consumer_services,logp_utilities_public_services,0.0025650524729642363
consumer_services,logp_housing,0.03767186136352764
consumer_services,logp_transportation,-0.0028102942780012124
consumer_services,logp_leisure,-0.13767333652350733
consumer_services,age_ref,0.001591871451570301
consumer_services,age_ref_sq,-1.995251021023655e-05
consumer_services,adults,-0.0242568622947467
consumer_services,children,-0.0011867684160951116
consumer_services,urban,-0.0013555189016734124
consumer_services,home_owner,0.02067220784955089
consumer_services,wage_resid,-0.036478225933709515
consumer_services,region_2,0.004616798827240549
consumer_services,region_3,-0.008159521259317444
consumer_services,region_4,0.0007373186539776917
consumer_services,year_2014,0.004682192366215749
consumer_services,year_2015,0.0020897098435592176
consumer_services,year_2016,-0.0001402116049567423
consumer_services,year_2017,-0.0002606665600534481
utilities_public_services,const,0.2766847554901848
utilities_public_services,m,-0.039761873813826565
utilities_public_services,m2,0.0030246667425547426
utilities_public_services,logp_non_durables,-0.011535918741755209
utilities_public_services,logp_consumer_services,0.002565052472964236
utilities_public_services,logp_utilities_public_services,0.008309452193429785
utilities_public_services,logp_housing,-0.008529273846135102
utilities_public_services,logp_transportation,0.015635122774535375
utilities_public_services,logp_leisure,-0.006444434853039087
utilities_public_services,age_ref,0.002033181164937461
utilities_public_services,age_ref_sq,-2.1568450626118134e-05
utilities_public_services,adults,-0.0034427133430199267
utilities_public_services,children,0.0018942336404639088
utilities_public_services,urban,-0.0007492523947056792
utilities_public_services,home_owner,0.010561393033160341
utilities_public_services,wage_resid,-0.012285281107052544
utilities_public_services,region_2,-0.0019527633471735427
utilities_public_services,region_3,0.00014616136572525836
utilities_public_services,region_4,-0.0024655049489787266
utilities_public_services,year_2014,0.00248469919545774
utilities_public_services,year_2015,0.0040956055498135
utilities_public_services,year_2016,0.004477823444330837
utilities_public_services,year_2017,0.003275676943248341
housing,const,0.25472518353685936
housing,m,-0.061928824000469146
housing,m2,0.00553201333659857
housing,logp_non_durables,-0.05823365474343345
housing,logp_consumer_services,0.03767186136352764
housing,logp_utilities_public_services,-0.0085292738461351
housing,logp_housing,0.05199444914914449
housing,logp_transportation,0.03299688930636188
housing,logp_leisure,-0.055900271229465455
housing,age_ref,0.004461809435017332
housing,age_ref_sq,-5.711716157108342e-05
housing,adults,-0.03326127153400814
housing,children,0.001151822096708129
housing,urban,0.024396343767310216
housing,home_owner,0.005385280322071275
housing,wage_resid,-0.040575970095646466
housing,region_2,-0.0006789335115364575
housing,region_3,-0.008866525988693542
housing,region_4,-0.0016175734385764297
housing,year_2014,0.003917049231947018
housing,year_2015,0.009510006126988144
housing,year_2016,0.011887293570002625
housing,year_2017,0.010895573216064162
transportation,const,0.32148776404580964
transportation,m,-0.027745677674249264
transportation,m2,0.0023263677053483897
transportation,logp_non_durables,-0.016899988484548597
transportation,logp_consumer_services,-0.0028102942780012124
transportation,logp_utilities_public_services,0.015635122774535375
transportation,logp_housing,0.03299688930636188
transportation,logp_transportation,0.04155122878248204
transportation,logp_leisure,-0.07047295810082949
transportation,age_ref,0.0018456769625938472
transportation,age_ref_sq,-2.2840491345746362e-05
transportation,adults,-0.005274485409523847
transportation,children,-3.996533717654393e-05
transportation,urban,-0.0012164304969345357
transportation,home_owner,0.010899299030413992
transportation,wage_resid,-0.017485091892770817
transportation,region_2,0.00019147255495631727
transportation,region_3,-0.0007666351748679199
transportation,region_4,-0.00013906693331733214
transportation,year_2014,0.0012933228194518514
transportation,year_2015,0.003135094418433387
transportation,year_2016,0.0030294305319387782
transportation,year_2017,0.004817033654477445
leisure,const,-1.3544971247944324
leisure,m,0.20677199309111302
leisure,m2,-0.019443317474821583
leisure,logp_non_durables,0.20336434486517235
leisure,logp_consumer_services,-0.13767333652350733
leisure,logp_utilities_public_services,-0.006444434853039087
leisure,logp_housing,-0.055900271229465455
leisure,logp_transportation,-0.07047295810082949
leisure,logp_leisure,0.067126655841669
leisure,age_ref,-0.013172386770406816
leisure,age_ref_sq,0.00016144681817504075
leisure,adults,0.0824471951677881
leisure,children,-0.005503951058508146
leisure,urban,-0.02541520881751086
leisure,home_owner,-0.06020924219545212
leisure,wage_resid,0.14288373730401863
leisure,region_2,-0.0004017232787127482
leisure,region_3,0.018422802690249027
leisure,region_4,0.005754327179828705
leisure,year_2014,-0.014060731356788966
leisure,year_2015,-0.027527477289487245
leisure,year_2016,-0.03064009108398587
leisure,year_2017,-0.02942640033534515
