"NEWID","AGE","AGE_","AMTFED","AMTFED_","ANFEDTX","ANFEDTX_","ANGOVRTX","ANGO_RTX","ANPRVPNX","ANPR_PNX","ANRRDEDX","ANRR_EDX","ANSLTX","ANSLTX_","ARM_FORC","ARM__ORC","CU_CODE","EARNER","EARNER_","EARNTYPE","EARN_YPE","EDUCA","EDUCA_","EMPLCONT","EMPL_ONT","GOVRETX","GOVRETX_","GROSPAYX","GROS_AYX","IN_COLL","IN_COLL_","INC_HRSQ","INC__RSQ","INCMEDCR","INCM_DCR","INCNONWK","INCN_NWK","INCOMEY","INCOMEY_","INCWEEKQ","INCW_EKQ","INDRETX","INDRETX_","JSSDEDX","JSSDEDX_","MARITAL","MEDICOV","MEDICOV_","MEMBNO","OCCUCODE","OCCU_ODE","PAYPERD","PAYPERD_","PRIVPENX","PRIV_ENX","RRRDEDX","RRRDEDX_","RRRETIRX","RRRE_IRX","SALARYX","SALARYX_","SCHMLWKQ","SCHM_WKQ","SEX","SLFEMPSS","SLFE_PSS","SLTAXX","SLTAXX_","SOCRRX","SOCRRX_","SS_RRQ","SS_RRQ_","SSIX","SSIX_","SSNORM","SSNORM_","SALARYB","SALARYB_","SALARYBX","SALA_YBX","RRRETIRB","RRRE_IRB","RRRETRBX","RRRE_RBX","SSIB","SSIB_","SSIBX","SSIBX_","HORIGIN","HISPANIC","HISP_NIC","MEMBRACE","RC_WHITE","RC_W_ITE","RC_BLACK","RC_B_ACK","RC_NATAM","RC_N_TAM","RC_ASIAN","RC_A_IAN","RC_PACIL","RC_P_CIL","RC_OTHER","RC_O_HER","RC_DK","RC_DK_","ASIAN","ASIAN_","ANFEDTXM","ANFE_TXM","ANGOVRTM","ANGO_RTM","ANPRVPNM","ANPR_PNM","ANRRDEDM","ANRR_EDM","ANSLTXM","ANSLTXM_","JSSDEDXM","JSSD_DXM","JSSDEDX1","JSSDEDX2","JSSDEDX3","JSSDEDX4","JSSDEDX5","RRRETIRM","RRRE_IRM","RRRETIR1","RRRETIR2","RRRETIR3","RRRETIR4","RRRETIR5","RRRETIRI","SALARYXM","SALA_YXM","SALARYX1","SALARYX2","SALARYX3","SALARYX4","SALARYX5","SALARYXI","SLFEMPSM","SLFE_PSM","SLFEMPS1","SLFEMPS2","SLFEMPS3","SLFEMPS4","SLFEMPS5","SOCRRXM","SOCRRXM_","SOCRRX1","SOCRRX2","SOCRRX3","SOCRRX4","SOCRRX5","SSIXM","SSIXM_","SSIX1","SSIX2","SSIX3","SSIX4","SSIX5","SSIXI","PAYSTUB","PAYSTUB_","SCHLMLPD","SCHL_LPD","SEMPFRM1","SEMPFRM2","SEMPFRM3","SEMPFRM4","SEMPFRM5","SEMPFRMI","SCHLMLX","SCHLMLX_","SEMPFRMX","SEMP_RMX","SEMPFRMM","SEMP_RMM","SMPFRMB","SMPFRMB_","SMPFRMBX","SMPF_MBX","SOCSRRET","SOCS_RET","TAX__NIT","TU_CODE_","TU_D_NDT","WKSTATUS","TAX_UNIT","TU_CODE","TU_DPNDT"
2808032,73,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","1","2","D",,"A","7","D",,"A",.,"A",.,"A","3","D",.,"A",,"A","1","D",,"A",0,"D",.,"A",.,"A","1",,"A",1,,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1",.,"A",.,"A",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A",,1,"1",.
2808032,73,"D",.,"A",.,"A",.,"A",.,"B",.,"A",.,"A",,"A","2","1","D","4","D","6","D","2","D",.,"A",.,"C","3","D",9,"D","1","D",,"A","1","D",8,"D",.,"A",153,"D","1","2","D",2,"03","D","2","D",.,"C",.,"A",1660,"D",.,"C",.,"A","2",0,"D",.,"A",21179,"D",12,"D",.,"A",,"A","01","D",2000,"D",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"B",.,"A",.,"A",152.4,"D",137,309,191,44,81,1660,"D",1660,1660,1660,1660,1660,100,1992.4,"D",1793,4043,2491,576,1059,301,0,"D",0,0,0,0,0,21179,"D",21179,21179,21179,21179,21179,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","1","D","D","D","D","1",1,"2",1
2808055,66,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","1","2","D",,"A","4","D",,"A",.,"A",.,"A","3","D",.,"A",,"A","1","D",,"A",0,"D",.,"A",.,"A","2",,"A",1,,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2",.,"A",.,"A",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,1160.4,"D",1266,494,1833,966,1243,501,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,13925,"D",15192,5928,21996,11592,14916,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A",,1,"1",.
2808102,68,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","1","2","D",,"A","8","D",,"A",.,"A",.,"A","3","D",.,"A","1","D","1","D",,"A",0,"D",.,"A",.,"A","1",,"A",1,,"A",,"A",.,"A",.,"A",.,"C",.,"A",.,"A","2",.,"A",.,"A",1259,"D",12,"D",.,"A",,"A",,"A",.,"A",,"C",.,"B",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,906.2,"D",1230,985,725,550,1041,201,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,12133,"D",16019,13079,9959,7859,13751,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","1","D","D","D","A",,1,"1",.
2808102,68,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","2","2","D",,"A","7","D",,"A",.,"A",.,"A","3","D",.,"A","1","D","1","D",,"A",0,"D",.,"A",.,"A","1",,"A",2,,"A",,"A",.,"A",.,"A",.,"C",.,"A",.,"A","1",.,"A",.,"A",1259,"D",12,"D",.,"A",,"A",,"A",.,"A",,"C",.,"B",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,1467.2,"D",2064,1277,1681,821,1493,201,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,18865,"D",26027,16583,21431,11111,19175,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","1","D","D","D","A",,1,"2",.
2808132,32,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","1","D","1","D","8","D","1","D",.,"A",18812,"T","3","D",40,"D",,"A",,"A","1","D",52,"D",.,"A",8994,"D","5","2","D",1,"03","D","3","D",.,"A",.,"A",.,"A",120000,"D",.,"A","1",0,"D",.,"A",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","4",,"A",,"A",,"A","4","D",,"A",,"A",,"A","6","D",.,"A",.,"A",.,"A",.,"A",.,"A",8994,"D",8994,8994,8994,8994,8994,.,"A",.,.,.,.,.,100,120000,"D",120000,120000,120000,120000,120000,100,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",1,"1",.
2808162,55,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","1","D","1","D","7","D",,"C",.,"A",.,"C","3","D",40,"D",,"A",,"A","1","D",52,"D",.,"A",9429,"D","1",,"A",1,"03","D","5","D",.,"A",.,"A",.,"A",.,"C",.,"A","1",0,"D",.,"A",0,"D",.,"A",.,"A",,"C","11","D",150000,"D",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10984.7,"T",10985,10985,10985,10985,10985,.,"A",.,.,.,.,.,100,212937.2,"T",212937,212937,212937,212937,212937,301,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",1,"1",.
2808162,54,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","2","2","D",,"A","6","D",,"A",.,"A",.,"A","3","D",.,"A",,"A","6","D",,"A",0,"D",.,"A",.,"A","1",,"A",2,,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2",.,"A",.,"A",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","D",,1,"2",1
2808162,27,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","3","1","D","1","D","5","D",,"C",.,"A",.,"C","3","D",40,"D",,"A",,"A","5","D",52,"D",.,"A",0,"D","5",,"A",3,"09","D",,"C",.,"A",.,"A",.,"A",.,"C",.,"A","1",0,"D",.,"A",0,"D",.,"A",.,"A",,"C",,"C",.,"B",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10984.7,"T",10985,10985,10985,10985,10985,.,"A",.,.,.,.,.,100,43134,"D",32506,60590,71621,37789,13164,201,1808,"D",203,5452,0,3369,16,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,,"C",,"A",1324,35633,-4319,22019,106,201,.,"A",.,"B",10953,"D",,"B",.,"B","2","D","D","D","A","2",2,"1",.
2808162,23,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","3","1","D","1","D","4","D",,"C",.,"A",.,"C","3","D",60,"D",,"A",,"A","1","D",52,"D",.,"A",0,"D","5",,"A",4,"11","D",,"C",.,"A",.,"A",.,"A",.,"C",.,"A","2",0,"D",.,"A",0,"D",.,"A",.,"A",,"C",,"C",.,"B",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2327.8,"D",934,1770,1530,5650,1755,.,"A",.,.,.,.,.,100,30429.4,"D",12215,23135,20000,73852,22945,201,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,,"C",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",3,"1",.
