"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X"
"20143",2796853,16,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",10,"D",10,"D",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"F",100,"F",100,"F",0,"D",0,"D",0,"D"
"20143",2796883,43,0,"1",0.21,"D","1","D",,"A","1","D","1","D",,"A",3,"F",3,"F",3,"F",60,"F",60,"F",60,"F",49,"F",49,"F",49,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796923,45,0,"1",0.06,"D","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,"D",4,"D",4,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796923,46,0,"1",0.06,"D",,"A","2","D","2","D","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",182,"D",330,"D",.,"A",.,"A",.,"A",.,"A"
"20143",2796943,25,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",20,"F",20,"F",59,"F",60,"F",60,"F",60,"F",60,"F",60,"F",21,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796943,26,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A"
"20143",2796943,27,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A"
"20143",2796963,44,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",25,"D",25,"D",25,"D",.,"A",.,"A",.,"A",55,"F",55,"F",55,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2796983,15,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",50,"D",50,"D",.,"A",.,"A",.,"A"
"20143",2797023,46,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",40,"F",50,"F",50,"F",60,"F",30,"F",30,"F",20,"F",40,"F",40,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20143",2797023,47,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A"
