QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_,AGE_SEXA,AGE__EXA,CLOGFTA,CLOGFTA_,CLOTHA1,CLOTHA1_,CLOTHA2,CLOTHA2_,CLOTHA3,CLOTHA3_,CLOTHA4,CLOTHA4_,CLOTHA5,CLOTHA5_,CLOTHA6,CLOTHA6_,CLOTHA7,CLOTHA7_,CLOTHA8,CLOTHA8_,CLOTHA9,CLAPURCH,CLOTHA9_,AGESEX1,AGESEX1_,AGESEX2,AGESEX2_,AGESEX3,AGESEX3_,AGESEX4,AGESEX4_,AGESEX5,AGESEX5_,AGESEX6,AGESEX6_
20171,03386964,9,0,2,100,D,10,D,5,D,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03386964,10,0,2,280,D,10,D,70,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03386974,3,0,1,270,D,12,D,,H,2,D,2,D,150,D,110,D,145,D,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03386974,3,1,1,150,D,12,D,47,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03386974,3,2,1,110,D,12,D,73,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03386974,3,3,1,145,D,12,D,80,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03386974,4,0,1,280,D,11,D,118,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,2,0,1,900,D,11,D,,H,3,D,2,D,150,D,220,D,310,D,200,D,145,D,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,2,1,1,150,D,11,D,98,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,2,2,1,145,D,11,D,61,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,3,0,1,900,D,12,D,,H,5,D,2,D,145,D,310,D,150,D,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,3,1,1,310,D,12,D,159,E,5,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,4,0,1,150,D,11,D,95,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387004,5,0,1,280,D,12,D,21,D,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387054,2,0,1,145,D,11,D,212,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,4,0,1,220,D,11,D,11,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,5,0,1,220,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,5,200,1,220,D,12,D,9,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,5,300,1,220,D,12,D,7,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,5,400,1,220,D,12,D,9,E,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,6,0,1,280,D,11,D,22,D,4,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,7,0,1,230,D,12,D,45,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387084,8,0,1,280,D,12,D,27,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387094,1,0,1,145,D,11,D,35,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387104,1,0,1,120,D,12,D,300,D,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387104,2,0,1,280,D,11,D,70,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387114,1,0,1,275,D,10,D,,H,2,D,2,D,145,D,150,D,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387114,1,1,1,145,D,10,D,33,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387114,1,2,1,150,D,10,D,32,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387114,2,0,1,170,D,12,D,16,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387114,3,0,1,280,D,12,D,35,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,3,0,1,100,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,3,100,1,100,D,12,D,52,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,3,200,1,100,D,12,D,48,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,4,0,1,145,D,12,D,,H,,B,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,4,100,1,145,D,12,D,41,E,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,4,200,1,145,D,12,D,77,E,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
20171,03387134,4,300,1,145,D,12,D,32,E,3,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A,,A,,A,,A,,A,,A,,A
