object,baseline_with_leisure,direct_removal_effect,share_renormalization_effect,reestimate_without_leisure_effect,io_knockon_effect_memo,final_after_step3,total_change_vs_baseline
marshallian,1.3798298947272085,-1.5047777204645731,-0.3712803179643094,-0.4457257955432159,-0.006721991038590169,-0.9419539392448899,-2.3217838339720984
realized_ge,-0.26870236085144117,0.09974711610180265,-0.5020476076489636,-0.27767307788487794,-0.006721991038590169,-0.9486759302834801,-0.6799735694320389
