model,category,share,marshallian_own,compensated_own,income_elasticity,contribution
js_rank2,non_durables,0.0677006546194647,-0.9270487888102252,-0.6144879222844335,0.971086652921116,-0.06276180986663413
js_rank2,consumer_services,0.04097649488919879,1.2609851732658939,1.3527008763314434,1.3390923343470362,0.05167075250768535
js_rank2,utilities_public_services,0.024929779990610936,-0.957676232160587,-0.7684781368034902,0.9603465185525906,-0.023874657770000675
js_rank2,housing,0.08482358775131048,-0.694637719527158,-0.5528307827515649,0.9906719195074132,-0.05892166355768209
js_rank2,transportation,0.03336460425401435,-0.9145847566927046,-0.6498667955312942,0.9822941400727814,-0.03051475846380609
js_rank2,leisure,0.7482048784954007,-0.9319291915588224,-0.9319291820061405,0.9878087125692048,-0.6972739675365858
js_rank3,non_durables,0.0677006546194647,-1.142694034230729,-0.8424982388163993,0.9755125379218299,-0.07736113414717737
js_rank3,consumer_services,0.04097649488919879,1.356385194299925,1.452967195223406,1.3489250302312072,0.05557991098201579
js_rank3,utilities_public_services,0.024929779990610936,-0.9511437051212823,-0.7624473378185326,0.9678940210378073,-0.023711803308128093
js_rank3,housing,0.08482358775131048,-0.6042936802463927,-0.4733413263656586,0.9949538841702577,-0.05125835801394225
js_rank3,transportation,0.03336460425401435,-0.8451004254528272,-0.5753408450814876,0.992711808285307,-0.028196441250132733
js_rank3,leisure,0.7482048784954007,2.011184053611892,2.024997336438349,0.6178443542226297,1.5047777204645731
