metric,preferred_model,estimate,ci_lower_95,ci_upper_95,credibility_rank
E_M_preferred,top_tier_quaids,1.3798298947272085,,,moderate
E_GE_preferred,GE-1_top_tier_bridge_io,-0.8267745800704022,,,moderate
