"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"03324174",1,"2015","2014",2,0.153,0.153,"2",0.1865,0.1865,"38","D",0.09,0.09,0,"D",0,"D",40000,"D",40000,"D",34902,"D",0,"D",0,"D",0,"D",0,"D",7500,"D",1614,"D",0,"D",1,"D",12788,"D",8901,6551,8931.73,8891.08,6572.5,6543.5,12240,12240,114902,114902,114902.01,114902.01,754.9,754.9,0,0,0,0,0,0,102114,102114,0,0,9686.63,9645.98,9686.62,9645.97,4231.2,4289.91,21902,21902,0,0,0,0,0,0,0
"03324174",2,"2015","2014",2,0,0,"3",-0.4,-0.4,"38","D",-0.032,-0.032,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405.6,3452.86,0,0,0,0,0,0,0,0,0
"03324204",1,"2015","2014",4,0.153,0.153,"2",0.1391,0.1391,"12","D",0.0733,0.0733,0,"D",0,"D",67873,"D",39221,"D",71,"D",0,"D",0,"D",0,"D",0,"D",2200,"D",0,"D",0,"D",2,"D",14036,"D",6374,5085,6419.19,6359.19,5085.3,5085.3,16385.38,16385.38,107165,107165,107165.01,107165.01,2000,2000,0,0,0,0,0,0,93129,93129,0,0,8419.19,8359.19,8419.19,8359.19,4400,4400,21287.07,21287.07,0,0,0,0,0,0,0
"03324214",1,"2015","2014",0,0.153,0.153,"2",0.25,0.25,"44","D",0,0,0,"D",0,"D",68000,"D",49000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1700,"D",0,"D",0,"D",0,"D",1928,"D",15738,0,15887.5,15687.5,0,0,17901,17901,117000,117000,0,0,0,0,0,0,0,0,0,0,117000,117000,0,0,15887.5,15687.5,15887.5,15687.5,0,0,0,0,0,0,0,0,0,0,0
"03324244",1,"2015","2014",0,0.153,0.153,"1",0.254,0.254,"05","D",0.093,0.093,0,"D",0,"D",115376,"D",0,"D",3002,"D",0,"D",0,"D",0,"D",0,"D",5000,"D",0,"D",0,"D",0,"D",9948,"D",18983,6995,19064.61,18955.45,7019.78,6986.42,17652.53,17652.53,118378,118378,118378.01,118378.01,0,0,0,0,0,0,0,0,108430,108430,0,0,19064.61,18955.45,19064.61,18955.45,3992,4044,14948,14948,0,0,0,0,0,0,0
"03324274",1,"2015","2014",1,0.153,0.153,"3",0.099,0.099,"05","D",0,0,0,"D",0,"D",40588,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3300,"D",400,"D",0,"D",0,"D",22376,"D",588,0,595.86,585.86,0,0,6209.96,6209.96,40588,40588,40588.01,40588.01,0,0,0,0,0,0,0,0,18212,18212,0,0,595.86,585.86,595.86,585.86,7984,8088,26076,26076,0,0,0,0,0,0,0
"03324284",1,"2015","2014",1,0,0,"3",-0.34,-0.34,"44","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",942,"D",0,"D",0,"D",0,"D",100,"D",21,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,942,942,0,0,0,0,0,0,0,0,0,0,942,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03324294",1,"2015","2014",0,0,0,"1",0,0,"05","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",0,"D",27,"D",0,"D",0,"D",0,"D",0,"D",0,"D",96,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3992,4044,96,96,0,0,0,0,0,0,0
"03324304",1,"2015","2014",3,0.153,0.153,"2",0.1454,0.1454,"39","D",0.0307,0.0307,0,"D",0,"D",50000,"D",41000,"D",-1822,"D",0,"D",0,"D",0,"D",0,"D",3600,"D",135,"D",0,"D",3,"D",6492,"D",4523,2738,4561.99,4509.49,2737.76,2737.76,13923,13923,89178,89178,89178.01,89178.01,3000,3000,0,0,0,0,0,0,82686,82686,0,0,7561.99,7509.49,7561.99,7509.49,0,0,0,0,0,0,0,0,0,0,0
"03324324",1,"2015","2014",0,0.153,0.153,"2",0.15,0.15,"0","T",0,0,0,"D",0,"D",35000,"D",60000,"D",-4947,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",1964,"D",0,"D",0,"D",8980,"D",9406,0,9428.85,9398.85,0,0,14535,14535,90053,90053,0,0,0,0,0,0,0,0,0,0,81073,81073,0,0,9428.85,9398.85,9428.85,9398.85,0,0,0,0,0,0,0,0,0,0,0
"03324334",1,"2015","2014",0,0,0,"2",-0.0765,-0.0765,"24","D",0.0156,0.0156,1,"D",1,"D",0,"D",0,"D",5,"D",0,"D",40248,"D",0,"D",0,"D",3300,"D",50,"D",0,"D",0,"D",1200,"D",0,-1414,0,0,-1413.67,-1414.45,0,0,5,5,5.01,5.01,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,13600,13850,0,0,1413.67,1414.45,0,0,0,0,0
"03324394",1,"2015","2014",2,0.153,0.153,"2",0.2371,0.237,"22","D",0.0515,0.052,0,"D",0,"D",33896,"D",75000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1800,"D",175,"D",0,"D",2,"D",6248,"D",9678,4486,9801.1,9636.96,4518.59,4475.14,16661.09,16661.09,108896,108896,108896.01,108896.01,2000,2000,0,0,0,0,0,0,102648,102648,0,0,11801.1,11636.96,11801.1,11636.96,0,0,0,0,0,0,0,0,0,0,0
"03324404",1,"2015","2014",2,0,0,"3",-0.4,-0.4,"06","D",-0.04,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1600,"D",0,"D",0,"D",0,"D",11,"D",0,-10,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03324424",1,"2015","2014",0,0,0,"1",0,0,"33","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",17184,"D",0,"D",0,"D",2000,"D",1718,"D",0,"D",0,"D",5282,"D",0,-86,0,0,-86,-86,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,7900,0,0,86,86,0,0,0,0,0
"03324454",1,"2015","2014",1,0.153,0.153,"3",0.15,0.15,"41","D",0.07,0.07,0,"D",0,"D",44118,"D",0,"D",0,"D",9996,"D",0,"D",0,"D",0,"D",360,"D",1850,"D",0,"D",0,"D",4800,"D",4884,1885,4919.6,4872.1,1898.38,1880.88,6750.05,6750.05,54114,54114,34114.01,33864.01,0,0,0,0,0,0,0,0,54114,54114,0,0,4919.6,4872.1,4919.6,4872.1,0,0,0,0,0,0,0,0,0,0,0
"03324524",1,"2015","2014",0,0,0,"1",0,0,"25","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",17240,"D",0,"D",0,"D",1600,"D",80,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,2300,1680,1680,0,0,0,0,0,0,0
"03324584",1,"2015","2014",2,0.153,0.153,"2",0.15,0.15,"19","D",0.034,0.034,0,"D",0,"D",26233,"D",55000,"D",1296,"D",0,"D",0,"D",0,"D",10500,"D",0,"D",75,"D",0,"D",1,"D",0,"D",6186,2307,6241.85,6166.85,2331.49,2298.49,12428.65,12428.65,82529,82529,82529.01,82529.01,1000,1000,0,0,0,0,0,0,82529,82529,0,0,7241.85,7166.85,7241.85,7166.85,0,0,0,0,0,0,0,0,0,0,0
"03324614",1,"2015","2014",0,0,0,"1",0.15,0.15,"36","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",15600,"D",19344,"D",0,"D",0,"D",750,"D",135,"D",0,"D",0,"D",0,"D",392,0,403.6,388.6,0,0,0,0,15736,15736,15600.01,15600.01,0,0,0,0,0,0,0,0,15736,15736,0,0,403.6,388.6,403.6,388.6,0,0,0,0,0,0,0,0,0,0,0
"03324614",2,"2015","2014",0,0.153,0.153,"1",0.15,0.15,"36","D",0.0346,0.037,0,"D",0,"D",46924,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",5040,1060,5062.35,5032.35,1112.28,1042.16,7179.37,7179.37,46924,46924,46924.01,46924.01,0,0,0,0,0,0,0,0,46924,46924,0,0,5062.35,5032.35,5062.35,5032.35,0,0,0,0,0,0,0,0,0,0,0
