file_path,inferred_type,size_bytes,structure
Demand Elasticity/intrvw14/expn14/trd14.csv,csv,279000,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMYUPD|NUMYUPD_|TOTYUPDX|TOTY_PDX|TOTYUPDY|...
Demand Elasticity/intrvw14/expn14/tre14.csv,csv,167132,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMNONCU|NUMN_NCU|TRNONCUX|TRNO_CUX|TRNONCUY|...
Demand Elasticity/intrvw14/expn14/trf14.csv,csv,33987,columns=27:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMLOC|NUMLOC_|LOCLODGX|LOCL_DGX|ALCMEALX|...
Demand Elasticity/intrvw14/expn14/trv14.csv,csv,3289728,columns=93:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|WHATPART|WHAT_ART|TRIPIDBC|TRIP_DBC|NUMSAME|...
Demand Elasticity/intrvw14/expn14/uta14.csv,csv,6431656,columns=47:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|TELBSNZ|TELBSNZ_|TELRESD|TELRESD_|TELCELL|...
Demand Elasticity/intrvw14/expn14/utc14.csv,csv,12076746,columns=39:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|UTILY|UTILY_|WHATPROP|WHAT_ROP|BLPERIOD|...
Demand Elasticity/intrvw14/expn14/uti14.csv,csv,3310618,columns=28:QYEAR|NEWID|SEQNO|ALCNO|INTSERV|INTSERV_|INTMO|INTMO_|INTCHGX|INTCHGX_|...
Demand Elasticity/intrvw14/expn14/utp14.csv,csv,1034519,columns=7:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|QFCD3MCX|QFCD_MCX
Demand Elasticity/intrvw14/expn14/veq14.csv,csv,4386470,columns=37:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPMOA|VOPMOA_|VOPEXPX|VOPEXPX_|VOPRMBXA|...
Demand Elasticity/intrvw14/expn14/vlr14.csv,csv,836899,columns=19:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPREGY|VOPREGY_|VOPMO_C|VOPMO_C_|VOPREGX|...
Demand Elasticity/intrvw14/expn14/vot14.csv,csv,3050823,columns=27:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPFLUDX|VOPF_UDX|VOPPARKX|VOPP_RKX|VOPTOWX|...
Demand Elasticity/intrvw14/expn14/xpa14.csv,csv,3690847,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|JMKPURQV|JMKP_RQV|JNONFDQV|JNON_DQV|JOTHSTQV|...
Demand Elasticity/intrvw14/expn14/xpb14.csv,csv,3607817,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|OTHLNDRX|OTHL_DRX|OTHDCLNX|OTHD_LNX|SAFDPSTX|...
Demand Elasticity/intrvw14/intrvw14/fmli141x.csv,csv,18337128,columns=844:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw14/intrvw14/fmli142.csv,csv,18345979,columns=844:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw14/intrvw14/fmli143.csv,csv,18299828,columns=844:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw14/intrvw14/fmli144.csv,csv,18290971,columns=844:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw14/intrvw14/fmli151.csv,csv,18081258,columns=844:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw14/intrvw14/itbi141x.csv,csv,16858663,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw14/intrvw14/itbi142.csv,csv,16896040,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw14/intrvw14/itbi143.csv,csv,16829776,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw14/intrvw14/itbi144.csv,csv,16816057,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw14/intrvw14/itbi151.csv,csv,16271281,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw14/intrvw14/itii141x.csv,csv,26316937,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw14/intrvw14/itii142.csv,csv,26403637,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw14/intrvw14/itii143.csv,csv,26244856,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw14/intrvw14/itii144.csv,csv,26317597,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw14/intrvw14/itii151.csv,csv,25692757,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw14/intrvw14/memi141x.csv,csv,9472720,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw14/intrvw14/memi142.csv,csv,9541020,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw14/intrvw14/memi143.csv,csv,9482811,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw14/intrvw14/memi144.csv,csv,9467178,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw14/intrvw14/memi151.csv,csv,9289818,columns=193:NEWID|AGE|AGE_|AMTFED|AMTFED_|ANFEDTX|ANFEDTX_|ANGOVRTX|ANGO_RTX|ANPRVPNX|...
Demand Elasticity/intrvw14/intrvw14/mtbi141x.csv,csv,34190960,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw14/intrvw14/mtbi142.csv,csv,33653332,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw14/intrvw14/mtbi143.csv,csv,34226370,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw14/intrvw14/mtbi144.csv,csv,33992913,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw14/intrvw14/mtbi151.csv,csv,34387019,columns=13:SEQNO|ALCNO|NEWID|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw14/intrvw14/ntaxi141x.csv,csv,2408870,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw14/intrvw14/ntaxi142.csv,csv,2444207,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw14/intrvw14/ntaxi143.csv,csv,2433038,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw14/intrvw14/ntaxi144.csv,csv,2435242,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw14/intrvw14/ntaxi151.csv,csv,2418184,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw14/para14/fpar1314.csv,csv,20526545,columns=76:QYEAR|OUTCOME|NEWID|HSG_UNIT|CONVREF|TELPV|HOW_INTV|SNGL_INT|TELSCT01|TELSCT02|...
Demand Elasticity/intrvw14/para14/mchi1314.csv,csv,81985093,columns=85:QYEAR|INTERI|CNTCKEY|LAUNCH|COUTCOME|TIMER|CTSTATUS|CTTYPE|RSPDNT01|RSPDNT02|...
Demand Elasticity/intrvw15/.DS_Store,unknown,6148,
Demand Elasticity/intrvw15/expn15/apa15.csv,csv,324028,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MAJAPPLY|MAJA_PLY|GFTC_MAJ|GFTC0MAJ|MAJ_MO|...
Demand Elasticity/intrvw15/expn15/apb15.csv,csv,3525495,columns=37:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MINAPPLY|MINA_PLY|GFTCMIN|GFTCMIN_|MIN_MO|...
Demand Elasticity/intrvw15/expn15/cla15.csv,csv,13734141,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CLOTHYA|CLOTHYA_|CLOTHMOA|CLOT_MOA|CLOTHXA|...
Demand Elasticity/intrvw15/expn15/cld15.csv,csv,195859,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CLOTHYD|CLOTHYD_|CLSVGFTC|CLSV_FTC|CLOTHMOD|...
Demand Elasticity/intrvw15/expn15/cnt15.csv,csv,1410711,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CONTCODE|CONT_ODE|CONTMO|CONTMO_|CONTEXPX|...
Demand Elasticity/intrvw15/expn15/cra15.csv,csv,81055,columns=29:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CRMCODEA|CRMC_DEA|ADVMATX|ADVMATX_|MATNSPCX|...
Demand Elasticity/intrvw15/expn15/crb15.csv,csv,2430848,columns=81:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CRMCODEB|CRMC_DEB|CRMPROPI|CRMP_OPI|CRMTYPE|...
Demand Elasticity/intrvw15/expn15/eda15.csv,csv,1317689,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|EDUC_AY|EDUC_AY_|EDUCGFTC|EDUC_FTC|EDSCHL_A|...
Demand Elasticity/intrvw15/expn15/eqb15.csv,csv,435161,columns=29:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|APPRPRYB|APPR_RYB|SRVCMOB|SRVCMOB_|REPAIRX|...
Demand Elasticity/intrvw15/expn15/fra15.csv,csv,2555857,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|FURNPURY|FURN_URY|FURNMO|FURNMO_|FURNGFTC|...
Demand Elasticity/intrvw15/expn15/frb15.csv,csv,13080,columns=9:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|QFRT3MCX|QFRT_MCX|QREP3MCX|QREP_MCX
Demand Elasticity/intrvw15/expn15/hel15.csv,csv,156521,columns=73:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOG|PROP0NOG|OWNYG|OWNYG_|NEWMRTG|...
Demand Elasticity/intrvw15/expn15/ihb15.csv,csv,4480115,columns=39:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|HHIPDLIB|HHIP_LIB|HHISTATB|HHIS_ATB|HHICOVQ|...
Demand Elasticity/intrvw15/expn15/ihc15.csv,csv,2746916,columns=23:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|HHMCRENR|HHMC_ENR|HHMCRCOV|HHMC_COV|MDCDENR|...
Demand Elasticity/intrvw15/expn15/ihd15.csv,csv,673743,columns=26:QYEAR|NEWID|SEQNO|ALCNO|PRTDMBNO|PRTD_BNO|ENROLLMO|ENRO_LMO|ENROLLYR|ENRO_LYR|...
Demand Elasticity/intrvw15/expn15/inb15.csv,csv,12172683,columns=67:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|POLICYIB|POLI_YIB|PLCYSTAB|PLCY_TAB|POLICYYB|...
Demand Elasticity/intrvw15/expn15/lsd15.csv,csv,370598,columns=53:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|LSDNUM|LSDNUM_|LSDCODE|LSDCODE_|MODELYR|...
Demand Elasticity/intrvw15/expn15/mdb15.csv,csv,4981517,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MEDPCARY|MEDP_ARY|MEDPGFTC|MEDP_FTC|MEDPMTMO|...
Demand Elasticity/intrvw15/expn15/mdc15.csv,csv,105171,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MEDRCARY|MEDR_ARY|MEDRGFTC|MEDR_FTC|MEDRMBMO|...
Demand Elasticity/intrvw15/expn15/mis15.csv,csv,4499767,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MISCCODE|MISC_ODE|MISCMO|MISCMO_|MISCGFTC|...
Demand Elasticity/intrvw15/expn15/mor15.csv,csv,3305809,columns=73:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOF|PROP0NOF|OWNYF|OWNYF_|NEWMRRT|...
Demand Elasticity/intrvw15/expn15/opb15.csv,csv,3461248,columns=43:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOB|PROP0NOB|OWNYB|OWNYB_|OBSNSZB|...
Demand Elasticity/intrvw15/expn15/opd15.csv,csv,9779,columns=19:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOD|PROP0NOD|OWNYD|OWNYD_|DISPMTHD|...
Demand Elasticity/intrvw15/expn15/oph15.csv,csv,133579,columns=21:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOH|PROP0NOH|OWNYH|OWNYH_|PAIDLOAN|...
Demand Elasticity/intrvw15/expn15/opi15.csv,csv,14643891,columns=152:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOI|PROP0NOI|OWNYI|OWNYI_|QRENTDDZ|...
Demand Elasticity/intrvw15/expn15/ovb15.csv,csv,17147837,columns=88:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VEHICYB|VEHICYB_|VEHICYR|VEHICYR_|VEHBSNZ|...
Demand Elasticity/intrvw15/expn15/ovc15.csv,csv,155520,columns=23:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VEHICYC|VEHICYC_|VEHDISP|VEHDISP_|VDISPMO|...
Demand Elasticity/intrvw15/expn15/rnt15.csv,csv,2573105,columns=55:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|SAMP_UN|SAMP_UN_|RTELECT|RTELECT_|RTGAS|...
Demand Elasticity/intrvw15/expn15/rtv15.csv,csv,66381,columns=13:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|RENTCODE|RENT_ODE|BSNSPCTZ|BSNS_CTZ|QADRENTX|...
Demand Elasticity/intrvw15/expn15/sub15.csv,csv,3265066,columns=13:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|S17CODEA|S17C_DEA|S17GFTCA|S17G_TCA|SUBEXPX|...
Demand Elasticity/intrvw15/expn15/trd15.csv,csv,317016,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMYUPD|NUMYUPD_|TOTYUPDX|TOTY_PDX|TOTYUPDY|...
Demand Elasticity/intrvw15/expn15/tre15.csv,csv,150125,columns=9:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|TRNONCUX|TRNO_CUX|TRNONCUY|TRNO_CUY
Demand Elasticity/intrvw15/expn15/trf15.csv,csv,39336,columns=27:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|NUMLOC|NUMLOC_|LOCLODGX|LOCL_DGX|ALCMEALX|...
Demand Elasticity/intrvw15/expn15/trv15.csv,csv,3316352,columns=93:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|WHATPART|WHAT_ART|TRIPIDBC|TRIP_DBC|NUMSAME|...
Demand Elasticity/intrvw15/expn15/uta15.csv,csv,6247886,columns=49:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|TELBSNZ|TELBSNZ_|TELRESD|TELRESD_|TELCELL|...
Demand Elasticity/intrvw15/expn15/utc15.csv,csv,11419253,columns=39:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|UTILY|UTILY_|WHATPROP|WHAT_ROP|BLPERIOD|...
Demand Elasticity/intrvw15/expn15/uti15.csv,csv,3339127,columns=28:QYEAR|NEWID|SEQNO|ALCNO|INTSERV|INTSERV_|INTMO|INTMO_|INTCHGX|INTCHGX_|...
Demand Elasticity/intrvw15/expn15/utp15.csv,csv,1049682,columns=7:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|QFCD3MCX|QFCD_MCX
Demand Elasticity/intrvw15/expn15/veq15.csv,csv,4108733,columns=37:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPMOA|VOPMOA_|VOPEXPX|VOPEXPX_|VOPRMBXA|...
Demand Elasticity/intrvw15/expn15/vlr15.csv,csv,843891,columns=19:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPREGY|VOPREGY_|VOPMO_C|VOPMO_C_|VOPREGX|...
Demand Elasticity/intrvw15/expn15/vot15.csv,csv,2920783,columns=27:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|VOPFLUDX|VOPF_UDX|VOPPARKX|VOPP_RKX|VOPTOWX|...
Demand Elasticity/intrvw15/expn15/xpa15.csv,csv,3523901,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|JMKPURQV|JMKP_RQV|JNONFDQV|JNON_DQV|JOTHSTQV|...
Demand Elasticity/intrvw15/expn15/xpb15.csv,csv,3438986,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|OTHLNDRX|OTHL_DRX|OTHDCLNX|OTHD_LNX|SAFDPSTX|...
Demand Elasticity/intrvw15/intrvw15/fmli151x.csv,csv,11550772,columns=806:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw15/intrvw15/fmli152.csv,csv,17533961,columns=806:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw15/intrvw15/fmli153.csv,csv,17466566,columns=806:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw15/intrvw15/fmli154.csv,csv,17155813,columns=806:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw15/intrvw15/fmli161.csv,csv,17320300,columns=808:NEWID|DIRACC|DIRACC_|AGE_REF|AGE_REF_|AGE2|AGE2_|AS_COMP1|AS_C_MP1|AS_COMP2|...
Demand Elasticity/intrvw15/intrvw15/itbi151x.csv,csv,10713142,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw15/intrvw15/itbi152.csv,csv,16585207,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw15/intrvw15/itbi153.csv,csv,16495096,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw15/intrvw15/itbi154.csv,csv,16247245,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw15/intrvw15/itbi161.csv,csv,16333003,columns=7:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_
Demand Elasticity/intrvw15/intrvw15/itii151x.csv,csv,14545375,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw15/intrvw15/itii152.csv,csv,22598737,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw15/intrvw15/itii153.csv,csv,22530664,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw15/intrvw15/itii154.csv,csv,22164607,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw15/intrvw15/itii161.csv,csv,22322866,columns=8:NEWID|REFMO|REFYR|UCC|PUBFLAG|VALUE|VALUE_|IMPNUM
Demand Elasticity/intrvw15/intrvw15/memi151x.csv,csv,5790272,columns=181:NEWID|AGE|AGE_|ANGOVRTX|ANGO_RTX|ANPRVPNX|ANPR_PNX|ANRRDEDX|ANRR_EDX|ARM_FORC|...
Demand Elasticity/intrvw15/intrvw15/memi152.csv,csv,8966440,columns=181:NEWID|AGE|AGE_|ANGOVRTX|ANGO_RTX|ANPRVPNX|ANPR_PNX|ANRRDEDX|ANRR_EDX|ARM_FORC|...
Demand Elasticity/intrvw15/intrvw15/memi153.csv,csv,8903589,columns=181:NEWID|AGE|AGE_|ANGOVRTX|ANGO_RTX|ANPRVPNX|ANPR_PNX|ANRRDEDX|ANRR_EDX|ARM_FORC|...
Demand Elasticity/intrvw15/intrvw15/memi154.csv,csv,8733986,columns=181:NEWID|AGE|AGE_|ANGOVRTX|ANGO_RTX|ANPRVPNX|ANPR_PNX|ANRRDEDX|ANRR_EDX|ARM_FORC|...
Demand Elasticity/intrvw15/intrvw15/memi161.csv,csv,8780264,columns=181:NEWID|AGE|AGE_|ANGOVRTX|ANGO_RTX|ANPRVPNX|ANPR_PNX|ANRRDEDX|ANRR_EDX|ARM_FORC|...
Demand Elasticity/intrvw15/intrvw15/mtbi151x.csv,csv,23417017,columns=13:NEWID|SEQNO|ALCNO|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw15/intrvw15/mtbi152.csv,csv,35656001,columns=13:NEWID|SEQNO|ALCNO|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw15/intrvw15/mtbi153.csv,csv,36133027,columns=13:NEWID|SEQNO|ALCNO|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw15/intrvw15/mtbi154.csv,csv,35365238,columns=13:NEWID|SEQNO|ALCNO|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw15/intrvw15/mtbi161.csv,csv,35595828,columns=13:NEWID|SEQNO|ALCNO|EXPNAME|COST_|REF_MO|REF_YR|RTYPE|GIFT|UCCSEQ|...
Demand Elasticity/intrvw15/intrvw15/ntaxi151x.csv,csv,1599792,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw15/intrvw15/ntaxi152.csv,csv,2472477,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw15/intrvw15/ntaxi153.csv,csv,2462864,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw15/intrvw15/ntaxi154.csv,csv,2424064,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw15/intrvw15/ntaxi161.csv,csv,2440153,columns=81:NEWID|TAX_UNIT|TAXYR_CY|TAXYR_PY|DEPCNT|FICAR_CY|FICAR_PY|FILESTAT|FRATE_CY|FRATE_PY|...
Demand Elasticity/intrvw15/para15/fpar1415.csv,csv,19142564,columns=76:QYEAR|NEWID|OUTCOME|HSG_UNIT|CONVREF|TELPV|HOW_INTV|SNGL_INT|TELSCT01|TELSCT02|...
Demand Elasticity/intrvw15/para15/mchi1415.csv,csv,78966254,columns=85:QYEAR|INTERI|CNTCKEY|LAUNCH|COUTCOME|TIMER|CTSTATUS|CTTYPE|RSPDNT01|RSPDNT02|...
Demand Elasticity/intrvw16/.DS_Store,unknown,6148,
Demand Elasticity/intrvw16/expn16/apa16.csv,csv,365244,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MAJAPPLY|MAJA_PLY|GFTC_MAJ|GFTC0MAJ|MAJ_MO|...
Demand Elasticity/intrvw16/expn16/apb16.csv,csv,4023984,columns=38:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MINAPPLY|MINA_PLY|GFTCMIN|GFTCMIN_|MIN_MO|...
Demand Elasticity/intrvw16/expn16/cla16.csv,csv,15443138,columns=34:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CLOTHYA|CLOTHYA_|CLOTHMOA|CLOT_MOA|CLOTHXA|...
Demand Elasticity/intrvw16/expn16/cld16.csv,csv,210184,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CLOTHYD|CLOTHYD_|CLSVGFTC|CLSV_FTC|CLOTHMOD|...
Demand Elasticity/intrvw16/expn16/cnt16.csv,csv,1547706,columns=11:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CONTCODE|CONT_ODE|CONTMO|CONTMO_|CONTEXPX|...
Demand Elasticity/intrvw16/expn16/cra16.csv,csv,88848,columns=29:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CRMCODEA|CRMC_DEA|ADVMATX|ADVMATX_|MATNSPCX|...
Demand Elasticity/intrvw16/expn16/crb16.csv,csv,2594782,columns=81:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CRMCODEB|CRMC_DEB|CRMPROPI|CRMP_OPI|CRMTYPE|...
Demand Elasticity/intrvw16/expn16/eda16.csv,csv,1339598,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|EDUC_AY|EDUC_AY_|EDUCGFTC|EDUC_FTC|EDSCHL_A|...
Demand Elasticity/intrvw16/expn16/eqb16.csv,csv,507847,columns=29:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|APPRPRYB|APPR_RYB|SRVCMOB|SRVCMOB_|REPAIRX|...
Demand Elasticity/intrvw16/expn16/fra16.csv,csv,2908439,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|FURNPURY|FURN_URY|FURNMO|FURNMO_|FURNGFTC|...
