file_path,inferred_type,size_bytes,structure
Demand Elasticity/intrvw13/expn13/cra13.csv,csv,77617,columns=29:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CRMCODEA|CRMC_DEA|ADVMATX|ADVMATX_|MATNSPCX|...
Demand Elasticity/intrvw13/expn13/crb13.csv,csv,2588159,columns=85:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|CRMCODEB|CRMC_DEB|CRMPROPI|CRMP_OPI|CRMTYPE|...
Demand Elasticity/intrvw13/expn13/eda13.csv,csv,1507944,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|EDUC_AY|EDUC_AY_|EDUCGFTC|EDUC_FTC|EDSCHL_A|...
Demand Elasticity/intrvw13/expn13/eqb13.csv,csv,469227,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|RPAIRTYP|RPAI_TYP|APPRPRYB|APPR_RYB|SRVCMOB|...
Demand Elasticity/intrvw13/expn13/fra13.csv,csv,2659423,columns=31:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|FURNPURY|FURN_URY|FURNMO|FURNMO_|FURNGFTC|...
Demand Elasticity/intrvw13/expn13/frb13.csv,csv,11677,columns=9:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|QFRT3MCX|QFRT_MCX|QREP3MCX|QREP_MCX
Demand Elasticity/intrvw13/expn13/hel13.csv,csv,176314,columns=73:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|PROP_NOG|PROP0NOG|OWNYG|OWNYG_|NEWMRTG|...
Demand Elasticity/intrvw13/expn13/ihb13.csv,csv,4098276,columns=35:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|HHIPDLIB|HHIP_LIB|HHISTATB|HHIS_ATB|HHICOVQ|...
Demand Elasticity/intrvw13/expn13/ihc13.csv,csv,1166983,columns=21:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|HHMCRENR|HHMC_ENR|HHMCRCOV|HHMC_COV|MDCDENR|...
Demand Elasticity/intrvw13/expn13/ihd13.csv,csv,574274,columns=26:QYEAR|NEWID|SEQNO|ALCNO|PRTDMBNO|PRTD_BNO|ENROLLMO|ENRO_LMO|ENROLLYR|ENRO_LYR|...
Demand Elasticity/intrvw13/expn13/inb13.csv,csv,14803693,columns=69:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|POLICYIB|POLI_YIB|PLCYSTAB|PLCY_TAB|POLICYYB|...
Demand Elasticity/intrvw13/expn13/lsd13.csv,csv,308830,columns=53:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|LSDNUM|LSDNUM_|LSDCODE|LSDCODE_|MODELYR|...
Demand Elasticity/intrvw13/expn13/mdb13.csv,csv,5910535,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MEDPCARY|MEDP_ARY|MEDPGFTC|MEDP_FTC|MEDPMTMO|...
Demand Elasticity/intrvw13/expn13/mdc13.csv,csv,134077,columns=33:QYEAR|NEWID|SEQNO|ALCNO|REC_ORIG|MEDRCARY|MEDR_ARY|MEDRGFTC|MEDR_FTC|MEDRMBMO|...
