category,share,marshallian_own_elasticity,contribution_share_times_elasticity,beta,gamma_ii,ci_lower_95,ci_upper_95
food_beverages,0.22412964535982507,-0.22450085251521548,-0.05031729645721364,-0.053344116417562405,0.16185635100790996,-1.749538229265125,1.0379205577505306
housing,0.42070923837147906,2.1388130434601327,0.8998184065330975,-0.022241063005081243,1.3111706242271368,-2.298257778928844,4.9660324603389965
apparel,0.020985931135231783,-10.583240526034384,-0.22209915686695178,0.0009579423774125915,-0.20109312241895608,-27.97062930237101,-2.6203434820707128
transportation,0.1444260476685049,-1.6667535763529857,-0.24072263147000733,0.050294539834515456,-0.08903274219389717,-2.5020694506491097,-0.6019913314009656
medical_care,0.09612165992829376,-4.258053315595976,-0.4092911527582601,0.0027635286452267318,-0.31290385786932773,-9.399861219099705,-0.7211537924023198
recreation,0.05426542386972428,-6.386668337369468,-0.34657526444270137,0.009236163779957647,-0.2918086362305275,-18.73950059693339,5.616306122130454
education_communication,0.012855766624805996,-0.5618785824694549,-0.007223379927704121,0.012622831317172487,0.005794662870659736,-18.370215493653067,13.87414371767375
other_goods_services,0.026506287042135146,-1.5491441858160426,-0.041062060458894774,-0.00028982653164126744,-0.014563455641999736,-15.15736331780111,6.104043351416727
