metric,estimate,ci_lower_95,ci_upper_95,identification_rank,object_status
weighted_mean_marshallian,-0.41747253584863553,-2.360475740942296,1.1197230493930046,weak,estimated_from_local_data
weighted_mean_realized_ge_approx,-1.80355727604862,,,approximation,io_linked_approximation
