"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MISCCODE","MISC_ODE","MISCMO","MISCMO_","MISCGFTC","MISC_FTC","MISCEXPX","MISC_XPX","MISCDE1","MISCDE1_","MISCDE2","MISCDE2_","MISCDE3","MISCDE3_","MISCDE4","MISCDE4_","MISCDE5","MISCDE5_","MISCDE6","MISCDE6_","MISCDE7","MISCDE7_","MISCDE8","MISCDE8_","MISCDE9","MISCDE9_"
"20131",2511905,53,0,"1","240","D","12","D","1","D",57,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511905,54,0,"1","260","D","11","D","1","D",430,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511905,55,0,"1","260","D","12","D","1","D",232,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511955,27,0,"1","240","D","13","D","1","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511965,24,0,"1","150","D","11","D","1","D",800,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511965,25,0,"1","230","D","11","D","1","D",8000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511965,26,0,"1","240","D","13","D","1","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511975,42,0,"1","440","D","11","D","1","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511975,43,0,"1","240","D","13","D","1","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511985,37,0,"1","330","D","12","D","1","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511995,62,0,"1","380","D","13","D","1","D",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511995,63,0,"1","140","D","12","D","1","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511995,64,0,"1","390","D","13","D","1","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2511995,65,0,"1","330","D","12","D","1","D",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512005,24,0,"1","330","D","12","D","1","D",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512005,25,0,"1","240","D","11","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512005,26,0,"1","260","D","11","D","1","D",12,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512055,22,0,"1","220","D","13","D","1","D",320,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512055,23,0,"1","330","D","12","D","1","D",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512085,25,0,"1","240","D","12","D","1","D",5,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512085,26,0,"2","330","D","10","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512105,36,0,"1","330","D","10","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512105,37,0,"1","330","D","11","D","1","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512105,38,0,"1","330","D","12","D","1","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512145,32,0,"1","240","D","13","D","1","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20131",2512145,33,0,"1","330","D","12","D","2","D",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
