"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20132",2550045,35,0,"1",650,"D",0,"D",.,"A",650,"D",300,"D",.,"A",.,"A",.,"A",650,"D",,"A",90,"D",.,"A",.,"A",78,"D",6,"D"
"20132",2550075,46,0,"1",1950,"D",520,"D",.,"A",520,"D",75,"D",.,"A",.,"A",.,"A",1430,"D",,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550095,18,0,"1",975,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",910,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550125,28,0,"1",1300,"D",390,"D",.,"A",1040,"D",.,"A",.,"A",.,"A",.,"A",910,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550155,51,0,"1",1300,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1040,"D",,"A",.,"A",70,"D",910,"D",.,"A",.,"A"
"20132",2550185,36,0,"1",390,"D",130,"D",.,"A",260,"D",0,"D",.,"A",.,"A",.,"A",260,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550195,52,0,"1",1690,"D",520,"D",520,"D",325,"D",.,"A",.,"A",.,"A",.,"A",1170,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550225,56,0,"1",2600,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",2275,"D",,"A",.,"A",100,"D",1300,"D",.,"A",.,"A"
"20132",2550245,48,0,"1",1300,"D",130,"D",.,"A",130,"D",45,"D",.,"A",.,"A",.,"A",1170,"D",,"A",0,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550265,55,0,"1",1170,"D",390,"D",.,"A",780,"D",0,"D",.,"A",.,"A",.,"A",780,"D",,"A",75,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550275,39,0,"1",1950,"D",780,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1170,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550295,16,0,"1",1300,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1040,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550305,30,0,"1",2600,"D",390,"D",.,"A",650,"D",.,"A",.,"A",.,"A",147,"F",2210,"D",,"A",.,"A",75,"D",975,"D",.,"A",.,"A"
"20132",2550335,22,0,"1",2600,"D",650,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",1950,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550355,24,0,"1",1300,"D",325,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",975,"D",,"A",840,"D",42,"D",546,"D",.,"A",.,"A"
"20132",2550365,63,0,"1",650,"D",325,"D",.,"A",3250,"D",750,"D",.,"A",.,"A",120,"D",325,"D",,"A",0,"D",.,"A",.,"A",0,"D",0,"D"
"20132",2550375,27,0,"1",195,"D",13,"D",.,"A",156,"D",15,"D",.,"A",.,"A",.,"A",182,"D",,"A",30,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550385,24,0,"1",975,"D",325,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550405,65,0,"1",1651,"D",0,"D",.,"A",780,"D",0,"D",.,"A",.,"A",.,"A",1651,"D",,"A",180,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550415,17,0,"1",520,"D",0,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",520,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550425,25,0,"1",1300,"D",260,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1040,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550455,33,0,"1",520,"D",65,"D",.,"A",1300,"D",600,"D",.,"A",.,"A",.,"A",455,"D",,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550495,10,0,"1",1560,"D",520,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1040,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550515,24,0,"1",1950,"D",325,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",1625,"D",,"A",90,"D",30,"D",390,"D",.,"A",.,"A"
"20132",2550545,65,0,"1",2223,"D",130,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",2093,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550555,35,0,"1",1560,"D",260,"D",325,"D",650,"D",.,"A",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550565,44,0,"1",2340,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",2080,"D",,"A",45,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550585,41,0,"1",1950,"D",650,"D",.,"A",260,"D",.,"A",.,"A",.,"A",85,"D",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550605,22,0,"1",2600,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",2340,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550615,62,0,"1",1300,"D",325,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",975,"D",,"A",.,"A",40,"D",520,"D",.,"A",.,"A"
"20132",2550635,55,0,"1",1430,"D",260,"D",195,"D",390,"D",150,"D",.,"A",.,"A",.,"A",1170,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550645,51,0,"1",2600,"D",520,"D",650,"D",260,"D",.,"A",.,"A",.,"A",.,"A",2080,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550685,29,0,"1",1950,"D",195,"D",.,"A",845,"D",.,"A",.,"A",.,"A",.,"A",1755,"D",,"A",.,"A",25,"D",325,"D",.,"A",.,"A"
"20132",2550695,32,0,"1",1040,"D",390,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",650,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550705,16,0,"1",1300,"D",260,"D",.,"A",260,"D",0,"D",.,"A",.,"A",.,"A",1040,"D",,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550735,51,0,"1",1950,"D",390,"D",.,"A",650,"D",150,"D",.,"A",.,"A",90,"D",1560,"D",,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550775,70,0,"1",1950,"D",260,"D",.,"A",520,"D",240,"D",.,"A",.,"A",.,"A",1690,"D",,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550805,24,0,"1",2860,"D",390,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",2470,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550845,50,0,"1",975,"D",130,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",845,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550875,50,0,"1",2080,"D",455,"D",.,"A",1300,"D",105,"D",.,"A",.,"A",.,"A",1625,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550895,21,0,"1",940,"F",.,"A",.,"A",536,"F",.,"A",.,"A",.,"A",.,"A",783,"F",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550915,15,0,"1",585,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",520,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550925,90,0,"1",1950,"D",650,"D",.,"A",715,"D",150,"D",.,"A",.,"A",36,"D",1300,"D",,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2550935,19,0,"1",1300,"D",455,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",845,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2550945,36,0,"1",325,"D",200,"F",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",761,"F",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551005,22,0,"1",780,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551015,27,0,"1",1820,"D",260,"D",.,"A",390,"D",.,"A",.,"A",.,"A",132,"D",1560,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551025,62,0,"1",1950,"D",650,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551055,17,0,"1",650,"D",130,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",520,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551075,25,0,"1",1755,"D",390,"D",260,"D",0,"D",.,"A",.,"A",.,"A",.,"A",1365,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551085,36,0,"1",1300,"D",390,"D",.,"A",195,"D",0,"D",.,"A",.,"A",60,"D",910,"D",,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551095,18,0,"1",390,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",325,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551115,19,0,"1",845,"D",156,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",689,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551135,26,0,"1",845,"D",130,"D",.,"A",156,"D",.,"A",.,"A",.,"A",.,"A",715,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551145,31,0,"1",2600,"D",455,"D",.,"A",3900,"D",.,"A",.,"A",.,"A",.,"A",2145,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551155,33,0,"1",780,"D",195,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",585,"D",,"A",45,"D",.,"A",.,"A",650,"D",50,"D"
"20132",2551165,32,0,"1",650,"D",65,"D",.,"A",104,"D",.,"A",.,"A",.,"A",.,"A",585,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551175,30,0,"1",1300,"D",260,"D",455,"D",650,"D",.,"A",.,"A",.,"A",.,"A",1040,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551185,51,0,"1",1560,"D",130,"D",.,"A",260,"D",0,"D",.,"A",.,"A",.,"A",1430,"D",,"A",120,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551195,14,0,"1",650,"D",65,"D",.,"A",26,"D",.,"A",.,"A",.,"A",.,"A",585,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551205,41,0,"1",780,"D",325,"D",.,"A",1300,"D",180,"D",.,"A",.,"A",.,"A",455,"D",,"A",90,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551225,53,0,"1",2600,"D",585,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",40,"D",2015,"D",,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20132",2551235,24,0,"1",1690,"D",390,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551245,39,0,"1",650,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",585,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20132",2551335,10,0,"1",650,"D",390,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",260,"D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
