"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20131",2527685,66,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2528215,29,0,"1","100","D","1","D","01","D",250,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2528495,58,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2528665,38,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2529705,48,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2530705,50,0,"2","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2531475,71,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","04","D"
"20131",2531815,55,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2532035,58,0,"2","110","D","1","D","11","D",12000,"D",.,"A",.,"A","1","D",15000,"D","02","D"
"20131",2532795,44,0,"1","100","D","1","D","12","D",1200,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2533325,38,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20131",2534235,34,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20131",2535625,45,0,"1","100","D","1","D","12","D",1200,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2535625,46,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2535865,48,0,"1","100","D","1","D","12","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2535935,47,0,"1","100","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2536045,34,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2536475,40,0,"1","110","D","1","D","01","D",3500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2536955,62,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2537235,39,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2538075,33,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2538545,57,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2538655,58,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2539025,57,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2540255,35,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2541485,55,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20131",2542245,38,0,"1","110","D","6","D","02","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20131",2543845,52,0,"1","110","D","1","D","12","D",7000,"D",.,"A",.,"A","1","D",10300,"D","01","D"
"20131",2544085,53,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2545244,40,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20131",2545974,42,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2546034,32,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20131",2546224,57,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2546734,54,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20131",2546774,60,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","03","D"
"20131",2546794,51,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
