"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20131",2512765,24,0,"5","01","D","100","D",0.074,"D",32516,"D",5,"D",650,"D",,"A",,"A",,"A",,"A",0,"D",524,"D",527,"D",531,"D",126,"D",123,"D",119,"D",,"A","09","D","2010","D","1","D",,"A",20407,"D",19882,"D",19355,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2513405,46,0,"5","01","D","100","D",0.075,"D",82000,"D",15,"D",849,"D",,"B",,"B",,"B",,"B",89,"D",500,"D",504,"D",507,"D",260,"D",256,"D",253,"D",,"A","05","D","2003","D","1","D",,"A",41532,"D",41031,"D",40528,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2514595,56,0,"5","01","D","100","D",0.0765,"D",25000,"D",15,"D",255,"D",,"B",,"B",,"B",,"B",21,"D",126,"D",127,"D",128,"D",108,"D",107,"D",106,"D",,"A","11","D","2005","D","1","D",,"A",16869,"D",16743,"D",16615,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2514705,82,0,"5","01","D","100","D",0.0859,"D",69255,"D",10,"D",862,"D",,"A",,"A",,"A",,"A",0,"D",570,"D",574,"D",578,"D",292,"D",288,"D",284,"D",,"A","08","D","2007","D","1","D",,"A",40798,"D",40228,"D",39654,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2515655,32,0,"5","01","D","100","D",0.0859,"D",47676,"D",15,"D",472,"D",,"A",,"A",,"A",,"A",0,"D",243,"D",245,"D",247,"D",229,"D",227,"D",225,"D",,"A","07","D","2005","D","1","D",,"A",31972,"D",31729,"D",31484,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2515685,38,0,"5","01","D","100","D",0.0859,"F",8790,"F",5,"F",265,"F",,"B",,"B",,"B",,"B",84,"F",127,"F",128,"F",129,"F",54,"F",53,"F",52,"F",,"A","12","F","2011","F","1","F",,"A",7570,"F",7444,"F",7316,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2516125,48,0,"5","01","D","100","D",0.0859,"D",34343,"D",20,"D",300,"D",,"A",,"A",,"A",,"A",0,"D",94,"D",95,"D",96,"D",206,"D",205,"D",204,"D",,"A","04","D","2006","D","1","D",,"A",28711,"D",28617,"D",28522,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2517675,31,0,"5","01","D","100","D",0.0859,"F",22374,"F",5,"F",460,"F",,"C",,"C",,"C",,"C",0,"F",369,"F",371,"F",374,"F",91,"F",89,"F",86,"F",,"A","06","F","2010","F","1","F",,"A",12748,"F",12380,"F",12008,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20131",2517885,39,0,"5","01","D","100","D",0.058,"D",95000,"D",10,"D",1045,"D",,"A",,"A",,"A",,"A",0,"D",935,"D",940,"D",944,"D",110,"D",105,"D",101,"D",,"A","09","D","2004","D","1","D",,"A",22721,"D",21786,"D",20846,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20131",2518255,34,0,"5","01","D","100","D",0.0859,"D",8790,"D",5,"D",265,"D",,"B",,"B",,"B",,"B",84,"D",127,"D",128,"D",129,"D",54,"D",53,"D",52,"D",,"A","12","D","2011","D","1","D",,"A",7570,"D",7444,"D",7316,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
