"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20131",2540645,68,0,"1",.,"A",.,"A",105,"D"
"20131",2540965,50,0,"1",.,"A",.,"A",0,"D"
"20131",2541325,53,0,"1",.,"A",.,"A",30,"D"
"20131",2541895,44,0,"1",.,"A",.,"A",20,"D"
"20131",2541935,26,0,"1",0,"D",.,"A",.,"A"
"20131",2542015,49,0,"1",.,"A",.,"A",179,"D"
"20131",2542735,36,0,"1",.,"A",.,"A",40,"D"
"20131",2542935,41,0,"1",.,"A",.,"A",30,"D"
"20131",2543295,35,0,"1",.,"A",.,"A",5,"D"
"20131",2543585,31,0,"1",15,"D",.,"A",.,"A"
"20131",2544775,46,0,"1",.,"A",.,"A",50,"D"
"20131",2544935,29,0,"1",.,"A",.,"A",150,"D"
"20131",2545284,30,0,"1",10,"D",.,"A",.,"A"
"20131",2545364,30,0,"1",120,"D",.,"A",.,"A"
"20131",2545474,73,0,"1",.,"A",.,"A",20,"D"
"20131",2545514,53,0,"1",.,"A",.,"A",32,"D"
"20131",2546174,38,0,"1",100,"D",.,"A",.,"A"
"20131",2546184,35,0,"1",.,"A",.,"A",50,"D"
"20131",2546724,42,0,"1",20,"D",.,"A",.,"A"
"20131",2546784,54,0,"1",20,"D",.,"A",.,"A"
"20131",2547304,22,0,"1",0,"D",.,"A",.,"A"
"20131",2547354,55,0,"1",.,"A",.,"A",90,"D"
"20131",2547384,68,0,"1",100,"D",.,"A",.,"A"
"20131",2547594,53,0,"1",.,"A",.,"A",85,"D"
"20131",2548034,65,0,"1",.,"A",.,"A",108,"D"
"20131",2548064,28,0,"1",16,"D",.,"A",.,"A"
"20131",2548604,54,0,"1",.,"A",.,"A",80,"D"
"20131",2548654,51,0,"1",.,"A",.,"A",45,"D"
"20131",2548814,32,0,"1",.,"A",.,"A",.,"A"
"20131",2548894,38,0,"1",.,"A",.,"A",27,"D"
"20131",2549014,61,0,"1",.,"A",.,"A",70,"D"
"20131",2549204,43,0,"1",10,"D",.,"A",.,"A"
"20131",2549244,39,0,"1",100,"D",.,"A",.,"A"
"20131",2549684,95,0,"1",25,"D",.,"A",.,"A"
"20131",2549794,52,0,"1",0,"D",.,"A",.,"A"
"20131",2549814,28,0,"1",.,"A",.,"A",60,"D"
"20131",2550694,29,0,"1",80,"D",.,"A",.,"A"
"20131",2550944,41,0,"1",150,"D",.,"A",.,"A"
"20131",2551154,38,0,"1",.,"A",.,"A",90,"D"
"20131",2551344,26,0,"1",8,"D",.,"A",.,"A"
"20131",2551424,60,0,"1",300,"D",.,"A",.,"A"
"20131",2551884,36,0,"1",.,"A",.,"A",110,"D"
"20131",2551894,42,0,"1",.,"A",.,"A",180,"D"
"20131",2552054,44,0,"1",.,"A",.,"A",69,"D"
"20131",2552094,70,0,"1",.,"A",.,"A",30,"D"
"20131",2552694,56,0,"1",80,"D",.,"A",.,"A"
"20131",2553084,53,0,"1",0,"D",.,"A",.,"A"
"20131",2553384,28,0,"1",100,"D",.,"A",.,"A"
"20131",2553784,46,0,"1",15,"D",.,"A",.,"A"
"20131",2553914,32,0,"1",120,"D",.,"A",.,"A"
