"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20131",2512005,28,0,"5","01","D","100","D",.,"A","3","D","06","D","1988","D",.,"A",.,"A",.,"A",89,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512045,39,0,"5","01","D","100","D",.,"A","3","D","01","D","1988","D",.,"A",.,"A",.,"A",5000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512165,45,0,"5","01","D","100","D",.,"A","3","D","09","D","2009","D",.,"A",.,"A",.,"A",2845,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512195,37,0,"5","01","D","100","D",.,"A","1","D","01","D","1999","D",.,"A",.,"A",.,"A",5500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512205,56,0,"5","01","D","100","D",.,"A","3","D","06","D","2002","D",.,"A",.,"A",.,"A",1262,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512265,24,0,"5","01","D","100","D",.,"A","3","D","03","D","2008","D",.,"A",.,"A",.,"A",1360,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512285,35,0,"5","01","D","100","D",0.05,"D","3","D","04","D","1996","D",.,"A",.,"A",.,"A",1710,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2512285,36,0,"5","02","D","400","D",.,"A","3","D","09","D","2009","D",.,"A",.,"A",.,"A",240,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2512285,37,0,"5","03","D","400","D",.,"A","3","D","05","D","1987","D",.,"A",.,"A",.,"A",150,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2512285,38,0,"5","04","D","400","D",.,"A","3","D","05","D","1987","D",.,"A",.,"A",.,"A",150,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2512295,34,0,"5","01","D","100","D",.,"A","3","D","06","D","1981","D",.,"A",.,"A",.,"A",200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512295,35,0,"5","02","D","300","D",.,"A","3","D",,"C","1991","D",.,"A",.,"A",.,"A",400,"D","2","D",.,"A",,"A",.,"A","1","D",1,"D",,"A",,"A"
"20131",2512305,52,0,"5","01","D","100","D",.,"A","3","D","04","D","2011","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512335,36,0,"5","01","D","100","D",.,"A","3","D",,"C","1978","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512355,28,0,"5","01","D","100","D",.,"A","3","D","10","D","1985","D",.,"A",.,"A",.,"A",900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512375,61,0,"5","01","D","100","D",.,"A","3","D",,"C","2011","D",.,"A",.,"A",.,"A",6146,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512375,62,0,"5","02","D","300","D",.,"A","3","D",,"C","2011","D",.,"A",.,"A",.,"A",100,"F","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2512395,48,0,"5","01","D","100","D",.,"A","3","D","12","D","2006","D",.,"A",.,"A",.,"A",8500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512475,24,0,"5","01","D","100","D",.,"A","3","D",,"C","1999","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512475,25,0,"5","02","D","300","D",.,"A","1","D",,"C","2010","D",.,"A",.,"A",.,"A",0,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A",,"A"
"20131",2512505,36,0,"5","01","D","100","D",.,"A","3","D","10","D","1987","D",.,"A",.,"A",.,"A",2200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512525,39,0,"5","01","D","100","D",.,"A","3","D","05","D","2011","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512545,71,0,"5","01","D","100","D",.,"A","3","D","01","D","1995","D",.,"A",.,"A",.,"A",1715,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512575,33,0,"5","01","D","100","D",.,"A","3","D","04","D","1975","D",.,"A",.,"A",.,"A",1213,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512585,48,0,"5","01","D","100","D",.,"A","3","D","05","D","2012","D",165000,"D",165000,"D",400,"D",3600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20131",2512585,49,0,"5","02","D","400","D",.,"A","3","D","01","D","2006","D",.,"A",.,"A",.,"A",600,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2512635,31,0,"5","01","D","100","D",.,"A","3","D","04","D","2011","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512645,34,0,"5","01","D","100","D",.,"A","3","D","06","D","2003","D",.,"A",.,"A",.,"A",346,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512655,42,0,"5","01","D","100","D",.,"A","3","D","07","D","2000","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512675,28,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",569,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512685,44,0,"5","01","D","100","D",.,"A","3","D","06","D","2006","D",.,"A",.,"A",.,"A",347,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512715,63,0,"5","01","D","100","D",.,"A","3","D","11","D","1981","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512735,53,0,"5","01","D","100","D",.,"A","3","D","12","D","1988","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512735,54,0,"5","02","D","300","D",.,"A","3","D","01","D","2000","D",.,"A",.,"A",.,"A",0,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A",,"A"
"20131",2512765,23,0,"5","01","D","100","D",.,"A","3","D","09","D","1991","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512795,34,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",1600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512795,35,0,"5","02","D","600","D",.,"A",,"A",,"B",,"B",.,"A",.,"A",.,"A",.,"B",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",,"A"
"20131",2512845,30,0,"5","01","D","100","D",.,"A","3","D",,"C","1979","D",.,"A",.,"A",.,"A",1485,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2512925,34,0,"5","01","D","100","D",.,"A","3","D","01","D","2006","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D"
"20131",2512935,42,0,"5","01","D","100","D",.,"A","3","D","07","D","1981","D",.,"A",.,"A",.,"A",2980,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513015,44,0,"5","01","D","100","D",.,"A","3","D","04","D","2009","D",.,"A",.,"A",.,"A",5700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513055,20,0,"5","01","D","100","D",.,"A","3","D","05","D","2009","D",.,"A",.,"A",.,"A",1300,"F",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D"
"20131",2513105,43,0,"5","01","D","100","D",.,"A","3","D","09","D","2004","D",.,"A",.,"A",.,"A",400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513105,44,0,"5","02","D","400","D",.,"A","3","D","08","D","2003","D",.,"A",.,"A",.,"A",46,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2513115,37,0,"5","01","D","100","D",.,"A","1","D","01","D","2004","D",.,"A",.,"A",.,"A",1021,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513185,34,0,"5","01","D","100","D",.,"A","3","D","06","D","1994","D",.,"A",.,"A",.,"A",1636,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513235,43,0,"5","01","D","100","D",.,"A","3","D","06","D","2003","D",.,"A",.,"A",.,"A",370,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513245,52,0,"5","01","D","100","D",.,"A","3","D","11","D","2003","D",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513255,23,0,"1","01","D","100","D",.,"A","1","D","10","D","2012","D",1500,"F",1500,"F",0,"F",1435,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513265,40,0,"5","01","D","100","D",.,"A","3","D","02","D","2009","D",.,"A",.,"A",.,"A",4800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513275,34,0,"5","01","D","100","D",.,"A","3","D","10","D","2009","D",.,"A",.,"A",.,"A",1700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513285,26,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",,"A",.,"A",,"C",.,"A",,"A",,"C"
"20131",2513345,26,0,"5","01","D","100","D",.,"A","3","D","08","D","1991","D",.,"A",.,"A",.,"A",1876,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513355,37,0,"5","01","D","100","D",.,"A","3","D","05","D","2008","D",.,"A",.,"A",.,"A",6200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513405,44,0,"5","01","D","100","D",.,"A","3","D","03","D","1994","D",.,"A",.,"A",.,"A",8700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513435,64,0,"5","01","D","100","D",.,"A","3","D","07","D","1974","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513505,40,0,"5","01","D","100","D",.,"A","3","D","02","D","1975","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513565,50,0,"5","01","D","100","D",.,"A","3","D","05","D","1991","D",.,"A",.,"A",.,"A",2621,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513595,56,0,"5","01","D","100","D",.,"A","3","D","02","D","1986","D",.,"A",.,"A",.,"A",500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2513595,57,0,"5","02","D","500","D",.,"A","3","D",,"C","2008","D",.,"A",.,"A",.,"A",100,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A",,"A"
"20131",2513595,58,0,"5","03","D","500","D",.,"A","3","D","08","D","1996","D",.,"A",.,"A",.,"A",500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20131",2513605,36,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",4400,"F",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D"
"20131",2513615,44,0,"5","01","D","100","D",.,"A","3","D","09","D","2005","D",.,"A",.,"A",.,"A",2400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513645,41,0,"5","01","D","100","D",.,"A","3","D","06","D","2002","D",.,"A",.,"A",.,"A",2000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513715,44,0,"5","01","D","100","D",.,"A","3","D","10","D","1984","D",.,"A",.,"A",.,"A",845,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513735,30,0,"5","01","D","100","D",.,"A","3","D","09","D","2001","D",.,"A",.,"A",.,"A",1998,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513775,37,0,"5","01","D","100","D",.,"A","3","D","11","D","1997","D",.,"A",.,"A",.,"A",3800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513825,44,0,"5","01","D","100","D",.,"A","3","D","08","D","2002","D",.,"A",.,"A",.,"A",2200,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513845,27,0,"5","01","D","100","D",.,"A","3","D","12","D","2005","D",.,"A",.,"A",.,"A",1100,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513855,45,0,"5","01","D","100","D",.,"A","3","D","04","D","2010","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513885,30,0,"5","01","D","100","D",.,"A","1","D","03","D","1998","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20131",2513935,59,0,"5","01","D","100","D",.,"A","3","D","03","D","1999","D",.,"A",.,"A",.,"A",4600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
