"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20131",2514995,64,0,"1","150","D","1","D",54,"D",.,"A",,"A"
"20131",2514995,65,0,"1","150","D","1","D",96,"D",.,"A",,"A"
"20131",2514995,66,0,"1","810","D","1","D",0,"D",.,"A",,"A"
"20131",2515025,66,0,"1","150","D","1","D",87,"D",.,"A",,"A"
"20131",2515055,67,0,"1","150","D","1","D",47,"D",.,"A",,"A"
"20131",2515055,68,0,"1","840","D","1","D",0,"D",.,"A",,"A"
"20131",2515075,34,0,"1","150","D","1","D",75,"D",.,"A",,"A"
"20131",2515145,63,0,"1","910","D","1","D",90,"D",.,"A",,"A"
"20131",2515285,64,0,"1","150","D","1","D",79,"D",.,"A",,"A"
"20131",2515295,51,0,"1","150","D","1","D",36,"D",.,"A",,"A"
"20131",2515295,52,0,"1","150","D","1","D",23,"D",.,"A",,"A"
"20131",2515295,53,0,"1","150","D","1","D",26,"D",.,"A",,"A"
"20131",2515295,54,0,"1","150","D","2","D",36,"D",.,"A",,"A"
"20131",2515295,55,0,"1","150","D","1","D",15,"D",.,"A",,"A"
"20131",2515295,56,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2515295,57,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2515295,58,0,"1","150","D","1","D",22,"D",.,"A",,"A"
"20131",2515295,59,0,"1","600","D","1","D",1260,"D",.,"A",,"A"
"20131",2515295,60,0,"1","910","D","1","D",33,"D",.,"A",,"A"
"20131",2515345,35,0,"1","150","D","1","D",49,"D",.,"A",,"A"
"20131",2515375,47,0,"1","200","D","1","D",17,"D",.,"A",,"A"
"20131",2515375,48,0,"1","950","D","1","D",0,"D",.,"A",,"A"
"20131",2515475,44,0,"1","150","D","1","D",220,"D",.,"A",,"A"
"20131",2515475,45,0,"1","150","D","1","D",39,"D",.,"A",,"A"
"20131",2515565,42,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2515605,50,0,"1","150","D","1","D",0,"D",.,"A",,"A"
"20131",2515605,51,0,"1","200","D","1","D",0,"D",.,"A",,"A"
"20131",2515605,52,0,"1","950","D","1","D",500,"D",.,"A",,"A"
"20131",2515805,63,0,"1","830","D","1","D",36,"D",.,"A",,"A"
"20131",2515825,27,0,"1","830","D","1","D",100,"D",.,"A",,"A"
"20131",2515875,64,0,"1","150","D","1","D",75,"D",.,"A",,"A"
"20131",2515875,65,0,"1","810","D","1","D",40,"D",.,"A",,"A"
"20131",2515885,49,0,"1","150","D","1","D",25,"D",.,"A",,"A"
"20131",2515955,66,0,"1","150","D","1","D",60,"D",.,"A",,"A"
"20131",2515955,67,0,"1","500","D","2","D",25,"D",.,"A",,"A"
"20131",2516015,47,0,"1","150","D","1","D",30,"D",.,"A",,"A"
"20131",2516015,48,0,"1","830","D","1","D",111,"D",.,"A",,"A"
"20131",2516055,57,0,"1","150","D","1","D",18,"D",.,"A",,"A"
"20131",2516065,27,0,"1","150","D","1","D",24,"D",.,"A",,"A"
"20131",2516085,39,0,"1","150","D","1","D",70,"D",.,"A",,"A"
"20131",2516085,40,0,"1","810","D","1","D",500,"D",.,"A",,"A"
"20131",2516125,52,0,"1","830","D","1","D",180,"D",.,"A",,"A"
"20131",2516145,31,0,"1","840","D","1","D",30,"D",.,"A",,"A"
"20131",2516235,50,0,"1","150","D","1","D",52,"D",.,"A",,"A"
"20131",2516255,44,0,"1","150","D","1","D",36,"D",.,"A",,"A"
"20131",2516285,28,0,"1","830","D","1","D",40,"D",.,"A",,"A"
"20131",2516335,66,0,"1","150","D","1","D",15,"D",.,"A",,"A"
"20131",2516335,67,0,"1","840","D","1","D",0,"D",.,"A",,"A"
