"NEWID","REFMO","REFYR","UCC","PUBFLAG","VALUE","VALUE_"
"02792075","11","2014","900000","2",1958.3333,
"02792075","12","2014","900000","2",1958.3333,
"02792075","01","2015","900000","2",1958.3333,
"02792075","11","2014","980000","2",1958.3333,
"02792075","12","2014","980000","2",1958.3333,
"02792075","01","2015","980000","2",1958.3333,
"02792075","11","2014","980010","2",0.25,
"02792075","12","2014","980010","2",0.25,
"02792075","01","2015","980010","2",0.25,
"02792075","11","2014","980020","2",4.0833,
"02792075","12","2014","980020","2",4.0833,
"02792075","01","2015","980020","2",4.0833,
"02792075","11","2014","980030","2",0.0833,
"02792075","12","2014","980030","2",0.0833,
"02792075","01","2015","980030","2",0.0833,
"02792075","11","2014","980040","2",0.1667,
"02792075","12","2014","980040","2",0.1667,
"02792075","01","2015","980040","2",0.1667,
"02792075","11","2014","980071","2",2206.0833,
"02792075","12","2014","980071","2",2206.0833,
"02792075","01","2015","980071","2",2206.0833,
"02792075","11","2014","980210","2",8.3333,
"02792075","12","2014","980210","2",8.3333,
"02792075","01","2015","980210","2",8.3333,
"02792075","11","2014","980260","2",8.3333,
"02792075","12","2014","980260","2",8.3333,
"02792075","01","2015","980260","2",8.3333,
"02792075","11","2014","980281","2",8.3333,
"02792075","12","2014","980281","2",8.3333,
"02792075","01","2015","980281","2",8.3333,
"02792075","11","2014","980285","2",8.3333,
"02792075","12","2014","980285","2",8.3333,
"02792075","01","2015","980285","2",8.3333,
"02792075","11","2014","980300","2",8.3333,
"02792075","12","2014","980300","2",8.3333,
"02792075","01","2015","980300","2",8.3333,
"02792075","11","2014","980330","2",8.3333,
"02792075","12","2014","980330","2",8.3333,
"02792075","01","2015","980330","2",8.3333,
"02792075","11","2014","980350","2",8.3333,
"02792075","12","2014","980350","2",8.3333,
"02792075","01","2015","980350","2",8.3333,
"02792095","11","2014","005100","2",166.6667,
"02792095","12","2014","005100","2",166.6667,
"02792095","01","2015","005100","2",166.6667,
"02792095","11","2014","005110","2",166.6667,
"02792095","12","2014","005110","2",166.6667,
"02792095","01","2015","005110","2",166.6667,
"02792095","11","2014","800940","2",286.9167,
"02792095","12","2014","800940","2",286.9167,
"02792095","01","2015","800940","2",286.9167,
"02792095","11","2014","900000","2",3750,
"02792095","12","2014","900000","2",3750,
"02792095","01","2015","900000","2",3750,
"02792095","11","2014","980000","2",3750,
"02792095","12","2014","980000","2",3750,
"02792095","01","2015","980000","2",3750,
"02792095","11","2014","980010","2",0.0833,
"02792095","12","2014","980010","2",0.0833,
"02792095","01","2015","980010","2",0.0833,
"02792095","11","2014","980020","2",4.25,
"02792095","12","2014","980020","2",4.25,
"02792095","01","2015","980020","2",4.25,
"02792095","11","2014","980030","2",0.0833,
"02792095","12","2014","980030","2",0.0833,
"02792095","01","2015","980030","2",0.0833,
"02792095","11","2014","980040","2",0.0833,
"02792095","12","2014","980040","2",0.0833,
"02792095","01","2015","980040","2",0.0833,
"02792095","11","2014","980071","2",3363.0833,
"02792095","12","2014","980071","2",3363.0833,
"02792095","01","2015","980071","2",3363.0833,
"02792095","11","2014","980090","1",8.3333,
"02792095","12","2014","980090","1",8.3333,
"02792095","01","2015","980090","1",8.3333,
"02792095","11","2014","980210","2",8.3333,
"02792095","12","2014","980210","2",8.3333,
"02792095","01","2015","980210","2",8.3333,
"02792095","11","2014","980230","2",8.3333,
"02792095","12","2014","980230","2",8.3333,
"02792095","01","2015","980230","2",8.3333,
"02792095","11","2014","980281","2",8.3333,
"02792095","12","2014","980281","2",8.3333,
"02792095","01","2015","980281","2",8.3333,
"02792095","11","2014","980286","2",8.3333,
"02792095","12","2014","980286","2",8.3333,
"02792095","01","2015","980286","2",8.3333,
"02792095","11","2014","980290","2",8.3333,
"02792095","12","2014","980290","2",8.3333,
"02792095","01","2015","980290","2",8.3333,
"02792095","11","2014","980330","2",8.3333,
"02792095","12","2014","980330","2",8.3333,
"02792095","01","2015","980330","2",8.3333,
"02792095","11","2014","980350","2",8.3333,
"02792095","12","2014","980350","2",8.3333,
"02792095","01","2015","980350","2",8.3333,
"02792115","11","2014","005200","2",2500,
"02792115","12","2014","005200","2",2500,
"02792115","01","2015","005200","2",2500,
"02792115","11","2014","005400","2",62.5,
"02792115","12","2014","005400","2",62.5,
