category,share,own_price_change,own_quantity_change,realized_own_elasticity,contribution,share_raw_model,share_used,weighted_contribution,bridge_confidence_flag,io_propagation_confidence_flag,variant,shares_renormalized,total_share_before_renormalization,variant_weighted_mean
non_durables,0.0677006546194647,0.0012709846724655,-0.0014248642752283,-1.1210711711135593,-0.3449887508831556,0.3077313553076907,0.26887198693493414,-0.3014246332727762,high,high,GE1_top_tier_excluding_leisure_aggregation_only,True,0.25179512150459904,-0.6710028523986021
consumer_services,0.0409764948891987,0.0003694234723139,0.0001072520113636,0.2903226768235142,0.020786881711484,0.0715992355089791,0.16273744560396602,0.04724637082716445,low,low,GE1_top_tier_excluding_leisure_aggregation_only,True,0.25179512150459904,-0.6710028523986021
utilities_public_services,0.0249297799906109,0.0005048818963101,-0.0004831624530803,-0.9569811407608212,-0.1865688400938626,0.1949556079501589,0.09900819301677995,-0.09474897349786564,medium,medium,GE1_top_tier_excluding_leisure_aggregation_only,True,0.25179512150459904,-0.6710028523986021
housing,0.0848235877513104,0.00093530004386,-0.0005811427420754,-0.6213436489076032,-0.0817790801039494,0.1316165060151927,0.33687542174942847,-0.20931540377707764,high,high,GE1_top_tier_excluding_leisure_aggregation_only,True,0.25179512150459904,-0.6710028523986021
transportation,0.0333646042540143,0.0010947344951023,-0.0009315925842621,-0.8509758196438733,-0.2312442323112896,0.2717400741281504,0.13250695269489127,-0.11276021267804703,high,high,GE1_top_tier_excluding_leisure_aggregation_only,True,0.25179512150459904,-0.6710028523986021
food_beverages,0.22425113666881158,0.0008210333707045225,-0.0008364905270941136,-1.0188264654533195,-6.729281483398917e-09,6.6049339230746936e-09,0.22425113666881158,-0.22847299294617457,medium,medium,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
housing,0.42034029949150425,0.000827154432436101,-0.0007364595108523275,-0.890353097284793,-5.880723375770952e-09,6.6049339230746936e-09,0.42034029949150425,-0.3742512875658783,medium,medium,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
apparel,0.020995815067587208,0.0013689942119138486,-0.002185008535833588,-1.596068498185215,-0.04961392287651846,0.031085083712216115,0.020995815067587208,-0.03351075902309842,high,high,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
transportation,0.14442323833048507,0.001094734495102322,-0.0008675339771784252,-0.7924606204149427,-0.47124675430778995,0.594662677447668,0.14442323833048507,-0.11444972904971133,high,high,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
medical_care,0.09631961213439807,0.0010149035,-0.001712624164954768,-1.6874748830354493,-0.3210526853713709,0.19025627498162082,0.09631961213439807,-0.16253692622051324,high,high,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
recreation,0.05432346097145521,0.0006106169888229332,-6.005024259492231e-05,-0.09834355036645678,-0.018094813740732074,0.18399593743875947,0.05432346097145521,-0.005342362020126555,medium,medium,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
education_communication,0.012834860027190396,0.0006582366182497272,-0.00062928439460741,-0.9560154770494201,-6.314419055348151e-09,6.6049339230746936e-09,0.012834860027190396,-0.01227032483175696,medium,medium,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
other_goods_services,0.02651157730856823,0.0008360594091306857,-0.000743503343159091,-0.8892948695262789,-5.873733851350403e-09,6.6049339230746936e-09,0.02651157730856823,-0.02357660968355904,medium,medium,GE2_eight_category_market_goods_benchmark,False,1.0,-0.9544109913408183
non_durables,0.2800883748970598,0.0012709846724655752,-0.0012155449025215148,-0.9563804574948075,-0.513390426434403,0.5368056429960986,0.37982774165238015,-0.36325982933072287,high,high,GE3_high_credibility_subset_C_from_no_leisure_AIDS,True,0.7374089466940458,-0.9699648177886366
housing,0.32821326938999285,0.0009353000438600352,-0.0009343133620429711,-0.998945063861013,-3.805990586832288e-09,3.810009903969884e-09,0.44508989328301435,-0.4446203518694922,high,high,GE3_high_credibility_subset_C_from_no_leisure_AIDS,True,0.7374089466940458,-0.9699648177886366
transportation,0.12910730240699322,0.001094734495102322,-0.0010134638216361402,-0.9257622064255995,-0.2423618322764289,0.26179706904670097,0.17508236506460562,-0.1620846365884216,high,high,GE3_high_credibility_subset_C_from_no_leisure_AIDS,True,0.7374089466940458,-0.9699648177886366
non_durables,0.0677006546194647,0.0012709846724655,-0.0013245066058056,-1.0421106048715985,-0.0528256775436155,0.0506910468971999,0.26887198693493414,-0.2801943489377927,high,high,GE4_grouped_PADS_excluding_leisure_aggregation_only,True,0.25179512150459904,-1.871926145203109
consumer_services,0.0409764948891987,0.0003694234723139,-0.0009368880114255,-2.5360814394307156,-0.0181452141023649,0.0071548231142127,0.16273744560396602,-0.41271541529658395,low,low,GE4_grouped_PADS_excluding_leisure_aggregation_only,True,0.25179512150459904,-1.871926145203109
utilities_public_services,0.0249297799906109,0.0005048818963101,-0.0015473009322377,-3.064678974520773,-0.030921193312164,0.0100895374586498,0.09900819301677995,-0.3034283274438199,medium,medium,GE4_grouped_PADS_excluding_leisure_aggregation_only,True,0.25179512150459904,-1.871926145203109
housing,0.0848235877513104,0.00093530004386,-0.001063533730135,-1.1371043304411177,-0.0507514878577429,0.0446322175539116,0.33687542174942847,-0.383062500890453,high,high,GE4_grouped_PADS_excluding_leisure_aggregation_only,True,0.25179512150459904,-1.871926145203109
transportation,0.0333646042540143,0.0010947344951023,-0.0040691050637153,-3.716978940482785,-0.0320681981477505,0.0086274898677756,0.13250695269489127,-0.49252555263445946,high,high,GE4_grouped_PADS_excluding_leisure_aggregation_only,True,0.25179512150459904,-1.871926145203109
