equation,term,coef
non_durables,const,0.33147620324857907
non_durables,m,-0.005568395057926528
non_durables,logp_non_durables,-0.042842051180460236
non_durables,logp_consumer_services,-0.0732089011718993
non_durables,logp_utilities_public_services,-0.010773237670647664
non_durables,logp_housing,-0.05608332802210014
non_durables,logp_transportation,-0.016102578630854132
non_durables,logp_leisure,0.19901009667596145
non_durables,age_ref,0.003277461724544066
non_durables,age_ref_sq,-4.083707962386969e-05
non_durables,adults,-0.017647325185152274
non_durables,children,0.0033514894094768266
non_durables,urban,0.0048152089539825645
non_durables,home_owner,0.012878542969931432
non_durables,wage_resid,-0.037677547886865934
non_durables,region_2,-0.00217338705408873
non_durables,region_3,-0.0010071987660085933
non_durables,region_4,-0.0025480283504195162
non_durables,year_2014,0.001663922262442919
non_durables,year_2015,0.009113917214971444
non_durables,year_2016,0.01187215830686965
non_durables,year_2017,0.011372231292172335
consumer_services,const,-0.07604438687508716
consumer_services,m,0.024892167927208046
consumer_services,logp_non_durables,-0.0732089011718993
consumer_services,logp_consumer_services,0.17091467768183996
consumer_services,logp_utilities_public_services,0.0016560644115193894
consumer_services,logp_housing,0.03598667256682535
consumer_services,logp_transportation,-0.0035151681419518677
consumer_services,logp_leisure,-0.13183334534633354
consumer_services,age_ref,0.0015881426597913189
consumer_services,age_ref_sq,-1.9898173363610063e-05
consumer_services,adults,-0.024168660476656716
consumer_services,children,-0.001177920872033273
consumer_services,urban,-0.0013675594451250056
consumer_services,home_owner,0.02066296149805113
consumer_services,wage_resid,-0.03636328538913
consumer_services,region_2,0.004621955414052356
consumer_services,region_3,-0.00815464669254776
consumer_services,region_4,0.000747330725851274
consumer_services,year_2014,0.0046856380820758945
consumer_services,year_2015,0.002081367591188859
consumer_services,year_2016,-0.00014685015109899613
consumer_services,year_2017,-0.00027440664601038276
utilities_public_services,const,0.18970741575610636
utilities_public_services,m,-0.0055974142018465865
utilities_public_services,logp_non_durables,-0.010773237670647664
utilities_public_services,logp_consumer_services,0.0016560644115193894
utilities_public_services,logp_utilities_public_services,0.008447004823191813
utilities_public_services,logp_housing,-0.00800672844890021
utilities_public_services,logp_transportation,0.015818330785912035
utilities_public_services,logp_leisure,-0.0071414339010753645
utilities_public_services,age_ref,0.0020457510397518344
utilities_public_services,age_ref_sq,-2.1864260586918952e-05
utilities_public_services,adults,-0.003929469490915639
utilities_public_services,children,0.001778733918326615
utilities_public_services,urban,-0.0005834229217777195
utilities_public_services,home_owner,0.010626234124675081
utilities_public_services,wage_resid,-0.012840222403666923
utilities_public_services,region_2,-0.002092921805985051
utilities_public_services,region_3,6.490743037094637e-05
utilities_public_services,region_4,-0.0025633235207551345
utilities_public_services,year_2014,0.002477860654272931
utilities_public_services,year_2015,0.0042414452773920745
utilities_public_services,year_2016,0.004647820315365998
utilities_public_services,year_2017,0.0035118163744046653
housing,const,0.09656695264172141
housing,m,0.0004240181406387986
housing,logp_non_durables,-0.05608332802210014
housing,logp_consumer_services,0.03598667256682535
housing,logp_utilities_public_services,-0.00800672844890021
housing,logp_housing,0.05343198313072499
housing,logp_transportation,0.03353701620971858
housing,logp_leisure,-0.05886561543626856
housing,age_ref,0.004480501915970038
housing,age_ref_sq,-5.760223233375085e-05
housing,adults,-0.034054735444349414
housing,children,0.0009456223332459775
housing,urban,0.024696152402771718
housing,home_owner,0.005496895105997636
housing,wage_resid,-0.041486480461557354
housing,region_2,-0.0009397248584478979
housing,region_3,-0.009016217795222947
housing,region_4,-0.0017936754633358478
housing,year_2014,0.003907175753992496
housing,year_2015,0.009776626306416698
housing,year_2016,0.012200231849847903
housing,year_2017,0.011328599006808871
transportation,const,0.2550865861344593
transportation,m,-0.0015375087801127265
transportation,logp_non_durables,-0.016102578630854132
transportation,logp_consumer_services,-0.0035151681419518677
transportation,logp_utilities_public_services,0.015818330785912035
transportation,logp_housing,0.03353701620971858
transportation,logp_transportation,0.041751079462516896
transportation,logp_leisure,-0.0714886796853415
transportation,age_ref,0.0018531755024709658
transportation,age_ref_sq,-2.3039816363577183e-05
transportation,adults,-0.005599349824452255
transportation,children,-0.0001263041147965794
transportation,urban,-0.001090237093152919
transportation,home_owner,0.010945861907842866
transportation,wage_resid,-0.017861383453150484
transportation,region_2,8.100242258504233e-05
transportation,region_3,-0.0008300425330684496
transportation,region_4,-0.00021349608082047437
transportation,year_2014,0.0012892054502824713
transportation,year_2015,0.0032475595971427932
transportation,year_2016,0.0031613813117291572
transportation,year_2017,0.004999992610562075
leisure,const,-0.7967927709057789
leisure,m,-0.012612868027961004
leisure,logp_non_durables,0.19901009667596145
leisure,logp_consumer_services,-0.13183334534633354
leisure,logp_utilities_public_services,-0.0071414339010753645
leisure,logp_housing,-0.05886561543626856
leisure,logp_transportation,-0.0714886796853415
leisure,logp_leisure,0.0703189776930575
leisure,age_ref,-0.013245032842528225
leisure,age_ref_sq,0.00016324156227172674
leisure,adults,0.08539954042152631
leisure,children,-0.004771620674219568
leisure,urban,-0.026470141896698638
leisure,home_owner,-0.060610495606498144
leisure,wage_resid,0.14622891959437068
leisure,region_2,0.0005030758818842805
leisure,region_3,0.018943198356476804
leisure,region_4,0.0063711926894796985
leisure,year_2014,-0.014023802203066711
leisure,year_2015,-0.02846091598711187
leisure,year_2016,-0.03173474163271371
leisure,year_2017,-0.030938232637937563
