stage,category,r2,coef_ln_cstar,coef_ln_rel_price
cross_section,non_durables,0.0846722974419235,,
cross_section,consumer_services,0.06374845926561767,,
cross_section,utilities_public_services,0.09215676654986338,,
cross_section,housing,0.15968006289943582,,
cross_section,transportation,0.058168340591583934,,
cross_section,leisure,0.8001633227379863,,
time_series,non_durables,0.025947569186619446,0.3728214522201011,-1.1410470663118948
time_series,consumer_services,0.01861554071344884,0.46183971757366366,-3.0850202656326715
time_series,utilities_public_services,0.016644936638330443,0.2749002038113886,-3.898475789114604
time_series,housing,0.011845178440931692,0.11362461792468126,-1.3082898842896165
time_series,transportation,0.010064422994080058,0.23011931193058904,-4.47459108346364
time_series,leisure,0.31300011766803437,0.27663203716008156,-0.4226782203557571
