model,category,share,marshallian_own,compensated_own,income_elasticity,contribution
top_tier_quaids,non_durables,0.0677006546194647,-1.142694034230729,-0.8424982388163993,0.9755125379218299,-0.07736113414717737
top_tier_quaids,consumer_services,0.04097649488919879,1.356385194299925,1.452967195223406,1.3489250302312072,0.05557991098201579
top_tier_quaids,utilities_public_services,0.024929779990610936,-0.9511437051212823,-0.7624473378185326,0.9678940210378073,-0.023711803308128093
top_tier_quaids,housing,0.08482358775131048,-0.6042936802463927,-0.4733413263656586,0.9949538841702577,-0.05125835801394225
top_tier_quaids,transportation,0.03336460425401435,-0.8451004254528272,-0.5753408450814876,0.992711808285307,-0.028196441250132733
top_tier_quaids,leisure,0.7482048784954007,2.011184053611892,2.024997336438349,0.6178443542226297,1.5047777204645731
top_tier_aids,non_durables,0.0677006546194647,-0.9270487888102252,-0.6144879222844335,0.971086652921116,-0.06276180986663413
top_tier_aids,consumer_services,0.04097649488919879,1.2609851732658939,1.3527008763314434,1.3390923343470362,0.05167075250768535
top_tier_aids,utilities_public_services,0.024929779990610936,-0.957676232160587,-0.7684781368034902,0.9603465185525906,-0.023874657770000675
top_tier_aids,housing,0.08482358775131048,-0.694637719527158,-0.5528307827515649,0.9906719195074132,-0.05892166355768209
top_tier_aids,transportation,0.03336460425401435,-0.9145847566927046,-0.6498667955312942,0.9822941400727814,-0.03051475846380609
top_tier_aids,leisure,0.7482048784954007,-0.9319291915588224,-0.9319291820061405,0.9878087125692048,-0.6972739675365858
top_tier_les,non_durables,0.0677006546194647,-0.9999999999976694,-0.9710295309384982,1.0028965505215481,-0.06770065461930692
top_tier_les,consumer_services,0.04097649488919879,-1.0000000000021103,-0.9736152708246155,1.0028965505171072,-0.040976494889285266
top_tier_les,utilities_public_services,0.024929779990610936,-0.7367822164483506,-0.7287617484480727,0.7368016146602763,-0.01836781855705207
top_tier_les,housing,0.08482358775131048,-0.9999999999976694,-0.9598598990477086,1.0028965505171072,-0.08482358775111279
top_tier_les,transportation,0.03336460425401435,-0.9999995316345434,-0.9849635161685993,1.0028960736785386,-0.03336458862718624
top_tier_les,leisure,0.7482048784954007,-0.9999999999976694,-0.11855182077131077,1.0028965505171072,-0.748204878493657
