NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03386804,11,2016,900000,2,,5,5416.6667
03386804,12,2016,900000,2,,1,5416.6667
03386804,12,2016,900000,2,,2,5416.6667
03386804,12,2016,900000,2,,3,5416.6667
03386804,12,2016,900000,2,,4,5416.6667
03386804,12,2016,900000,2,,5,5416.6667
03386804,10,2016,980000,2,,1,5416.6667
03386804,10,2016,980000,2,,2,5416.6667
03386804,10,2016,980000,2,,3,5416.6667
03386804,10,2016,980000,2,,4,5416.6667
03386804,10,2016,980000,2,,5,5416.6667
03386804,11,2016,980000,2,,1,5416.6667
03386804,11,2016,980000,2,,2,5416.6667
03386804,11,2016,980000,2,,3,5416.6667
03386804,11,2016,980000,2,,4,5416.6667
03386804,11,2016,980000,2,,5,5416.6667
03386804,12,2016,980000,2,,1,5416.6667
03386804,12,2016,980000,2,,2,5416.6667
03386804,12,2016,980000,2,,3,5416.6667
03386804,12,2016,980000,2,,4,5416.6667
03386804,12,2016,980000,2,,5,5416.6667
03386874,10,2016,900170,2,,1,37.5
03386874,10,2016,900170,2,,2,37.5
03386874,10,2016,900170,2,,3,37.5
03386874,10,2016,900170,2,,4,37.5
03386874,10,2016,900170,2,,5,37.5
03386874,11,2016,900170,2,,1,37.5
03386874,11,2016,900170,2,,2,37.5
03386874,11,2016,900170,2,,3,37.5
03386874,11,2016,900170,2,,4,37.5
03386874,11,2016,900170,2,,5,37.5
03386874,12,2016,900170,2,,1,37.5
03386874,12,2016,900170,2,,2,37.5
03386874,12,2016,900170,2,,3,37.5
03386874,12,2016,900170,2,,4,37.5
03386874,12,2016,900170,2,,5,37.5
03386874,10,2016,980000,2,,1,37.5
03386874,10,2016,980000,2,,2,37.5
03386874,10,2016,980000,2,,3,37.5
03386874,10,2016,980000,2,,4,37.5
03386874,10,2016,980000,2,,5,37.5
03386874,11,2016,980000,2,,1,37.5
03386874,11,2016,980000,2,,2,37.5
03386874,11,2016,980000,2,,3,37.5
03386874,11,2016,980000,2,,4,37.5
03386874,11,2016,980000,2,,5,37.5
03386874,12,2016,980000,2,,1,37.5
03386874,12,2016,980000,2,,2,37.5
03386874,12,2016,980000,2,,3,37.5
03386874,12,2016,980000,2,,4,37.5
03386874,12,2016,980000,2,,5,37.5
03386884,10,2016,900030,2,,1,2564
03386884,10,2016,900030,2,,2,2564
03386884,10,2016,900030,2,,3,2564
03386884,10,2016,900030,2,,4,2564
03386884,10,2016,900030,2,,5,2564
03386884,11,2016,900030,2,,1,2564
03386884,11,2016,900030,2,,2,2564
03386884,11,2016,900030,2,,3,2564
03386884,11,2016,900030,2,,4,2564
03386884,11,2016,900030,2,,5,2564
03386884,12,2016,900030,2,,1,2564
03386884,12,2016,900030,2,,2,2564
03386884,12,2016,900030,2,,3,2564
03386884,12,2016,900030,2,,4,2564
03386884,12,2016,900030,2,,5,2564
03386884,10,2016,900170,2,,1,19
03386884,10,2016,900170,2,,2,19
03386884,10,2016,900170,2,,3,19
03386884,10,2016,900170,2,,4,19
03386884,10,2016,900170,2,,5,19
03386884,11,2016,900170,2,,1,19
03386884,11,2016,900170,2,,2,19
03386884,11,2016,900170,2,,3,19
03386884,11,2016,900170,2,,4,19
03386884,11,2016,900170,2,,5,19
03386884,12,2016,900170,2,,1,19
03386884,12,2016,900170,2,,2,19
03386884,12,2016,900170,2,,3,19
03386884,12,2016,900170,2,,4,19
03386884,12,2016,900170,2,,5,19
03386884,10,2016,980000,2,,1,2583
03386884,10,2016,980000,2,,2,2583
03386884,10,2016,980000,2,,3,2583
03386884,10,2016,980000,2,,4,2583
03386884,10,2016,980000,2,,5,2583
03386884,11,2016,980000,2,,1,2583
03386884,11,2016,980000,2,,2,2583
03386884,11,2016,980000,2,,3,2583
03386884,11,2016,980000,2,,4,2583
03386884,11,2016,980000,2,,5,2583
03386884,12,2016,980000,2,,1,2583
03386884,12,2016,980000,2,,2,2583
03386884,12,2016,980000,2,,3,2583
03386884,12,2016,980000,2,,4,2583
03386884,12,2016,980000,2,,5,2583
03386894,10,2016,800940,2,,1,484.4167
03386894,10,2016,800940,2,,2,530.3333
03386894,10,2016,800940,2,,3,421.6667
03386894,10,2016,800940,2,,4,653
03386894,10,2016,800940,2,,5,422.25
03386894,11,2016,800940,2,,1,484.4167
03386894,11,2016,800940,2,,2,530.3333
03386894,11,2016,800940,2,,3,421.6667
03386894,11,2016,800940,2,,4,653
03386894,11,2016,800940,2,,5,422.25
03386894,12,2016,800940,2,,1,484.4167
03386894,12,2016,800940,2,,2,530.3333
03386894,12,2016,800940,2,,3,421.6667
03386894,12,2016,800940,2,,4,653
03386894,12,2016,800940,2,,5,422.25
03386894,10,2016,900000,2,,1,6332.4167
03386894,10,2016,900000,2,,2,6931.5833
03386894,10,2016,900000,2,,3,5512.4167
03386894,10,2016,900000,2,,4,8535.8333
03386894,10,2016,900000,2,,5,5518.75
03386894,11,2016,900000,2,,1,6332.4167
03386894,11,2016,900000,2,,2,6931.5833
03386894,11,2016,900000,2,,3,5512.4167
03386894,11,2016,900000,2,,4,8535.8333
03386894,11,2016,900000,2,,5,5518.75
03386894,12,2016,900000,2,,1,6332.4167
03386894,12,2016,900000,2,,2,6931.5833
03386894,12,2016,900000,2,,3,5512.4167
03386894,12,2016,900000,2,,4,8535.8333
03386894,12,2016,900000,2,,5,5518.75
03386894,10,2016,980000,2,,1,6332.4167
03386894,10,2016,980000,2,,2,6931.5833
03386894,10,2016,980000,2,,3,5512.4167
03386894,10,2016,980000,2,,4,8535.8333
03386894,10,2016,980000,2,,5,5518.75
03386894,11,2016,980000,2,,1,6332.4167
03386894,11,2016,980000,2,,2,6931.5833
03386894,11,2016,980000,2,,3,5512.4167
03386894,11,2016,980000,2,,4,8535.8333
03386894,11,2016,980000,2,,5,5518.75
03386894,12,2016,980000,2,,1,6332.4167
03386894,12,2016,980000,2,,2,6931.5833
03386894,12,2016,980000,2,,3,5512.4167
03386894,12,2016,980000,2,,4,8535.8333
03386894,12,2016,980000,2,,5,5518.75
03386904,10,2016,900030,2,,1,730
03386904,10,2016,900030,2,,2,730
03386904,10,2016,900030,2,,3,730
03386904,10,2016,900030,2,,4,730
03386904,10,2016,900030,2,,5,730
03386904,11,2016,900030,2,,1,730
03386904,11,2016,900030,2,,2,730
03386904,11,2016,900030,2,,3,730
03386904,11,2016,900030,2,,4,730
03386904,11,2016,900030,2,,5,730
03386904,12,2016,900030,2,,1,730
03386904,12,2016,900030,2,,2,730
03386904,12,2016,900030,2,,3,730
03386904,12,2016,900030,2,,4,730
03386904,12,2016,900030,2,,5,730
03386904,10,2016,900150,2,,1,198
03386904,10,2016,900150,2,,2,198
03386904,10,2016,900150,2,,3,198
03386904,10,2016,900150,2,,4,198
03386904,10,2016,900150,2,,5,198
03386904,11,2016,900150,2,,1,198
03386904,11,2016,900150,2,,2,198
03386904,11,2016,900150,2,,3,198
03386904,11,2016,900150,2,,4,198
03386904,11,2016,900150,2,,5,198
03386904,12,2016,900150,2,,1,198
03386904,12,2016,900150,2,,2,198
03386904,12,2016,900150,2,,3,198
03386904,12,2016,900150,2,,4,198
03386904,12,2016,900150,2,,5,198
03386904,10,2016,980000,2,,1,928
03386904,10,2016,980000,2,,2,928
03386904,10,2016,980000,2,,3,928
03386904,10,2016,980000,2,,4,928
03386904,10,2016,980000,2,,5,928
03386904,11,2016,980000,2,,1,928
03386904,11,2016,980000,2,,2,928
03386904,11,2016,980000,2,,3,928
03386904,11,2016,980000,2,,4,928
03386904,11,2016,980000,2,,5,928
03386904,12,2016,980000,2,,1,928
03386904,12,2016,980000,2,,2,928
03386904,12,2016,980000,2,,3,928
03386904,12,2016,980000,2,,4,928
03386904,12,2016,980000,2,,5,928
03386924,10,2016,800940,2,,1,1331.9167
03386924,10,2016,800940,2,,2,1331.9167
03386924,10,2016,800940,2,,3,1331.9167
03386924,10,2016,800940,2,,4,1331.9167
03386924,10,2016,800940,2,,5,1331.9167
03386924,11,2016,800940,2,,1,1331.9167
03386924,11,2016,800940,2,,2,1331.9167
03386924,11,2016,800940,2,,3,1331.9167
03386924,11,2016,800940,2,,4,1331.9167
03386924,11,2016,800940,2,,5,1331.9167
03386924,12,2016,800940,2,,1,1331.9167
03386924,12,2016,800940,2,,2,1331.9167
03386924,12,2016,800940,2,,3,1331.9167
03386924,12,2016,800940,2,,4,1331.9167
03386924,12,2016,800940,2,,5,1331.9167
03386924,10,2016,900000,2,,1,17666.6667
03386924,10,2016,900000,2,,2,17666.6667
03386924,10,2016,900000,2,,3,17666.6667
03386924,10,2016,900000,2,,4,17666.6667
03386924,10,2016,900000,2,,5,17666.6667
03386924,11,2016,900000,2,,1,17666.6667
03386924,11,2016,900000,2,,2,17666.6667
03386924,11,2016,900000,2,,3,17666.6667
03386924,11,2016,900000,2,,4,17666.6667
03386924,11,2016,900000,2,,5,17666.6667
03386924,12,2016,900000,2,,1,17666.6667
03386924,12,2016,900000,2,,2,17666.6667
03386924,12,2016,900000,2,,3,17666.6667
03386924,12,2016,900000,2,,4,17666.6667
03386924,12,2016,900000,2,,5,17666.6667
03386924,10,2016,900180,2,,1,0.0833
03386924,10,2016,900180,2,,2,15
03386924,10,2016,900180,2,,3,130.0833
03386924,10,2016,900180,2,,4,2.0833
03386924,10,2016,900180,2,,5,0.0833
03386924,11,2016,900180,2,,1,0.0833
03386924,11,2016,900180,2,,2,15
03386924,11,2016,900180,2,,3,130.0833
03386924,11,2016,900180,2,,4,2.0833
03386924,11,2016,900180,2,,5,0.0833
03386924,12,2016,900180,2,,1,0.0833
03386924,12,2016,900180,2,,2,15
03386924,12,2016,900180,2,,3,130.0833
03386924,12,2016,900180,2,,4,2.0833
03386924,12,2016,900180,2,,5,0.0833
03386924,10,2016,980000,2,,1,17666.75
03386924,10,2016,980000,2,,2,17681.6667
03386924,10,2016,980000,2,,3,17796.75
03386924,10,2016,980000,2,,4,17668.75
03386924,10,2016,980000,2,,5,17666.75
03386924,11,2016,980000,2,,1,17666.75
03386924,11,2016,980000,2,,2,17681.6667
03386924,11,2016,980000,2,,3,17796.75
03386924,11,2016,980000,2,,4,17668.75
03386924,11,2016,980000,2,,5,17666.75
03386924,12,2016,980000,2,,1,17666.75
03386924,12,2016,980000,2,,2,17681.6667
03386924,12,2016,980000,2,,3,17796.75
03386924,12,2016,980000,2,,4,17668.75
03386924,12,2016,980000,2,,5,17666.75
03386944,10,2016,900030,2,,1,1934
03386944,10,2016,900030,2,,2,1934
03386944,10,2016,900030,2,,3,1934
03386944,10,2016,900030,2,,4,1934
03386944,10,2016,900030,2,,5,1934
03386944,11,2016,900030,2,,1,1934
03386944,11,2016,900030,2,,2,1934
