NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03639434,10,2017,800940,2,,1,386.9167
03639434,10,2017,800940,2,,2,221.5
03639434,10,2017,800940,2,,3,804.6667
03639434,10,2017,800940,2,,4,333.5
03639434,10,2017,800940,2,,5,885.25
03639434,11,2017,800940,2,,1,386.9167
03639434,11,2017,800940,2,,2,221.5
03639434,11,2017,800940,2,,3,804.6667
03639434,11,2017,800940,2,,4,333.5
03639434,11,2017,800940,2,,5,885.25
03639434,12,2017,800940,2,,1,386.9167
03639434,12,2017,800940,2,,2,221.5
03639434,12,2017,800940,2,,3,804.6667
03639434,12,2017,800940,2,,4,333.5
03639434,12,2017,800940,2,,5,885.25
03639434,10,2017,900000,2,T,1,18288.8826
03639434,10,2017,900000,2,T,2,18288.8826
03639434,10,2017,900000,2,T,3,18288.8826
03639434,10,2017,900000,2,T,4,18288.8826
03639434,10,2017,900000,2,T,5,18288.8826
03639434,11,2017,900000,2,T,1,18288.8826
03639434,11,2017,900000,2,T,2,18288.8826
03639434,11,2017,900000,2,T,3,18288.8826
03639434,11,2017,900000,2,T,4,18288.8826
03639434,11,2017,900000,2,T,5,18288.8826
03639434,12,2017,900000,2,T,1,18288.8826
03639434,12,2017,900000,2,T,2,18288.8826
03639434,12,2017,900000,2,T,3,18288.8826
03639434,12,2017,900000,2,T,4,18288.8826
03639434,12,2017,900000,2,T,5,18288.8826
03639434,10,2017,900180,2,,1,0.6667
03639434,10,2017,900180,2,,2,8.3333
03639434,10,2017,900180,2,,3,4
03639434,10,2017,900180,2,,4,6.0833
03639434,10,2017,900180,2,,5,3.8333
03639434,11,2017,900180,2,,1,0.6667
03639434,11,2017,900180,2,,2,8.3333
03639434,11,2017,900180,2,,3,4
03639434,11,2017,900180,2,,4,6.0833
03639434,11,2017,900180,2,,5,3.8333
03639434,12,2017,900180,2,,1,0.6667
03639434,12,2017,900180,2,,2,8.3333
03639434,12,2017,900180,2,,3,4
03639434,12,2017,900180,2,,4,6.0833
03639434,12,2017,900180,2,,5,3.8333
03639434,10,2017,980000,2,T,1,18293.466
03639434,10,2017,980000,2,T,2,18293.466
03639434,10,2017,980000,2,T,3,18293.466
03639434,10,2017,980000,2,T,4,18293.466
03639434,10,2017,980000,2,T,5,18293.466
03639434,11,2017,980000,2,T,1,18293.466
03639434,11,2017,980000,2,T,2,18293.466
03639434,11,2017,980000,2,T,3,18293.466
03639434,11,2017,980000,2,T,4,18293.466
03639434,11,2017,980000,2,T,5,18293.466
03639434,12,2017,980000,2,T,1,18293.466
03639434,12,2017,980000,2,T,2,18293.466
03639434,12,2017,980000,2,T,3,18293.466
03639434,12,2017,980000,2,T,4,18293.466
03639434,12,2017,980000,2,T,5,18293.466
03639444,10,2017,800940,2,,1,174.5833
03639444,10,2017,800940,2,,2,139.25
03639444,10,2017,800940,2,,3,132.1667
03639444,10,2017,800940,2,,4,135.5
03639444,10,2017,800940,2,,5,137.8333
03639444,11,2017,800940,2,,1,174.5833
03639444,11,2017,800940,2,,2,139.25
03639444,11,2017,800940,2,,3,132.1667
03639444,11,2017,800940,2,,4,135.5
03639444,11,2017,800940,2,,5,137.8333
03639444,12,2017,800940,2,,1,174.5833
03639444,12,2017,800940,2,,2,139.25
03639444,12,2017,800940,2,,3,132.1667
03639444,12,2017,800940,2,,4,135.5
03639444,12,2017,800940,2,,5,137.8333
03639444,10,2017,900000,2,,1,2282.0833
03639444,10,2017,900000,2,,2,1820.1667
03639444,10,2017,900000,2,,3,1727.25
03639444,10,2017,900000,2,,4,1771.75
03639444,10,2017,900000,2,,5,1802.0833
03639444,11,2017,900000,2,,1,2282.0833
03639444,11,2017,900000,2,,2,1820.1667
03639444,11,2017,900000,2,,3,1727.25
03639444,11,2017,900000,2,,4,1771.75
03639444,11,2017,900000,2,,5,1802.0833
03639444,12,2017,900000,2,,1,2282.0833
03639444,12,2017,900000,2,,2,1820.1667
03639444,12,2017,900000,2,,3,1727.25
03639444,12,2017,900000,2,,4,1771.75
03639444,12,2017,900000,2,,5,1802.0833
03639444,10,2017,980000,2,,1,2282.0833
03639444,10,2017,980000,2,,2,1820.1667
03639444,10,2017,980000,2,,3,1727.25
03639444,10,2017,980000,2,,4,1771.75
03639444,10,2017,980000,2,,5,1802.0833
03639444,11,2017,980000,2,,1,2282.0833
03639444,11,2017,980000,2,,2,1820.1667
03639444,11,2017,980000,2,,3,1727.25
03639444,11,2017,980000,2,,4,1771.75
03639444,11,2017,980000,2,,5,1802.0833
03639444,12,2017,980000,2,,1,2282.0833
03639444,12,2017,980000,2,,2,1820.1667
03639444,12,2017,980000,2,,3,1727.25
03639444,12,2017,980000,2,,4,1771.75
03639444,12,2017,980000,2,,5,1802.0833
03639454,10,2017,900090,2,,1,62.5
03639454,10,2017,900090,2,,2,62.5
03639454,10,2017,900090,2,,3,62.5
03639454,10,2017,900090,2,,4,62.5
03639454,10,2017,900090,2,,5,62.5
03639454,11,2017,900090,2,,1,62.5
03639454,11,2017,900090,2,,2,62.5
03639454,11,2017,900090,2,,3,62.5
03639454,11,2017,900090,2,,4,62.5
03639454,11,2017,900090,2,,5,62.5
03639454,12,2017,900090,2,,1,62.5
03639454,12,2017,900090,2,,2,62.5
03639454,12,2017,900090,2,,3,62.5
03639454,12,2017,900090,2,,4,62.5
03639454,12,2017,900090,2,,5,62.5
03639454,10,2017,900150,2,,1,182
03639454,10,2017,900150,2,,2,182
03639454,10,2017,900150,2,,3,182
03639454,10,2017,900150,2,,4,182
03639454,10,2017,900150,2,,5,182
03639454,11,2017,900150,2,,1,182
03639454,11,2017,900150,2,,2,182
03639454,11,2017,900150,2,,3,182
03639454,11,2017,900150,2,,4,182
03639454,11,2017,900150,2,,5,182
03639454,12,2017,900150,2,,1,182
03639454,12,2017,900150,2,,2,182
03639454,12,2017,900150,2,,3,182
03639454,12,2017,900150,2,,4,182
03639454,12,2017,900150,2,,5,182
03639454,10,2017,900170,2,,1,62.5
03639454,10,2017,900170,2,,2,62.5
03639454,10,2017,900170,2,,3,62.5
03639454,10,2017,900170,2,,4,62.5
03639454,10,2017,900170,2,,5,62.5
03639454,11,2017,900170,2,,1,62.5
03639454,11,2017,900170,2,,2,62.5
03639454,11,2017,900170,2,,3,62.5
03639454,11,2017,900170,2,,4,62.5
03639454,11,2017,900170,2,,5,62.5
03639454,12,2017,900170,2,,1,62.5
03639454,12,2017,900170,2,,2,62.5
03639454,12,2017,900170,2,,3,62.5
03639454,12,2017,900170,2,,4,62.5
03639454,12,2017,900170,2,,5,62.5
