"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
"03333883",1,"2015","2014",2,0.153,0.153,"2",0.2985,0.2985,"44","D",0,0,0,"D",0,"D",74000,"D",60000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4000,"D",0,"D",0,"D",2,"D",9084,"D",16756,0,16843.78,16668.78,0,0,20502,20502,134000,134000,0,0,800,800,0,0,0,0,0,0,124916,124916,0,0,17643.78,17468.78,17643.78,17468.78,0,0,0,0,0,0,0,0,0,0,0
"03333893",1,"2015","2014",0,0,0,"1",0,0,"44","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",19618,"D",0,"D",0,"D",150,"D",27,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03333953",1,"2015","2014",0,0.153,0.153,"2",0.25,0.25,"43","D",0,0,0,"D",0,"D",40000,"D",57442,"D",0,"D",0,"D",0,"D",0,"D",0,"D",900,"D",825,"D",0,"D",0,"D",5352,"D",10898,0,10998,10798,0,0,14908.63,14908.63,97442,97442,0,0,0,0,0,0,0,0,0,0,97442,97442,0,0,10998,10798,10998,10798,0,0,0,0,0,0,0,0,0,0,0
"03333973",1,"2015","2014",3,0.153,0.153,"3",-0.15,-0.15,"0","T",0,0,0,"D",0,"D",17172,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10200,"D",0,"D",0,"D",0,"D",3,"D",0,"D",-8318,0,-8268.8,-8367.8,0,0,2627.32,2627.32,17172,17172,0,0,0,0,2125.8,2125.8,0,0,6143,6242,17172,17172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03333973",2,"2015","2014",0,0.153,0.153,"1",0.1,0.1,"0","T",0,0,0,"D",0,"D",17671,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",745,0,752.1,737.1,0,0,2703.66,2703.66,17671,17671,0,0,0,0,0,0,0,0,0,0,17671,17671,0,0,752.1,737.1,752.1,737.1,0,0,0,0,0,0,0,0,0,0,0
"03333993",1,"2015","2014",1,0,0,"3",-0.34,-0.34,"41","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",60,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03334023",1,"2015","2014",0,0.153,0.153,"2",0.1,0.1,"39","D",0.0307,0.0307,0,"D",0,"D",16305,"D",16254,"D",0,"D",0,"D",0,"D",0,"D",7920,"D",0,"D",300,"D",0,"D",0,"D",0,"D",1211,1000,1225.9,1195.9,999.56,999.56,4981.53,4981.53,32559,32559,32559.01,32559.01,0,0,0,0,0,0,0,0,32559,32559,0,0,1225.9,1195.9,1225.9,1195.9,0,0,0,0,0,0,0,0,0,0,0
"03334033",1,"2015","2014",0,0.153,0.153,"2",0.15,0.15,"44","D",0,0,0,"D",0,"D",75000,"D",18241,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2300,"D",355,"D",0,"D",0,"D",3988,"D",10004,0,10033.65,9973.65,0,0,14265.87,14265.87,93241,93241,0,0,0,0,0,0,0,0,0,0,93241,93241,0,0,10033.65,9973.65,10033.65,9973.65,0,0,0,0,0,0,0,0,0,0,0
"03334043",1,"2015","2014",0,0.153,0.153,"1",0.25,0.25,"33","D",0.0645,0.0645,0,"D",0,"D",85000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",28128,"D",0,"D",380,"D",0,"D",0,"D",0,"D",14519,4643,14568.75,14468.75,4650.51,4636.3,13005,13005,85000,85000,85000.01,85000.01,0,0,0,0,0,0,0,0,85000,85000,0,0,14568.75,14468.75,14568.75,14468.75,7800,7900,0,0,0,0,0,0,0,0,0
"03334043",2,"2015","2014",0,0.153,0.153,"1",0.25,0.25,"33","D",0.0645,0.0645,0,"D",0,"D",65000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9519,3353,9568.75,9468.75,3360.51,3346.3,9945,9945,65000,65000,65000.01,65000.01,0,0,0,0,0,0,0,0,65000,65000,0,0,9568.75,9468.75,9568.75,9468.75,7800,7900,0,0,0,0,0,0,0,0,0
