"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPFLUDX","VOPF_UDX","VOPPARKX","VOPP_RKX","VOPTOWX","VOPTOWX_","VOPDOCKX","VOPD_CKX","VOPPLCYX","VOPP_CYX","TANKGASX","TANK_ASX","JGASOXQV","JGAS_XQV","JDIESXQV","JDIE_XQV","VOPCLUBX","VOPC_UBX","VOPTOLLX","VOPT_LLX","VOPOILX","VOPOILX_"
"20163","03408512",28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408523",9,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",450,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408532",44,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",900,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408562",22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408602",42,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",360,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408642",18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1080,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408662",32,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1050,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408682",43,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",540,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408692",24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408702",21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408712",46,0,"1",.,"A",12,"D",.,"A",.,"A",.,"A",.,"A",285,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408732",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408762",41,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408812",47,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",840,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408832",19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20163","03408862",9,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20163","03408882",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1200,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408912",35,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",420,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408932",21,0,"1",.,"A",400,"D",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",.,"A",15,"D"
"20163","03408952",27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03408992",18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20163","03409032",17,0,"1",.,"A",.,"A",.,"A",.,"A",269,"D",.,"A",240,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409042",30,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409062",47,0,"1",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",480,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409112",17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409132",20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409142",37,0,"1",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",255,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409152",28,0,"1",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",.,"A",.,"A",10,"D",.,"A"
"20163","03409162",32,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",600,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409172",28,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",750,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409202",39,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",720,"D",.,"A",108,"D",.,"A",.,"A"
"20163","03409222",39,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",225,"D",.,"A",.,"A",.,"A",.,"A"
"20163","03409232",34,0,"1",12,"D",.,"A",.,"A",.,"A",.,"A",.,"A",600,"D",.,"A",.,"A",90,"D",.,"A"
"20163","03409242",38,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",.,"A",12,"D",.,"A"
"20163","03409252",17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",114,"D",.,"A",.,"A",.,"A",.,"A"
