"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X","TELBLPRS","TELB_PRS"
"20152","02878145",65,0,"1",.,"A","1","D",,"A","1","D","2","D","1","D",35,"D",0,"D",35,"D",.,"A",.,"A",.,"A",47,"F",.,"A",23,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D"
"20152","02878145",66,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",74,"D",114,"D",74,"D",.,"A",.,"A",.,"A",,"A"
"20152","02878155",39,0,"1",.,"A","1","D","2","D","1","D","2","D",,"A",45,"F",45,"F",45,"F",.,"A",.,"A",.,"A",29,"G",29,"G",30,"G",91,"G",91,"G",90,"G",.,"A",.,"A",.,"A","2","D"
"20152","02878165",23,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",40,"F",52,"F",50,"F",150,"F",176,"F",100,"F",60,"F",22,"F",100,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02878175",18,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",140,"D",144,"D",140,"D",.,"A",.,"A",.,"A",,"A"
"20152","02878175",19,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",30,"F",40,"F",30,"F",.,"A",.,"A",.,"A",90,"F",80,"F",90,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02878185",22,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",0,"F",48,"F",0,"F",.,"A",.,"A",.,"A",70,"F",22,"F",70,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02878185",23,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",94,"D",94,"D",94,"D",.,"A",.,"A",.,"A",,"A"
"20152","02878205",33,0,"1",0.5,"D","1","D",,"A","1","D","1","D",,"A",35,"F",49,"F",49,"F",35,"F",50,"F",50,"F",40,"F",11,"F",11,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02878205",34,0,"1",0.5,"D",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",60,"D",60,"D",.,"A",.,"A",.,"A",,"A"
"20152","02878255",36,0,"1",.,"A","1","D",,"A","1","D","2","D",,"A",33,"F",33,"F",44,"F",.,"A",.,"A",.,"A",52,"F",52,"F",41,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02878255",37,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",57,"F",57,"F",57,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",48,"F",48,"F",48,"F",.,"A",.,"A",.,"A","2","D"
"20152","02878335",6,0,"1",.,"A",,"A","2","D","1","D","1","D",,"A",0,"F",21,"F",0,"F",0,"F",0,"F",0,"F",.,"A",.,"A",.,"A",40,"F",19,"F",40,"F",.,"A",.,"A",.,"A","2","D"
"20152","02878395",38,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",40,"F",40,"F",35,"F",30,"F",30,"F",35,"F",30,"F",30,"F",30,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20152","02878395",39,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",115,"D",120,"D",.,"A",.,"A",.,"A",,"A"
