category,weighted_share,weighted_quarterly_expenditure,weighted_share_sum
food_beverages,0.2243940674789522,1360.3450297804557,1.0
housing,0.41930748548738533,2857.5274802016297,1.0
apparel,0.02086168990349604,165.09474991743005,1.0
transportation,0.14462232348079776,1481.9402490478087,1.0
medical_care,0.09688461673043672,676.6686800837699,1.0
recreation,0.054387290379067664,468.28986430311227,1.0
education_communication,0.012696462695373183,190.67924528610396,1.0
other_goods_services,0.026846063844491147,190.44036365232733,1.0
