"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647395,1,"2011","2010",1,0.133,0.153,"2",0.3,0.3,"0","T",0,0,0,"D",0,"D",73000,"D",56000,"D",210,"D",0,"D",0,"D",0,"D",0,"D",1000,"D",361,"D",0,"D",1,"D",60,"D",18238,0,18238,18838,0,0,19737,17157,129210,129210,0,0,39.5,39.5,0,0,0,0,0,0,129210,129210,0,0,19077.5,18877.5,19077.5,18877.5,0,0,0,0,0,0,0,0,0,0,0
2647435,1,"2011","2010",0,0.133,0.153,"2",0.15,0.15,"41","D",0.07,0.07,0,"D",0,"D",45000,"D",0,"D",0,"D",0,"D",3298,"D",0,"D",0,"D",1000,"D",1646,"D",0,"D",0,"D",3600,"D",3228,1375,3228,3470.5,1375.19,1350.8,6885,5985,47803.3,47803.3,26300.01,26000.01,0,0,0,0,0,0,0,0,47803.3,47803.3,0,0,3528,3470.5,3528,3470.5,0,0,0,0,0,0,0,0,0,0,0
2647445,1,"2011","2010",0,0,0,"1",0,0,"45","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",9803,"D",0,"D",0,"D",1400,"D",688,"D",0,"D",0,"D",5880,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647475,1,"2011","2010",0,0,0,"1",0,0,"23","D",0.035,0.035,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",15659,"D",0,"D",0,"D",1700,"D",75,"D",0,"D",0,"D",0,"D",0,-1152,0,0,-1151.9,-1151.9,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151.9,1151.9,0,0,0,0,0
2647485,1,"2011","2010",2,0,0,"3",-0.4,-0.462,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6500,"D",0,"D",0,"D",0,"D",10449,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7340,7538,16949,16949,0,0,0,0,0,0,0
2647505,1,"2011","2010",1,0.029,0.029,"2",0.25,0.25,"30","D",0,0,0,"D",0,"D",0,"D",115885,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3400,"D",3478,"D",0,"D",0,"D",4492,"D",14946,0,14946.25,15546.25,0,0,16603.86,14467.87,115885,115885,0,0,0,0,0,0,0,0,0,0,115885,115885,0,0,15746.25,15546.25,15746.25,15546.25,0,0,0,0,0,0,0,0,0,0,0
2647575,1,"2011","2010",3,0,0,"3",-0.45,-0.512,"38","D",-0.027,-0.027,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",11160,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138.96,3187.27,0,0,0,0,0,0,0,0,0
2647585,1,"2011","2010",0,0.133,0.153,"1",0.15,0.15,"15","D",0.034,0.034,0,"D",0,"D",20659,"D",0,"D",8,"D",0,"D",0,"D",0,"D",0,"D",1400,"D",212,"D",0,"D",0,"D",2640,"D",879,621,878.8,1250.05,621.08,621.08,3160.83,2747.65,20667,20667,20667.01,20667.01,0,0,0,0,0,0,0,0,20667,20667,0,0,1278.8,1250.05,1278.8,1250.05,0,0,0,0,0,0,0,0,0,0,0
2647595,1,"2011","2010",0,0.133,0.153,"1",0.15,0.15,"05","D",0.06,0.0625,0,"D",0,"D",39966,"D",0,"D",0,"D",0,"D",0,"D",0,"D",18000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3774,1228,3773.65,4144.9,1227.68,1102.37,6114.8,5315.48,39966,39966,39966.01,39966.01,0,0,0,0,0,0,0,0,39966,39966,0,0,4173.65,4144.9,4173.65,4144.9,3670,3769,0,0,0,0,0,0,0,0,0
2647625,1,"2011","2010",1,0.029,0.029,"2",0.28,0.28,"44","D",0,0,0,"D",0,"D",0,"D",195682,"D",10000,"D",0,"D",0,"D",0,"D",0,"D",3360,"D",5791,"D",0,"D",1,"D",360,"D",39576,0,39576.46,39304.46,0,0,18917.98,16781.98,205682,205682,0,0,0,0,0,0,0,0,0,0,205682,205682,0,0,39576.46,39304.46,39576.46,39304.46,0,0,0,0,0,0,0,0,0,0,0
