"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20141",2757654,32,0,"5","01","D","100","D",0.0784,"D",101539,"D",15,"D",1147,"D","3","D","4","D",,"A",,"A",186,"D",300,"D",302,"D",303,"D",661,"D",659,"D",658,"D",,"A","09","D","2013","D","1","D",,"A",101241,"D",100942,"D",100640,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2757654,33,0,"5","01","D","100","D",0.0425,"D",5397,"D",5,"D",100,"D",,"A",,"A",,"A",,"A",0,"D",81,"D",82,"D",82,"D",19,"D",18,"D",18,"D",,"A","08","D","2013","D","1","D",,"A",5235,"D",5153,"D",5072,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2757782,21,0,"1","01","D","100","D",0.0784,"D",125927,"D",30,"D",1049,"D","3","D","4","D",,"A",,"A",139,"D",111,"D",112,"D",113,"D",799,"D",798,"D",797,"D",,"A","09","D","2010","D","1","D",,"A",122287,"D",122176,"D",122065,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2757792,46,0,"5","01","D","100","D",0.0784,"D",66008,"D",30,"D",565,"D","3","D","4","D",,"A",,"A",88,"D",134,"D",135,"D",136,"D",343,"D",342,"D",341,"D",,"A","01","D","2000","D","1","D",,"A",52504,"D",52370,"D",52235,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2757832,12,0,"1","01","D","100","D",0.0784,"F",60000,"F",15,"F",568,"F",,"A",,"A",,"A",,"A",0,"F",307,"F",309,"F",311,"F",74,"F",72,"F",70,"F",,"A","07","F","2001","F","2","F",,"A",16808,"F",16350,"F",15889,"F","01","D",,"C",,"C",,"C",381,"F",381,"F",381,"F","1","D","2","D"
"20141",2757962,8,0,"1","01","D","100","D",0.0784,"D",250000,"D",30,"D",2100,"D","3","D","4","D","5","D",,"A",293,"D",206,"D",207,"D",208,"D",1601,"D",1600,"D",1599,"D",,"A","08","D","2011","D","1","D",,"A",245096,"D",244890,"D",244683,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2757982,17,0,"5","01","D","100","D",0.0784,"D",220000,"D",15,"D",2890,"D","3","D","4","D",,"A",,"A",808,"D",899,"D",904,"D",910,"D",1183,"D",1178,"D",1172,"D",,"A","07","D","2009","D","1","D",,"A",181131,"D",180232,"D",179328,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758052,36,0,"5","01","D","100","D",0.045,"D",160000,"D",30,"D",1200,"D","3","D","4","D","5","D",,"A",389,"D",253,"D",253,"D",254,"D",558,"D",558,"D",557,"D",,"A","10","D","2009","D","1","D",,"A",148926,"D",148673,"D",148420,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758062,30,0,"5","01","D","100","D",0.04,"D",47000,"D",15,"D",579,"D","3","D","4","D",,"A",,"A",231,"D",219,"D",219,"D",220,"D",129,"D",129,"D",128,"D",,"A","06","D","2010","D","1","D",,"A",38828,"D",38609,"D",38390,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20141",2758112,46,0,"5","01","D","100","D",0.0425,"D",190000,"D",30,"D",1511,"D","3","D","4","D",,"A",,"A",576,"D",263,"D",264,"D",265,"D",672,"D",671,"D",670,"D",,"A","09","D","2013","D","1","D",,"A",189738,"D",189475,"D",189211,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
