"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20131",2515055,80,0,"1","400","D","11","D",32,"D",,"A",,"A",,"A",,"A"
"20131",2515055,81,0,"1","420","D","12","D",119,"D",,"A",,"A",,"A",,"A"
"20131",2515055,82,0,"2","420","D","10","D",16,"D",,"A",,"A",,"A",,"A"
"20131",2515115,67,0,"1","420","D","12","D",700,"D",,"A",,"A",,"A",,"A"
"20131",2515145,75,0,"1","400","D","12","D",5,"D",,"A",,"A",,"A",,"A"
"20131",2515295,68,0,"1","410","D","10","D",10,"D",,"A",,"A",,"A",,"A"
"20131",2515295,69,0,"1","420","D","10","D",27,"D",,"A",,"A",,"A",,"A"
"20131",2515295,70,0,"1","420","D","11","D",27,"D",,"A",,"A",,"A",,"A"
"20131",2515395,53,0,"1","420","D","11","D",100,"D",,"A",,"A",,"A",,"A"
"20131",2515395,54,0,"2","420","D","10","D",90,"D",,"A",,"A",,"A",,"A"
"20131",2515565,52,0,"1","400","D","12","D",35,"D",,"A",,"A",,"A",,"A"
"20131",2515605,60,0,"1","400","D","12","D",50,"D",,"A",,"A",,"A",,"A"
"20131",2515605,61,0,"1","420","D","12","D",50,"D",,"A",,"A",,"A",,"A"
"20131",2515795,35,0,"1","420","D","11","D",190,"D",,"A",,"A",,"A",,"A"
"20131",2515805,71,0,"1","420","D","12","D",63,"D",,"A",,"A",,"A",,"A"
"20131",2515825,32,0,"1","410","D","11","D",29,"D",,"A",,"A",,"A",,"A"
"20131",2515885,56,0,"1","420","D","12","D",116,"D",,"A",,"A",,"A",,"A"
"20131",2515985,41,0,"1","400","D","11","D",32,"D",,"A",,"A",,"A",,"A"
"20131",2516055,61,0,"1","420","D","11","D",69,"D",,"A",,"A",,"A",,"A"
"20131",2516335,74,0,"1","410","D","11","D",26,"D",,"A",,"A",,"A",,"A"
"20131",2516595,59,0,"1","420","D","12","D",60,"D",,"A",,"A",,"A",,"A"
"20131",2516655,60,0,"1","410","D","11","D",14,"D",,"A",,"A",,"A",,"A"
"20131",2516835,76,0,"1","410","D","10","D",36,"D",,"A",,"A",,"A",,"A"
"20131",2516865,75,0,"1","400","D","10","D",16,"D",,"A",,"A",,"A",,"A"
"20131",2516895,39,0,"1","420","D","12","D",68,"D",,"A",,"A",,"A",,"A"
