"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR","PMTYEAR","PMTYEAR_"
"20131",2532185,42,0,"5","01","D","100","D","2007","D",.,"A",72,"D","10","D",375,"D","3","D",.,"A",1000,"D",.,"A",.,"A",,"A",375,"D",375,"D",375,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAK","D",,"A",,"A"
"20131",2532265,35,0,"5","01","D","100","D","2013","D",.,"A",48,"D","10","D",261,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",261,"D",261,"D",261,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAB","D",,"A",,"A"
"20131",2533395,33,0,"5","01","D","100","D","2001","D",0.2,"D",48,"D","01","D",250,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","OLDAD","D",,"A",,"A"
"20131",2533775,20,0,"5","01","D","100","D","2010","D",.,"A",36,"D","08","D",263,"D","3","D",.,"A",.,"A",1400,"D",.,"A",,"A",263,"D",263,"D",263,"D",.,"A",.,"A",.,"A",1400,"D",.,"A","TOYAC","D",,"A",,"A"
"20131",2533775,21,0,"5","02","D","100","D","2010","D",.,"A",36,"D","08","D",268,"D","3","D",.,"A",.,"A",1400,"D",.,"A",,"A",268,"D",268,"D",268,"D",.,"A",.,"A",.,"A",1400,"D",.,"A","TOYAC","D",,"A",,"A"
"20131",2534135,32,0,"5","01","D","110","D","2011","D",.,"A",36,"D","06","D",360,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",360,"D",360,"D",360,"D",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAO","D",,"A",,"A"
"20131",2534185,29,0,"5","01","D","110","D","2012","D",.,"A",48,"D","08","D",399,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",399,"D",399,"D",399,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAQ","D",,"A",,"A"
"20131",2535995,23,0,"4","01","D","110","D","2007","D",.,"A",.,"C","02","F",.,"C",,"C",.,"A",.,"A",2000,"D",.,"A",,"A",359,"F",359,"F",359,"F",.,"A",.,"A",.,"A",2000,"D",.,"A","CHEAZ","D",,"A",,"A"
"20131",2536485,40,0,"5","01","D","100","D","2012","D",.,"A",66,"D","08","D",444,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",444,"D",444,"D",444,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAK","D",,"A",,"A"
"20131",2537865,30,0,"5","01","D","110","D","2010","D",0.5,"D",24,"D","01","D",500,"D","3","D",250,"D",.,"A",.,"A",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAU","D",,"A",,"A"
"20131",2539035,49,0,"5","01","D","100","D","2013","D",.,"A",24,"D","09","D",270,"D","3","D",.,"A",.,"A",3500,"D",.,"A",,"A",270,"D",270,"D",270,"D",.,"A",.,"A",.,"A",3500,"D",.,"A","NISAD","D",,"A",,"A"
"20131",2539065,26,0,"5","01","D","110","D","2009","D",.,"A",1,"D","03","D",15000,"D","7","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","NISAQ","D",,"A",,"A"
"20131",2539185,39,0,"5","02","D","100","D","2012","D",.,"A",39,"D","06","D",400,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","INFAN","D",,"A",,"A"
"20131",2539195,33,0,"5","01","D","110","D","2010","D",.,"A",36,"D","08","D",400,"D","3","D",.,"A",.,"A",6000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",6000,"D",.,"A","VOVAQ","D",,"A",,"A"
"20131",2539695,35,0,"5","01","D","100","D","2010","D",.,"A",39,"D","02","D",401,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",401,"D",401,"D",401,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAG","D",,"A",,"A"
"20131",2540145,48,0,"5","01","D","100","D","2009","D",.,"A",72,"D","03","D",182,"D","3","D",.,"A",500,"D",3000,"D",.,"A",,"A",182,"D",182,"D",182,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","CHEAS","D",,"A",,"A"
"20131",2541455,30,0,"1","01","D","110","D","1994","D",.,"A",1,"D","03","D",3100,"D","7","D",.,"A",.,"A",.,"A",.,"A","02","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","CHEAW","D","2008","D",,"A"
"20131",2542365,29,0,"5","01","D","100","D","2009","D",.,"A",60,"D","07","D",380,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",380,"D",380,"D",380,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A",,"A"
"20131",2542365,30,0,"5","02","D","110","D","2010","D",.,"A",60,"D","01","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAC","D",,"A",,"A"
"20131",2542675,22,0,"5","01","D","110","D","2005","D",.,"A",60,"D","06","F",259,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",259,"D",259,"D",259,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","TOYAA","D",,"A",,"A"
"20131",2543995,42,0,"5","01","D","110","D","2012","D",.,"A",36,"D","03","D",210,"D","3","D",.,"A",10000,"D",.,"A",.,"A",,"A",210,"D",210,"D",210,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAG","D",,"A",,"A"
"20131",2544705,29,0,"5","01","D","100","D","2011","D",0.4,"D",33,"D","03","D",568,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",568,"D",568,"D",568,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MRBAD","D",,"A",,"A"
"20131",2545674,29,0,"5","01","D","100","D","2011","D",.,"A",.,"C","01","D",300,"D","3","D",.,"A",1000,"D",.,"C",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"B",.,"A","CHEBN","D",,"A",,"A"
"20131",2546314,25,0,"5","01","D","100","D","2012","D",.,"A",36,"D","04","D",535,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",535,"D",535,"D",535,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAM","D",,"A",,"A"
"20131",2546474,39,0,"5","01","D","100","D","2012","D",.,"A",36,"D","03","D",300,"D","3","D",.,"A",.,"C",1600,"D",.,"A",,"A",300,"D",300,"D",300,"D",50,"D",50,"D",50,"D",1600,"D",.,"A","VOKAI","D",,"A",,"A"
"20131",2546814,28,0,"5","01","D","110","D","2012","D",.,"A",39,"D","07","D",350,"D","3","D",.,"A",2000,"D",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBS","D",,"A",,"A"
"20131",2547514,37,0,"5","01","D","110","D","2011","D",.,"A",60,"D","05","D",636,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",636,"D",636,"D",636,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","TOYAO","D",,"A",,"A"
"20131",2547524,46,0,"5","01","D","100","D","2012","D",.,"A",39,"D","12","D",395,"D","3","D",.,"A",.,"C",500,"D",.,"A",,"A",395,"D",395,"D",395,"D",.,"A",.,"A",.,"A",500,"D",.,"A","NISAD","D",,"A",,"A"
"20131",2549404,30,0,"5","02","D","100","D","2012","D",.,"A",36,"D","07","D",277,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",277,"D",277,"D",277,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A",,"A"
"20131",2550274,29,0,"5","01","D","110","D","2012","D",.,"A",36,"D","03","D",285,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",285,"D",285,"D",285,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAK","D",,"A",,"A"
"20131",2550304,27,0,"5","01","D","100","D","2012","D",.,"A",36,"D","02","D",580,"D","3","D",.,"A",28000,"D",.,"A",.,"A",,"A",580,"D",580,"D",580,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHRAA","D",,"A",,"A"
"20131",2550794,28,0,"5","01","D","100","D","2011","D",.,"A",4,"D","03","D",328,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",328,"D",328,"D",328,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","NISAN","D",,"A",,"A"
"20131",2550844,27,0,"5","01","D","100","D","2011","D",.,"A",36,"D","07","D",228,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",228,"D",228,"D",228,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A",,"A"
"20131",2552704,40,0,"5","01","D","100","D","2012","D",.,"A",35,"D","07","D",199,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",199,"D",199,"D",199,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A",,"A"
"20131",2553574,35,0,"5","01","D","110","D","2011","D",.,"A",36,"D","03","F",480,"D","3","D",.,"A",.,"C",1000,"D",.,"A",,"A",480,"D",480,"D",480,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","TOYAO","D",,"A",,"A"
"20131",2553884,20,0,"5","01","D","110","D","2010","D",.,"A",36,"D","10","D",810,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",810,"D",810,"D",810,"D",.,"A",.,"A",.,"A",.,"A",.,"A","LEXAD","D",,"A",,"A"
"20131",2554384,41,0,"5","01","D","100","D","2012","D",.,"A",36,"D","11","F",354,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",354,"D",354,"D",354,"D",.,"A",.,"A",.,"A",1000,"F",.,"A","HONAA","D",,"A",,"A"
"20131",2554854,22,0,"5","01","D","100","D","2011","D",.,"A",.,"C","10","F",.,"C",,"C",.,"A",.,"A",.,"A",.,"A",,"A",387,"F",387,"F",387,"F",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAC","D",,"A",,"A"
"20131",2556124,24,0,"5","01","D","100","D","2005","D",.,"A",36,"D","03","F",340,"D","3","D",.,"A",500,"D",.,"A",.,"A",,"A",340,"D",340,"D",340,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAG","D",,"A",,"A"
"20131",2556834,19,0,"5","01","D","100","D","2008","D",.,"A",60,"D","07","D",250,"D","3","D",.,"A",1800,"D",.,"A",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAE","D",,"A",,"A"
"20131",2557164,45,0,"5","01","D","100","D","2009","D",.,"A",36,"D","07","D",179,"D","3","D",.,"A",.,"A",4000,"D",.,"A",,"A",179,"D",179,"D",179,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","TOYAX","D",,"A",,"A"
"20131",2557604,34,0,"5","01","D","110","D","2012","D",.,"A",36,"D","05","D",198,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",198,"D",198,"D",198,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","TOYAN","D",,"A",,"A"
"20131",2557604,35,0,"5","02","D","100","D","2012","D",.,"A",36,"D","06","D",172,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",172,"D",172,"D",172,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","TOYAF","D",,"A",,"A"
"20131",2558444,35,0,"5","01","D","110","D","2011","D",.,"A",36,"D","03","D",249,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",249,"D",249,"D",249,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAN","D",,"A",,"A"
"20131",2558884,22,0,"5","01","D","100","D","2011","D",.,"A",36,"D","11","F",190,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",190,"D",190,"D",190,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","KIAXX","D",,"A",,"A"
"20131",2559074,27,0,"5","01","D","100","D","2011","D",.,"A",36,"D","08","D",245,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",245,"D",245,"D",245,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A",,"A"
"20131",2559794,35,0,"5","01","D","100","D","2012","D",.,"A",36,"D","11","D",189,"D","3","D",.,"A",.,"C",3800,"D",.,"A",,"A",189,"D",189,"D",189,"D",.,"A",.,"A",.,"A",3800,"D",.,"A","HYUAB","D",,"A",,"A"
"20131",2561804,23,0,"5","01","D","100","D","2010","D",.,"A",36,"D","02","D",450,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",450,"D",450,"D",450,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","LEXXX","D",,"A",,"A"
"20131",2561804,24,0,"5","02","D","110","D","2011","D",.,"A",36,"D","06","D",403,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",403,"D",403,"D",403,"D",.,"A",.,"A",.,"A",.,"A",.,"A","GMCAM","D",,"A",,"A"
"20131",2561844,43,0,"5","01","D","110","D","2011","D",0.9,"D",36,"D","09","D",300,"D","3","D",.,"A",2000,"D",2000,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","JEEAD","D",,"A",,"A"
"20131",2562214,43,0,"5","01","D","100","D","2011","D",.,"A",48,"D","06","D",240,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",240,"D",240,"D",240,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","CHEBT","D",,"A",,"A"
"20131",2564404,28,0,"5","03","D","100","D","2012","D",.,"A",24,"D","09","D",365,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",365,"D",365,"D",365,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBT","D",,"A",,"A"
"20131",2565494,19,0,"5","01","D","100","D","2012","D",.,"A",36,"D","06","D",287,"D","3","D",.,"A",15000,"D",.,"A",.,"A",,"A",287,"D",287,"D",287,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAN","D",,"A",,"A"
"20131",2565494,21,0,"1","03","D","100","D","2012","D",.,"A",48,"D","01","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A","11","F",256,"F",256,"F",256,"F",.,"A",.,"A",.,"A",.,"A",.,"A","NISAD","D",,"C",,"A"
"20131",2566294,33,0,"5","01","D","100","D","2008","D",.,"A",60,"D","10","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","KIAAC","D",,"A",,"A"
"20131",2566594,25,0,"5","01","D","100","D","2010","D",.,"A",36,"D","06","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",265,"F",265,"F",265,"F",.,"A",.,"A",.,"A",.,"A",.,"A","NISAD","D",,"A",,"A"
"20131",2567664,26,0,"5","01","D","110","D","2011","D",.,"A",60,"D","01","D",445,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",445,"D",445,"D",445,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAI","D",,"A",,"A"
"20131",2567834,28,0,"5","01","D","100","D","2012","D",.,"A",36,"D","09","D",350,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",350,"D",350,"D",350,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAK","D",,"A",,"A"
"20131",2568704,47,0,"5","01","D","110","D","2011","D",.,"A",39,"D","08","D",359,"D","3","D",.,"A",.,"A",1500,"D",.,"A",,"A",359,"D",359,"D",359,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","NISAW","D",,"A",,"A"
"20131",2569384,35,0,"5","01","D","100","D","2013","D",.,"A",36,"D","05","D",262,"D","3","D",.,"A",10500,"D",.,"A",.,"A",,"A",262,"D",262,"D",262,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAB","D",,"A",,"A"
"20131",2569934,35,0,"1","01","D","110","D","2012","D",.,"A",36,"D","01","D",300,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",.,"A",300,"D",300,"D",.,"A",.,"A",.,"A",2000,"F",.,"A","NISAW","D",,"A",,"A"
"20131",2569984,22,0,"5","01","D","100","D","2011","D",0.7,"D",36,"D","02","D",400,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","VOKAU","D",,"A",,"A"
"20131",2570914,37,0,"5","01","D","100","D","2010","D",.,"A",42,"D","05","D",201,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",201,"D",201,"D",201,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","MAZAP","D",,"A",,"A"
