era_id,source_file,release_date,page_number,metadata_type,text_raw,ocr_confidence
1,1970s/1978-07-20_491119_July_20_1978.pdf,1978-07-20,1,revision_notice,"1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS AND CORPORATIONS AND OF STAT:.S AND
POLITICAL SUBDIVISIONS
2/ EXCLUDES NOW ACCOUNTS AND SPECTAL CLUD ACCOUNTS, SUCH AS CHRISTMAS AND VACATICN CLUBS.
‘3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL S-VINCS BANKS, CREDIT UNIONS,
THE EXPORT-TMPORT BANX, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIL i970 THROUGH JUNE 1977 KAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA‘S, WHICH ARE AVAILARLY THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, RIVIS'ON OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTRM, WASHINGTON D.C. 20521. DEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABIE PRIOR TO JUZY 1977.
BEGINNING WITH JULY 1977, DATA HAVE BEEN REVISED TO TAKE ACCOUNT OF CALL REPORT BENCIMAS",85.47
1,1970s/1978-08-02_491120_August_2_1978.pdf,1978-08-02,1,other_non_table_material,"A/ KEPRESENTS ACCOUNTS OF INDIVIDUALS», PARTNERSHIPS» AND CORPORATIONS AND OF STATES AND
PULITICAL SUBDIVISIONS.
&/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS», SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ KEPRESENTS CORPOKATIONS ANG OTHER PKOFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS 6UT INCLUDING SAVINGS ANDO LUAN ASSUCIATIUNS, MUTUAL SAVINGS GANKS, CREGIT UNIGNS,
THE EXPOKT-IMPURT BANK, AND FEDERALLY SPONSURED LENUING AGENCIES).
NOTE: HISTORICAL CATA FOR THE PERIUL 1970 THRUUGH JUNE 1977 HAVE BEEN ESTIMATEOS THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SEKIES FOR 233 SMSA*S, WHICH WERE AVAILAGLE THROUGH
YUNE 1977. BACK DATA ARt AVAILABLE FROM PUGLICATIGNS SEKVICES, LIVISION OF AUMINISTKATIVE
SERVICES, BLARD UF GUVERNUKS Cr THE FEDERAL RESERVE SYSTEM, WASHINGTUN, D.C. 20551. DEbITS
AND TURNOVER DATA FOK SAVINGS UEPCSITS ARe NGT AVAILABLE PRICK TO JULY 1977.",76.86
1,1970s/1978-09-11_491121_September_11_1978.pdf,1978-09-11,1,footnotes,"47 REPRESENTS ACCOUNTS UF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS ANG OF STATES ANO
POLITICAL SUBOIVISIUNS.
2/7 EXCLUDES NOW ACCOUNTS ANU SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS ANDO VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LGAN ASSOCIATIONS, MUTUAL SAVINGS BANKS» CREOIT UNIONS»
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENOING AGENCIES).
NOTES HISTORICAL DATA FOR THE PERIUU 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE .
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA*S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK LATA ARE AVAILABLE FROM PUBLICATIUNS SERVICES, DIVISI1UN UF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, 0.C. 20551. O€B1TS
AND TURNOVER DATA FOR SAVINGS DEPUSITS ARE NUT AVAILABLE PRIOR TO JULY 1977.",81.69
1,1970s/1978-10-13_491122_October_13_1978.pdf,1978-10-13,1,revision_notice,"L/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS. AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS
2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA'S, WHICH ARE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON D.C. 20551. DEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.
BEGINNING WITH JULY 1977, DATA HAVE BEEN REVISED TO TAKE ACCOUNT OF CALL REPORT BENCHMARKS
igitized for FRASER AS OF MARCH 1978.",92.44
1,1970s/1978-11-14_491123_November_14_1978.pdf,1978-11-14,1,other_non_table_material,"1/ REPRESENTS ACCOUNTS OF INDIVIOUALS, PARTNERSHIPS, AND CORPORATIONS ANO OF STATES AND
POLITICAL SUBDIVISIONS.
2/ €XCLUDES NOW ACCOUNTS ANDO SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS ANO VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA°S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
| SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, 0.C. 20551. OEBITS",88.78
1,1970s/1978-12-12_491124_December_12_1978.pdf,1978-12-12,1,footnotes,"1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNiKSHIPS, AND CORPGRATIONS ANO C& STATES AND
POLITICAL SUBQIVISIONS.
2/7 EXCLUDES NOW ACCOUNT AND SPECTAL CLUB ACCUUNTS» SJCH AS CHATSTMAS AND VACATION CLUAS.
3/ REPRESENTS CORPORATICNS ANU OTHER PROFIT-SEEKING GAGANIZATIONS CEXCEUUTNG CUMAERC TAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSUCTATIONS, “uTUAL SAVINGS BANNSs CREDIT UNIUNS,
THE EXPURT-IMPORT RANK, ANO FEDERALLY SPONSOKLO LENDING AGENCIES).
NOTE? HISTCRICAL OATA FUR THE PERIL 1970 THROJSH JUNE 1977 HAVE BEEN FSTIMATED; THESE
ESTIMATES ARE SASTO IN PART Gi TH! DESITS SthIES FUR 233 S¥SA""S, WHICH wLAF AVALCASLE THROUGH
igitized for FRASER",64.35
1,1970s/1979-01-09_491125_January_9_1979.pdf,1979-01-09,1,other_non_table_material,"L/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, ANO CORPORAITUNS AND OF STATES AND
POLITICAL SUBDIVISIONS.
2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUS ACCOUNTS, SUCH AS CHRISTMAS ANO VACATION CLU3S.
3/ REPRESENTS CORPORATICNS AND OTHER PROFIT-SEEKING CRGANIZATIONS (EXCLUDING COMMERCTAL
BANKS BUT INCLUDING SAVINGS ANO LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREOIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL SATA FOR THE PERTOO 1970 THROUGH JUNE 1977 HAVE SEEN ESTIMATED; THESE
FSTIMATES ARE BASED IN PART ON THE OESITS SERIES FOR 233 SMSA'S, WHICH WERE AVAILABLE THROUGH
@ JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, OIVISION SF ADMINISTRATIVE
igitized for FRASER SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, 9.C. 20551. OERITS",83.2
1,1970s/1979-02-15_491126_February_15_1979.pdf,1979-02-15,1,other_non_table_material,"1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES AND
® POLITICAL SUBDIVISIONS.
| 2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS , CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
| NOTE: HISTORICAL DATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED: THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERIES FOR 233 SMSA'S, WHICH ARE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON D.C. 20551. DEBITS
of AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.
igitized for FRASER",92.16
1,1970s/1979-04-24_491127_April_24_1979.pdf,1979-04-24,1,other_non_table_material,"a 1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS AND OF STATES AND
POLITICAL SUBDIVISIONS.
2/ EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS ANO VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
BANKS BUT INCLUDING SAVINGS AND LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT BANK, AND FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL DATA FOR THE PERIOD 1979 THROUGH JJNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASED IN PART ON THE DESITS SERIES FOR 233 SMSA'S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
e SERVICES, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, WASHINGTON, 0.C. 20551. DOEBITS
AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.",91.48
1,1970s/1979-05-11_491128_May_11_1979.pdf,1979-05-11,1,other_non_table_material,"1/ REPRESENTS ACCOUNTS OF INDIVIDUALS, PARTNERSHIPS, AND CORPORATIONS ANO OF STATES ANO
POLITICAL SUADIVISTONS.
af EXCLUDES NOW ACCOUNTS AND SPECIAL CLUB ACCOUNTS, SUCH AS CHRISTMAS AND VACATION CLUBS.
3/ REPRESENTS CORPORATIONS AND OTHER PROFIT-SEEKING ORGANIZATIONS (EXCLUDING COMMERCIAL
RANKS BUT INCLUDING SAVINGS ANDO LOAN ASSOCIATIONS, MUTUAL SAVINGS BANKS, CREDIT UNIONS,
THE EXPORT-IMPORT SANK, ANO FEDERALLY SPONSORED LENDING AGENCIES).
NOTE: HISTORICAL OATA FOR THE PERIOD 1970 THROUGH JUNE 1977 HAVE BEEN ESTIMATED; THESE
ESTIMATES ARE BASED IN PART ON THE DEBITS SERTES FOR 233 SMSA'S, WHICH WERE AVAILABLE THROUGH
JUNE 1977. BACK DATA ARE AVAILABLE FROM PUBLICATIONS SERVICES, DIVISION OF ADMINISTRATIVE
SERVICES, BOARD OF GOVERNORS OF THE FENERAL RESERVE SYSTEM, WASHINGTON, D.C. 20551. OEBITS
e AND TURNOVER DATA FOR SAVINGS DEPOSITS ARE NOT AVAILABLE PRIOR TO JULY 1977.",82.97
