"NEWID","AGE","AGE_","ANGOVRTX","ANGO_RTX","ANPRVPNX","ANPR_PNX","ANRRDEDX","ANRR_EDX","ARM_FORC","ARM__ORC","CU_CODE","EARNER","EARNER_","EARNTYPE","EARN_YPE","EDUCA","EDUCA_","EMPLCONT","EMPL_ONT","GOVRETX","GOVRETX_","GROSPAYX","GROS_AYX","IN_COLL","IN_COLL_","INC_HRSQ","INC__RSQ","INCMEDCR","INCM_DCR","INCNONWK","INCN_NWK","INCOMEY","INCOMEY_","INCWEEKQ","INCW_EKQ","INDRETX","INDRETX_","JSSDEDX","JSSDEDX_","MARITAL","MEDICOV","MEDICOV_","MEMBNO","OCCUCODE","OCCU_ODE","PAYPERD","PAYPERD_","PRIVPENX","PRIV_ENX","RRRDEDX","RRRDEDX_","RRRETIRX","RRRE_IRX","SALARYX","SALARYX_","SCHMLWKQ","SCHM_WKQ","SEX","SLFEMPSS","SLFE_PSS","SOCRRX","SOCRRX_","SS_RRQ","SS_RRQ_","SSIX","SSIX_","SSNORM","SSNORM_","SALARYB","SALARYB_","SALARYBX","SALA_YBX","RRRETIRB","RRRE_IRB","RRRETRBX","RRRE_RBX","SSIB","SSIB_","SSIBX","SSIBX_","HORIGIN","HISPANIC","HISP_NIC","MEMBRACE","RC_WHITE","RC_W_ITE","RC_BLACK","RC_B_ACK","RC_NATAM","RC_N_TAM","RC_ASIAN","RC_A_IAN","RC_PACIL","RC_P_CIL","RC_OTHER","RC_O_HER","RC_DK","RC_DK_","ASIAN","ASIAN_","ANGOVRTM","ANGO_RTM","ANPRVPNM","ANPR_PNM","ANRRDEDM","ANRR_EDM","JSSDEDXM","JSSD_DXM","JSSDEDX1","JSSDEDX2","JSSDEDX3","JSSDEDX4","JSSDEDX5","RRRETIRM","RRRE_IRM","RRRETIR1","RRRETIR2","RRRETIR3","RRRETIR4","RRRETIR5","RRRETIRI","SALARYXM","SALA_YXM","SALARYX1","SALARYX2","SALARYX3","SALARYX4","SALARYX5","SALARYXI","SLFEMPSM","SLFE_PSM","SLFEMPS1","SLFEMPS2","SLFEMPS3","SLFEMPS4","SLFEMPS5","SOCRRXM","SOCRRXM_","SOCRRX1","SOCRRX2","SOCRRX3","SOCRRX4","SOCRRX5","SSIXM","SSIXM_","SSIX1","SSIX2","SSIX3","SSIX4","SSIX5","SSIXI","PAYSTUB","PAYSTUB_","SCHLMLPD","SCHL_LPD","SEMPFRM1","SEMPFRM2","SEMPFRM3","SEMPFRM4","SEMPFRM5","SEMPFRMI","SCHLMLX","SCHLMLX_","SEMPFRMX","SEMP_RMX","SEMPFRMM","SEMP_RMM","SMPFRMB","SMPFRMB_","SMPFRMBX","SMPF_MBX","SOCSRRET","SOCS_RET","TAX__NIT","TU_CODE_","TU_D_NDT","WKSTATUS","TAX_UNIT","TU_CODE","TU_DPNDT"
"03607221",36,"D",.,"A",.,"A",.,"A","2","D","1","1","D","1","D","7","D","2","D",.,"A",.,"C","3","D",50,"D",,"A",,"A","1","D",52,"D",.,"A",0,"D","1",,"C",1,"03","D","4","D",.,"A",.,"A",.,"A",.,"C",.,"A","2",0,"D",0,"D",.,"A",.,"A",,"A",,"C",.,"B",,"A",.,"A",,"A",.,"A","2",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",4288.8,"D",2092,5707,5792,3054,4799,.,"A",.,.,.,.,.,100,56063.4,"D",27347,74598,75715,39920,62737,201,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",1,"1",.
"03607221",46,"D",.,"A",.,"A",.,"A","1","D","2","1","D","1","D","4","D","2","D",.,"A",.,"C","3","D",40,"D","2","D",,"A","1","D",52,"D",.,"A",0,"D","1",,"C",2,"07","D","2","D",.,"A",.,"A",.,"C",.,"C",.,"A","1",0,"D",0,"D",6,"D",.,"A",,"A",,"C",.,"B",,"C",.,"B",,"A",.,"A","2",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",3117,"D",2978,1541,2142,4877,4047,958.6,"D",580,1350,1128,473,1262,201,40742.8,"D",38927,20139,28003,63748,52897,201,0,"D",0,0,0,0,0,5752,"D",3480,8100,6768,2838,7572,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","1","D","D","D","A","1",1,"2",.
"03607251",51,"D",.,"A",.,"A",.,"A","2","D","1","1","D","4","D","7","D","2","D",.,"A",280,"D","3","D",20,"D","1","D",,"A","1","D",11,"D",.,"A",3060,"D","3","2","D",1,"06","D","2","D",.,"A",.,"A",208,"D",40000,"D",.,"A","2",0,"D",4104,"D",12,"D",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",3060,"D",3060,3060,3060,3060,3060,208,"D",208,208,208,208,208,100,40000,"D",40000,40000,40000,40000,40000,100,0,"D",0,0,0,0,0,4104,"D",4104,4104,4104,4104,4104,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","1","D","D","D","A","1",1,"1",.
"03607251",15,"D",.,"A",.,"A",.,"A",,"A","3","1","D","4","D","3","D","2","D",.,"A",.,"C",,"A",6,"D",,"A",,"A","1","D",10,"D",.,"A",0,"D","5","2","D",2,"10","D","2","D",.,"A",.,"A",.,"A",.,"C",12,"D","1",0,"D",0,"D",.,"A",.,"A",,"A",,"C",.,"B",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",141.4,"D",560,20,8,2,117,.,"A",.,.,.,.,.,100,1847,"D",7326,256,101,25,1527,201,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"2","D","2","D",.,.,.,.,.,100,5,"D",.,"A",.,"A",,"A",.,"A","2","D","D","D","D","1",1,"3",1
"03607251",8,"D",.,"A",.,"A",.,"A",,"A","3",,"A",,"A",,"A",,"A",.,"A",.,"A",,"A",.,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A","5",,"A",3,,"A",,"A",.,"A",.,"A",.,"A",.,"A",12,"D","2",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,,"A","2","D",.,.,.,.,.,.,3,"D",.,"A",.,"A",,"A",.,"A",,"A","D","D","D",,1,"3",1
"03607261",60,"D",.,"A",3102,"D",.,"A","2","D","1","1","D","1","D","5","D","2","D",.,"A",1300,"D","3","D",36,"D",,"A",,"A","1","D",52,"D",2250,"D",2448,"D","1","1","D",1,"07","D","2","D",126,"D",.,"A",.,"A",32000,"D",.,"A","2",0,"D",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",3102,"D",.,"A",2448,"D",2448,2448,2448,2448,2448,.,"A",.,.,.,.,.,100,32000,"D",32000,32000,32000,32000,32000,100,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"2","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",1,"1",.
"03607261",66,"D",.,"A",.,"A",.,"A",,"A","2","2","D",,"A","3","D",,"A",.,"A",.,"A",,"A",.,"A","2","D","1","D",,"A",0,"D",.,"A",.,"A","1",,"A",2,,"A",,"A",.,"A",.,"A",1666,"D",.,"A",.,"A","1",.,"A",19992,"D",12,"D",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,1666,"D",1666,1666,1666,1666,1666,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,19992,"D",19992,19992,19992,19992,19992,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","1","D","D","D","D",,1,"2",1
"03607261",30,"D",.,"A",.,"A",.,"A","2","D","3","2","D",,"A","4","D",,"A",.,"A",.,"A","3","D",.,"A",,"A","5","D",,"A",0,"D",.,"A",.,"A","5",,"A",3,,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1",.,"A",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,,"A",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","D",,1,"3",1
"03607271",50,"D",5500,"D",.,"A",.,"A","2","D","1","1","D","1","D","7","D","2","D",500,"D",1700,"D","3","D",40,"D",,"A",,"A","2","D",52,"D",.,"A",4208,"D","1","2","D",1,"04","D","3","D",.,"A",.,"A",.,"A",.,"C",.,"A","1",0,"D",0,"D",.,"A",.,"A",,"A","08","D",55000,"D",,"A",.,"A",,"A",.,"A","2",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A",5764,"D",.,"A",.,"A",4409.2,"D",4241,4098,4906,4761,4040,.,"A",.,.,.,.,.,100,57637.2,"D",55435,53570,64136,62238,52807,301,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"1","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",1,"1",.
"03607271",48,"D",.,"A",.,"A",.,"A","2","D","2","1","D","2","D","4","D","2","D",.,"A",550,"D","3","D",22,"D",,"A",,"A","1","D",52,"D",.,"A",536,"D","1","2","D",2,"10","D","3","D",.,"A",.,"A",.,"A",.,"C",.,"A","2",0,"D",0,"D",.,"A",.,"A",,"A","02","D",7000,"D",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",585,"D",517,701,721,417,569,.,"A",.,.,.,.,.,100,7646,"D",6762,9164,9422,5447,7435,301,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,"1","D",,"A",.,.,.,.,.,100,.,"A",.,"A",.,"A",,"A",.,"A","2","D","D","D","A","1",1,"2",.
