"NEWID","AGE","AGE_","AMTFED","AMTFED_","ANFEDTX","ANFEDTX_","ANGOVRTX","ANGO_RTX","ANPRVPNX","ANPR_PNX","ANRRDEDX","ANRR_EDX","ANSLTX","ANSLTX_","ARM_FORC","ARM__ORC","CU_CODE","EARNER","EARNER_","EARNTYPE","EARN_YPE","EDUCA","EDUCA_","EMPLCONT","EMPL_ONT","FARMINCX","FARM_NCX","FARMLOSS","FARM_OSS","GOVRETX","GOVRETX_","GROSPAYX","GROS_AYX","IN_COLL","IN_COLL_","INC_HRSQ","INC__RSQ","INCMEDCR","INCM_DCR","INCNONWK","INCN_NWK","INCOMEY","INCOMEY_","INCORP","INCORP_","INCWEEKQ","INCW_EKQ","INDRETX","INDRETX_","JSSDEDX","JSSDEDX_","MARITAL","MEDICOV","MEDICOV_","MEMBNO","NFRMLOSS","NFRM_OSS","NONFARMX","NONF_RMX","OCCUCODE","OCCU_ODE","PAYPERD","PAYPERD_","PRIVPENX","PRIV_ENX","PWRKSTAT","PWRK_TAT","RRRDEDX","RRRDEDX_","RRRETIRX","RRRE_IRX","SALARYX","SALARYX_","SCHMLWKQ","SCHM_WKQ","SCHMLWKX","SCHM_WKX","SEX","SLFEMPSS","SLFE_PSS","SLTAXX","SLTAXX_","SOCRRX","SOCRRX_","SS_RRQ","SS_RRQ_","SSIX","SSIX_","SSNORM","SSNORM_","SALARYB","SALARYB_","SALARYBX","SALA_YBX","NONFARMB","NONF_RMB","NONFRMBX","NONF_MBX","FARMINCB","FARM_NCB","FRMINCBX","FRMI_CBX","RRRETIRB","RRRE_IRB","RRRETRBX","RRRE_RBX","SSIB","SSIB_","SSIBX","SSIBX_","HORIGIN","HISPANIC","HISP_NIC","MEMBRACE","RC_WHITE","RC_W_ITE","RC_BLACK","RC_B_ACK","RC_NATAM","RC_N_TAM","RC_ASIAN","RC_A_IAN","RC_PACIL","RC_P_CIL","RC_OTHER","RC_O_HER","RC_DK","RC_DK_","ASIAN","ASIAN_","ANFEDTXM","ANFE_TXM","ANGOVRTM","ANGO_RTM","ANPRVPNM","ANPR_PNM","ANRRDEDM","ANRR_EDM","ANSLTXM","ANSLTXM_","FARMINCM","FARM_NCM","FARMINC1","FARMINC2","FARMINC3","FARMINC4","FARMINC5","FARMINCI","JSSDEDXM","JSSD_DXM","JSSDEDX1","JSSDEDX2","JSSDEDX3","JSSDEDX4","JSSDEDX5","NONFARMM","NONF_RMM","NONFARM1","NONFARM2","NONFARM3","NONFARM4","NONFARM5","NONFARMI","RRRETIRM","RRRE_IRM","RRRETIR1","RRRETIR2","RRRETIR3","RRRETIR4","RRRETIR5","RRRETIRI","SALARYXM","SALA_YXM","SALARYX1","SALARYX2","SALARYX3","SALARYX4","SALARYX5","SALARYXI","SLFEMPSM","SLFE_PSM","SLFEMPS1","SLFEMPS2","SLFEMPS3","SLFEMPS4","SLFEMPS5","SOCRRXM","SOCRRXM_","SOCRRX1","SOCRRX2","SOCRRX3","SOCRRX4","SOCRRX5","SSIXM","SSIXM_","SSIX1","SSIX2","SSIX3","SSIX4","SSIX5","SSIXI"
2511595,54,"D",.,"C",.,"B",.,"B",.,"B",.,"A",.,"B","2","D","1","1","D","1","D","5","D","2","D",.,"A",,"A",.,"C",500,"D","3","D",40,"D",,"A",,"A","4","D",,"A",52,"D",.,"A",3060,"D","1",,"A",1,,"A",.,"A","03","D","1","D",.,"C","1","D",.,"A",.,"A",40000,"D",.,"A",.,"A","1",0,"D",.,"C",0,"D",.,"A",.,"A","2","D",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",.,"B",.,"B",.,"A",.,"B",.,"A",.,.,.,.,.,100,3060,"D",3060,3060,3060,3060,3060,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,40000,"D",40000,40000,40000,40000,40000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511595,54,"D",.,"C",.,"B",.,"B",2102,"D",.,"A",.,"B","2","D","2","1","D","1","D","8","D","2","D",.,"A",,"A",.,"C",3044,"D","3","D",60,"D",,"A",,"A","4","D",,"A",52,"D",.,"A",6120,"D","1",,"A",2,,"A",.,"A","03","D","2","D",80,"D","1","D",.,"A",.,"A",80000,"D",.,"A",.,"A","2",0,"D",.,"C",0,"D",.,"A",.,"A","2","D",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",.,"B",2102,"D",.,"A",.,"B",.,"A",.,.,.,.,.,100,6120,"D",6120,6120,6120,6120,6120,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,80000,"D",80000,80000,80000,80000,80000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511615,37,"D",.,"C",.,"B",.,"A",.,"B",.,"A",.,"B","2","D","1","1","D","1","D","8","D","1","D",.,"A",,"A",.,"A",.,"C","2","D",40,"D",,"A",,"A","4","D",,"A",52,"D",.,"A",6885,"D","1","2","D",1,,"A",.,"A","08","D","6","D",.,"C","1","D",.,"A",.,"A",90000,"D",.,"A",.,"A","1",0,"D",.,"C",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","1","6","D","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",.,"A",.,"B",.,"A",.,"B",.,"A",.,.,.,.,.,100,6885,"D",6885,6885,6885,6885,6885,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,90000,"D",90000,90000,90000,90000,90000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511615,29,"D",.,"C",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","1","D","1","D","8","D","2","D",.,"A",,"A",.,"A",.,"C","2","D",40,"D",,"A",,"A","1","D",,"A",52,"D",.,"A",3060,"D","1","2","D",2,,"A",.,"A","04","D","1","D",.,"A","1","D",.,"A",.,"A",40000,"D",.,"A",.,"A","2",0,"D",.,"C",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","1","6","D","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",.,"A",.,"A",.,"A",.,"B",.,"A",.,.,.,.,.,100,3060,"D",3060,3060,3060,3060,3060,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,40000,"D",40000,40000,40000,40000,40000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511625,28,"D",.,"C",.,"B",.,"B",1200,"D",.,"A",.,"B","2","D","1","1","D","1","D","7","D","1","D",.,"A",,"A",.,"C",4167,"D","3","D",40,"D",,"A",,"A","3","D",,"A",52,"D",.,"A",3825,"D","1","2","D",1,,"A",.,"A","02","D","3","D",100,"D","1","D",.,"A",.,"A",50000,"D",.,"A",.,"A","2",0,"D",.,"C",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",.,"B",1200,"D",.,"A",.,"B",.,"A",.,.,.,.,.,100,3825,"D",3825,3825,3825,3825,3825,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,50000,"D",50000,50000,50000,50000,50000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511625,32,"D",.,"C",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","2","1","D","2","D","7","D","2","D",.,"A",,"A",.,"A",1000,"D","3","D",20,"D",,"A",,"A","1","D",,"A",52,"D",.,"A",765,"D","1","2","D",2,,"A",.,"A","02","D","3","D",.,"A","1","D",.,"A",.,"A",10000,"D",.,"A",.,"A","1",0,"D",.,"C",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"B",.,"A",.,"A",.,"A",.,"B",.,"A",.,.,.,.,.,100,765,"D",765,765,765,765,765,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,10000,"D",10000,10000,10000,10000,10000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511625,1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","3",,"A",,"A",,"A",,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A","5",,"A",3,,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","1","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.
2511645,52,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D","1","2","D",,"A","3","D",,"A",.,"A",,"A",.,"A",.,"A",,"A",.,"A",,"A","1","D",,"A",,"A",0,"D",.,"A",.,"A","2",,"A",1,,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1",.,"A",.,"A",0,"D",.,"A",9600,"D",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","6","1","D",,"A",,"A","4","D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,1140,"D",1140,1140,1140,1140,1140,9600,"D",9600,9600,9600,9600,9600,100
2511675,62,"D",.,"C",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","1","1","D","3","D","8","D","2","D",.,"A",,"A",.,"A",2600,"D","3","D",40,"D",,"A",,"A","1","D",,"A",42,"D",4000,"D",6120,"D","2","2","D",1,,"A",.,"A","03","D","1","D",.,"A","1","D",.,"A",.,"A",80000,"D",.,"A",.,"A","1",0,"D",.,"C",0,"D",.,"A",.,"A",,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","4",,"A",,"A",,"A","4","D",,"A",,"A",,"A","5","D",.,"B",.,"A",.,"A",.,"A",.,"B",.,"A",.,.,.,.,.,100,6120,"D",6120,6120,6120,6120,6120,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,80000,"D",80000,80000,80000,80000,80000,100,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
2511675,35,"D",.,"C",.,"B",.,"A",.,"A",.,"A",.,"B","2","D","3","1","D","2","D","7","D","2","D",.,"A",,"A",.,"A",.,"C","3","D",25,"D",,"A",,"A","1","D",,"A",52,"D",.,"A",1836,"D","5","2","D",2,,"A",.,"A","03","D",,"C",.,"A","1","D",.,"A",.,"A",.,"C",.,"A",.,"A","1",0,"D",.,"C",0,"D",.,"A",.,"A",,"A","05","D",24000,"D",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",.,"A","2",,"A","4",,"A",,"A",,"A","4","D",,"A",,"A",,"A","5","D",.,"B",.,"A",.,"A",.,"A",.,"B",.,"A",.,.,.,.,.,100,1815.2,"D",1945,1873,1751,1951,1556,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,23730.2,"D",25425,24486,22893,25504,20343,301,0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,100
