"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20161","03093404",9,0,"2","160","D","10","D",100,"D"
"20161","03093474",6,0,"1","170","D","12","D",100,"D"
"20161","03093474",7,0,"1","160","D","10","D",10,"D"
"20161","03093474",8,0,"1","140","D","12","D",10,"D"
"20161","03093484",3,0,"1","170","D","12","D",800,"D"
"20161","03093484",4,0,"1","160","D","12","D",1000,"D"
"20161","03093564",3,0,"1","150","D","13","D",20,"D"
"20161","03093634",1,0,"1","160","D","13","D",50,"D"
"20161","03093674",9,0,"1","170","D","12","D",200,"D"
"20161","03093674",10,0,"1","150","D","13","D",100,"D"
"20161","03093684",5,0,"1","170","D","12","D",300,"D"
"20161","03093804",14,0,"1","150","D","13","D",120,"D"
"20161","03093834",8,0,"1","160","D","10","D",100,"D"
"20161","03093834",9,0,"1","160","D","11","D",50,"D"
"20161","03093834",10,0,"1","160","D","12","D",25,"D"
"20161","03093874",10,0,"1","160","D","13","D",50,"D"
"20161","03093904",2,0,"1","100","D","13","D",400,"D"
"20161","03093964",5,0,"1","160","D","12","D",200,"D"
"20161","03093984",2,0,"1","150","D","13","D",65,"D"
"20161","03093984",3,0,"1","160","D","10","D",50,"D"
"20161","03094034",2,0,"1","150","D","13","D",200,"D"
"20161","03094524",3,0,"1","150","D","13","D",230,"F"
"20161","03094604",4,0,"1","170","D","13","D",100,"D"
"20161","03095004",6,0,"1","170","D","12","D",25,"D"
"20161","03095064",3,0,"1","160","D","12","D",300,"D"
"20161","03095064",4,0,"2","160","D","10","D",350,"D"
"20161","03095074",13,0,"1","150","D","13","D",766,"D"
"20161","03095374",6,0,"1","150","D","12","D",15,"D"
"20161","03095564",8,0,"1","150","D","13","D",120,"D"
"20161","03095584",5,0,"1","170","D","12","D",25,"D"
"20161","03095584",6,0,"1","110","D","13","D",991,"D"
"20161","03095614",8,0,"1","150","D","13","D",280,"F"
"20161","03095734",1,0,"1","150","D","13","D",40,"D"
"20161","03095974",8,0,"1","100","D","13","D",125,"D"
"20161","03095974",9,0,"1","150","D","13","D",50,"D"
"20161","03095984",6,0,"1","150","D","13","D",200,"D"
"20161","03096094",1,0,"1","150","D","13","D",100,"D"
"20161","03096094",2,0,"1","150","D","13","D",30,"D"
"20161","03096094",3,0,"1","160","D","12","D",20,"D"
"20161","03096094",4,0,"2","140","D","10","D",10,"D"
"20161","03096144",4,0,"1","170","D","12","D",200,"D"
"20161","03096184",12,0,"1","170","D","12","D",100,"D"
"20161","03096184",13,0,"1","160","D","13","D",40,"D"
"20161","03096344",6,0,"1","100","D","11","D",30,"D"
"20161","03096434",3,0,"1","150","D","13","D",13,"D"
"20161","03096604",3,0,"1","160","D","12","D",2000,"D"
"20161","03096604",4,0,"2","160","D","10","D",25,"D"
"20161","03096724",1,0,"1","160","D","13","D",40,"D"
"20161","03096784",4,0,"1","150","D","11","D",40,"D"
"20161","03096854",8,0,"1","170","D","12","D",100,"D"
"20161","03096854",9,0,"1","150","D","13","D",60,"D"
"20161","03096854",10,0,"2","170","D","10","D",250,"D"
"20161","03097034",4,0,"1","170","D","13","D",320,"D"
"20161","03097034",5,0,"1","170","D","12","D",10,"D"
"20161","03097034",6,0,"1","150","D","11","D",20,"D"
"20161","03097034",7,0,"1","160","D","12","D",6,"D"
"20161","03097094",8,0,"1","170","D","13","D",15,"D"
"20161","03097094",9,0,"1","150","D","13","D",30,"D"
"20161","03097144",1,0,"1","160","D","11","D",25,"D"
"20161","03097174",10,0,"1","100","D","12","D",50,"D"
"20161","03097374",3,0,"1","160","D","12","D",20,"D"
"20161","03097474",35,0,"1","170","D","12","D",50,"D"
"20161","03097474",36,0,"1","150","D","13","D",20,"D"
"20161","03097524",1,0,"1","150","D","13","D",280,"F"
"20161","03097534",4,0,"1","150","D","13","D",60,"D"
"20161","03097534",5,0,"1","160","D","13","D",30,"D"
"20161","03097634",3,0,"1","170","D","12","D",40,"D"
"20161","03097644",6,0,"1","160","D","12","D",1,"D"
"20161","03097694",2,0,"1","160","D","13","D",20,"D"
"20161","03097804",3,0,"1","150","D","13","D",250,"D"
"20161","03097814",1,0,"1","170","D","13","D",250,"D"
"20161","03097814",2,0,"1","170","D","12","D",800,"D"
"20161","03097814",3,0,"1","160","D","12","D",20,"D"
"20161","03097814",4,0,"1","130","D","11","D",24,"D"
"20161","03097834",16,0,"1","170","D","12","D",300,"D"
"20161","03097834",17,0,"1","140","D","12","D",50,"D"
"20161","03097834",18,0,"1","160","D","12","D",50,"D"
"20161","03097884",12,0,"1","170","D","12","D",75,"D"
"20161","03097964",8,0,"1","160","D","13","D",125,"D"
"20161","03097994",2,0,"1","170","D","12","D",200,"D"
"20161","03097994",3,0,"1","170","D","12","D",100,"D"
"20161","03097994",4,0,"1","170","D","11","D",36,"D"
"20161","03098114",11,0,"1","170","D","12","D",200,"D"
"20161","03098244",2,0,"1","160","D","12","D",300,"D"
"20161","03098264",18,0,"1","170","D","12","D",1200,"D"
"20161","03098394",1,0,"1","150","D","13","D",150,"D"
"20161","03098424",3,0,"1","150","D","13","D",120,"D"
"20161","03098604",6,0,"1","170","D","12","D",200,"D"
"20161","03098604",7,0,"1","160","D","13","D",15,"D"
"20161","03098604",8,0,"2","160","D","10","D",15,"D"
"20161","03098684",1,0,"1","150","D","13","D",25,"D"
"20161","03098764",4,0,"1","170","D","12","D",500,"D"
"20161","03098764",5,0,"1","140","D","12","D",50,"D"
"20161","03098764",6,0,"1","160","D","11","D",50,"D"
"20161","03098874",2,0,"1","170","D","12","D",125,"D"
"20161","03098904",3,0,"1","150","D","13","D",20,"D"
"20161","03099074",5,0,"1","170","D","12","D",100,"D"
"20161","03099164",8,0,"1","150","D","12","D",40,"D"
"20161","03099384",24,0,"1","150","D","12","D",6500,"D"
"20161","03099564",3,0,"1","150","D","13","D",200,"D"
"20161","03099714",5,0,"1","160","D","13","D",15,"D"
"20161","03099844",37,0,"1","100","D","11","D",800,"D"
"20161","03099844",38,0,"1","100","D","10","D",1000,"D"
"20161","03099844",39,0,"1","100","D","12","D",1150,"D"
"20161","03099844",40,0,"1","150","D","13","D",100,"D"
"20161","03099844",41,0,"1","150","D","12","D",50,"D"
"20161","03099844",42,0,"1","150","D","12","D",500,"D"
"20161","03099844",43,0,"2","170","D","10","D",600,"D"
"20161","03099904",1,0,"1","170","D","12","D",20,"D"
"20161","03099904",2,0,"1","170","D","11","D",5,"D"
"20161","03099904",3,0,"1","150","D","13","D",20,"D"
