"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20164","03466452",53,0,"1","410","D","10","D",34,"D",,"A",,"A",,"A",,"A"
"20164","03466452",54,0,"1","420","D","10","D",27,"D",,"A",,"A",,"A",,"A"
"20164","03466452",55,0,"1","405","D","10","D",284,"D",,"A",,"A",,"A",,"A"
"20164","03466452",56,0,"1","410","D","09","D",34,"D",,"A",,"A",,"A",,"A"
"20164","03466452",57,0,"1","420","D","09","D",27,"D",,"A",,"A",,"A",,"A"
"20164","03466452",58,0,"1","405","D","09","D",125,"D",,"A",,"A",,"A",,"A"
"20164","03466482",37,0,"1","430","D","10","D",.,"H","405","D","415","D",,"A",,"A"
"20164","03466482",37,1,"1","405","D","10","D",118,"E",,"A",,"A",,"A",,"A"
"20164","03466482",37,2,"1","420","D","10","D",42,"E",,"A",,"A",,"A",,"A"
"20164","03466522",56,0,"1","410","D","10","D",100,"D",,"A",,"A",,"A",,"A"
"20164","03466522",57,0,"1","420","D","10","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03466562",25,0,"1","420","D","09","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03466562",26,0,"1","420","D","08","D",80,"D",,"A",,"A",,"A",,"A"
"20164","03466592",28,0,"1","420","D","10","D",215,"D",,"A",,"A",,"A",,"A"
"20164","03466602",23,0,"1","430","D","10","D",.,"H","425","D","410","D",,"A",,"A"
"20164","03466602",23,1,"1","420","D","10","D",76,"E",,"A",,"A",,"A",,"A"
"20164","03466602",23,2,"1","410","D","10","D",26,"E",,"A",,"A",,"A",,"A"
"20164","03466602",24,0,"1","430","D","09","D",.,"H","425","D","410","D",,"A",,"A"
"20164","03466602",24,1,"1","420","D","09","D",75,"E",,"A",,"A",,"A",,"A"
"20164","03466602",24,2,"1","410","D","09","D",27,"E",,"A",,"A",,"A",,"A"
"20164","03466682",25,0,"1","400","D","08","D",25,"D",,"A",,"A",,"A",,"A"
"20164","03466732",29,0,"1","420","D","10","D",225,"D",,"A",,"A",,"A",,"A"
"20164","03466772",61,0,"1","420","D","09","D",95,"D",,"A",,"A",,"A",,"A"
"20164","03466822",25,0,"1","405","D","08","D",24,"D",,"A",,"A",,"A",,"A"
"20164","03466832",28,0,"1","420","D","10","D",340,"D",,"A",,"A",,"A",,"A"
"20164","03466922",50,0,"1","400","D","09","D",40,"D",,"A",,"A",,"A",,"A"
"20164","03466922",51,0,"1","400","D","10","D",42,"D",,"A",,"A",,"A",,"A"
