"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","TELBSNZ","TELBSNZ_","TELRESD","TELRESD_","TELCELL","TELCELL_","TINTNET","TINTNET_","TCABLE","TCABLE_","BILPERD","BILPERD_","QADINE1X","QADI_E1X","QADINE2X","QADI_E2X","QADINE3X","QADI_E3X","QADCAB1X","QADC_B1X","QADCAB2X","QADC_B2X","QADCAB3X","QADC_B3X","TELRES1X","TELR_S1X","TELRES2X","TELR_S2X","TELRES3X","TELR_S3X","TELCEL1X","TELC_L1X","TELCEL2X","TELC_L2X","TELCEL3X","TELC_L3X","QADAPG1X","QADA_G1X","QADAPG2X","QADA_G2X","QADAPG3X","QADA_G3X","TELBLPRS","TELB_PRS"
"20161","03088724",16,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",200,"D",200,"D",.,"A",.,"A",.,"A",,"A"
"20161","03088744",28,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",83,"D",83,"D",83,"D",.,"A",.,"A",.,"A",,"A"
"20161","03088784",9,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",246,"V",0,"F",256,"V",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"F",410,"F",50,"F",.,"A",.,"A",.,"A","2","D"
"20161","03088894",40,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",10,"F",60,"F",50,"F",20,"F",80,"F",100,"F",130,"F",20,"F",27,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20161","03088894",41,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",40,"F",40,"F",50,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"F",60,"F",50,"F",.,"A",.,"A",.,"A","2","D"
"20161","03088894",42,0,"1",.,"A",,"A","2","D","1","D","2","D","3","D",0,"F",13,"F",13,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",9,"F",.,"A",.,"A",.,"A","2","D"
"20161","03088954",51,0,"1",.,"A",,"A","2","D","1","D","2","D",,"A",40,"F",40,"F",40,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",38,"F",38,"F",38,"F",.,"A",.,"A",.,"A","2","D"
"20161","03089104",27,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",180,"D",180,"D",180,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089124",10,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",89,"D",89,"D",89,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089134",68,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",50,"F",42,"F",62,"F",108,"F",60,"F",93,"F",29,"F",85,"F",32,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20161","03089134",69,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",152,"D",152,"D",152,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089164",80,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",128,"D",132,"D",135,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089164",81,0,"1",.,"A","1","D",,"A","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",30,"D",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A"
"20161","03089204",150,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",204,"D",209,"D",209,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089224",20,0,"1",.,"A","1","D",,"A","2","D","1","D",,"A",.,"A",.,"A",.,"A",104,"F",104,"F",104,"F",61,"F",62,"F",61,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20161","03089234",8,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",41,"D",41,"D",41,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089304",21,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",60,"F",60,"F",60,"F",52,"F",52,"F",52,"F",55,"F",55,"F",55,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D"
"20161","03089394",5,0,"1",.,"A",,"A","2","D","2","D","2","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",40,"D",40,"D",.,"A",.,"A",.,"A",,"A"
"20161","03089404",15,0,"1",.,"A","1","D",,"A","1","D","1","D",,"A",42,"D",42,"D",42,"D",60,"D",60,"D",60,"D",83,"F",83,"F",83,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","1","D"
