"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2578965,2,"2012","2011",0,0.133,0.133,"1",0.0765,0.0765,"39","D",0.1174,0.1174,0,"D",0,"D",8031,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-442,151,-430.26,-453.5,150.99,150.99,1068.12,1068.12,8031,8031,8031.01,8031.01,0,0,0,0,0,0,430.26,453.5,8031,8031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578965,3,"2012","2011",1,0,0,"3",-0.34,-0.34,"39","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2578985,1,"2012","2011",3,0.133,0.133,"3",0.2106,0.3106,"33","D",0.1032,0.1032,0,"D",0,"D",23383,"D",0,"D",0,"D",0,"D",0,"D",0,"D",19200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-4450,-1241,-4333.15,-4567.8,-1207.12,-1275.02,3109.94,3109.94,23383,23383,23383.01,23383.01,0,0,0,0,0,0,4341.45,4567.8,23383,23383,0,0,8.3,0,8.3,0,10500,10500,0,0,0,0,0,0,1212.19,1280.1,0
2578995,1,"2012","2011",1,0.133,0.133,"3",-0.34,-0.34,"41","D",0,0,0,"D",0,"D",2498,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",0,"D",0,"D",0,"D",1,"D",0,"D",-849,0,-849.32,-849.32,0,0,332.23,332.23,2498,2498,0,0,0,0,0,0,0,0,849.32,849.32,2498,2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2579005,1,"2012","2011",0,0.133,0.133,"2",0.2775,0.2775,"0","T",0,0,0,"D",0,"D",16540,"D",0,"D",0,"D",25394,"D",28594,"D",0,"D",0,"D",900,"D",0,"D",0,"D",0,"D",4800,"D",5002,0,5049.55,4954.55,0,0,2199.82,2199.82,58330.35,58330.35,0,0,0,0,0,0,0,0,0,0,58330.35,58330.35,0,0,5049.55,4954.55,5049.55,4954.55,0,0,0,0,0,0,0,0,0,0,0
2579075,1,"2012","2011",0,0.133,0.133,"2",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",33422,"D",23656,"D",-712,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",230,"D",0,"D",0,"D",3840,"D",4707,1752,4754.9,4659.9,1752.29,1752.29,7591.37,7591.37,56366,56366,57078.01,57078.01,0,0,0,0,0,0,0,0,56366,56366,0,0,4754.9,4659.9,4754.9,4659.9,0,0,0,0,0,0,0,0,0,0,0
2579095,1,"2012","2011",0,0.133,0.133,"2",0.15,0.25,"24","D",0.0705,0.0705,0,"D",0,"D",47571,"D",41340,"D",0,"D",0,"D",0,"D",0,"D",16200,"D",0,"D",1,"D",0,"D",0,"D",0,"D",9635,4255,9727.75,9541.65,4281.12,4229.45,11825.16,11825.16,88911,88911,88911.01,88911.01,0,0,0,0,0,0,0,0,88911,88911,0,0,9727.75,9541.65,9727.75,9541.65,11600,11900,0,0,0,0,0,0,0,0,0
2579105,1,"2012","2011",0,0.133,0.133,"1",0.1,0.1,"39","D",0.0307,0.0307,0,"D",0,"D",14974,"D",0,"D",0,"D",0,"D",0,"D",0,"D",13200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",535,460,547.4,522.4,459.7,459.7,1991.54,1991.54,14974,14974,14974.01,14974.01,0,0,0,0,0,0,0,0,14974,14974,0,0,547.4,522.4,547.4,522.4,0,0,0,0,0,0,0,0,0,0,0
2579145,1,"2012","2011",2,0,0,"3",-0.4,-0.4,"18","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2900,"D",288,"D",0,"D",0,"D",31928,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240,2290,35116,35116,0,0,0,0,0,0,0
2579255,1,"2012","2011",0,0.133,0.133,"2",0.2356,0.2356,"47","D",0.0575,0.0575,2,"D",2,"D",0,"D",5200,"D",28286,"D",74000,"D",16139,"D",0,"D",0,"D",12300,"D",525,"D",0,"D",0,"D",11972,"D",13372,4041,13491.62,13251.62,4040.67,4040.67,691.6,691.6,121204.15,121204.15,107486.01,107486.01,0,0,0,0,0,0,0,0,109232.15,109232.15,0,0,13491.62,13251.62,13491.62,13251.62,6000,6000,24797,24797,0,0,0,0,0,0,0
